player,season,team,league,pos_,age_,Playing Time_Min,primary_role,secondary_role,primary_role_similarity,secondary_role_similarity,role_confidence,role_ambiguity,primary_role_cluster,secondary_role_cluster
Pol Lozano,2425,Espanyol,ESP-La Liga,MF,24.0,1943,Defensive Anchor,Ball Progressor,34.3,26.0,8.3,91.7,0,1
Urko González,2425,Espanyol,ESP-La Liga,MF,23.0,1374,Defensive Anchor,Ball Progressor,33.8,26.0,7.8,92.2,0,1
Álvaro Tejero,2425,Espanyol,ESP-La Liga,"MF,DF",28.0,1238,Creative Playmaker,Ball Progressor,29.1,28.3,0.8,99.2,2,1
Alex Sola,2425,Getafe,ESP-La Liga,"MF,FW",25.0,1029,Ball Progressor,Defensive Anchor,35.0,26.0,9.0,91.0,1,0
Carles Aleñá,2425,Getafe,ESP-La Liga,"MF,FW",26.0,1090,Defensive Anchor,Ball Progressor,29.8,28.9,0.9,99.1,0,1
Carles Pérez,2425,Getafe,ESP-La Liga,"MF,FW",26.0,1431,Ball Progressor,Defensive Anchor,37.1,23.5,13.6,86.4,1,0
Coba da Costa,2425,Getafe,ESP-La Liga,"MF,FW",22.0,1006,Ball Progressor,Creative Playmaker,31.2,24.0,7.2,92.8,1,2
Luis Milla,2425,Getafe,ESP-La Liga,MF,29.0,2875,Box-to-Box Engine,Ball Progressor,28.0,27.1,0.9,99.1,3,1
Mauro Arambarri,2425,Getafe,ESP-La Liga,MF,28.0,2661,Ball Progressor,Defensive Anchor,30.0,29.6,0.4,99.6,1,0
Ramón Terrats,2425,Getafe,ESP-La Liga,"MF,FW",23.0,1219,Ball Progressor,Defensive Anchor,33.0,26.6,6.4,93.6,1,0
Arthur Melo,2425,Girona,ESP-La Liga,MF,27.0,941,Box-to-Box Engine,Defensive Anchor,28.5,26.7,1.8,98.2,3,0
Donny van de Beek,2425,Girona,ESP-La Liga,MF,27.0,1421,Ball Progressor,Defensive Anchor,33.8,24.8,9.0,91.0,1,0
Iván Martín,2425,Girona,ESP-La Liga,MF,25.0,2039,Ball Progressor,Box-to-Box Engine,29.1,27.5,1.6,98.4,1,3
Oriol Romeu,2425,Girona,ESP-La Liga,MF,32.0,1356,Defensive Anchor,Box-to-Box Engine,35.8,26.0,9.8,90.2,0,3
Yangel Herrera,2425,Girona,ESP-La Liga,MF,26.0,2257,Ball Progressor,Defensive Anchor,30.4,30.2,0.2,99.8,1,0
Dario Essugo,2425,Las Palmas,ESP-La Liga,MF,19.0,1938,Defensive Anchor,Box-to-Box Engine,44.8,22.1,22.7,77.3,0,3
Javier Muñoz,2425,Las Palmas,ESP-La Liga,"MF,DF",29.0,2588,Ball Progressor,Defensive Anchor,32.4,28.5,3.9,96.1,1,0
José Campaña,2425,Las Palmas,ESP-La Liga,MF,31.0,1189,Box-to-Box Engine,Defensive Anchor,30.8,29.5,1.3,98.7,3,0
Kirian Rodríguez,2425,Las Palmas,ESP-La Liga,MF,28.0,1758,Box-to-Box Engine,Defensive Anchor,32.3,26.7,5.6,94.4,3,0
Stefan Bajcetic,2425,Las Palmas,ESP-La Liga,"MF,DF",19.0,969,Defensive Anchor,Box-to-Box Engine,38.3,23.4,14.9,85.1,0,3
Darko Brašanac,2425,Leganés,ESP-La Liga,MF,32.0,1617,Defensive Anchor,Ball Progressor,30.8,30.6,0.2,99.8,0,1
Renato Tapia,2425,Leganés,ESP-La Liga,"MF,DF",29.0,2424,Defensive Anchor,Ball Progressor,39.2,23.3,15.9,84.1,0,1
Seydouba Cissé,2425,Leganés,ESP-La Liga,MF,23.0,2435,Defensive Anchor,Ball Progressor,35.2,26.8,8.4,91.6,0,1
Yvan Neyou,2425,Leganés,ESP-La Liga,MF,27.0,2312,Defensive Anchor,Ball Progressor,42.2,23.3,18.9,81.1,0,1
Óscar Rodríguez Arnaiz,2425,Leganés,ESP-La Liga,"MF,FW",26.0,1330,Ball Progressor,Creative Playmaker,32.4,23.2,9.2,90.8,1,2
Antonio Sánchez,2425,Mallorca,ESP-La Liga,"MF,DF",27.0,1395,Defensive Anchor,Ball Progressor,34.3,28.8,5.5,94.5,0,1
Dani Rodríguez,2425,Mallorca,ESP-La Liga,"MF,FW",36.0,2162,Ball Progressor,Defensive Anchor,36.6,22.0,14.6,85.4,1,0
Manu Morlanes,2425,Mallorca,ESP-La Liga,MF,25.0,1338,Defensive Anchor,Box-to-Box Engine,35.1,25.4,9.7,90.3,0,3
Omar Mascarell,2425,Mallorca,ESP-La Liga,MF,31.0,1992,Defensive Anchor,Ball Progressor,37.7,23.4,14.3,85.7,0,1
Roberto Navarro,2425,Mallorca,ESP-La Liga,"MF,FW",22.0,1278,Ball Progressor,Box-to-Box Engine,33.8,23.4,10.4,89.6,1,3
Samu Costa,2425,Mallorca,ESP-La Liga,MF,23.0,2649,Defensive Anchor,Ball Progressor,36.1,24.6,11.5,88.5,0,1
Sergi Darder,2425,Mallorca,ESP-La Liga,"MF,FW",30.0,2744,Ball Progressor,Box-to-Box Engine,31.3,24.4,6.9,93.1,1,3
Aimar Oroz,2425,Osasuna,ESP-La Liga,MF,22.0,2966,Ball Progressor,Box-to-Box Engine,40.8,20.3,20.5,79.5,1,3
Jon Moncayola,2425,Osasuna,ESP-La Liga,MF,26.0,2099,Ball Progressor,Defensive Anchor,29.0,26.9,2.1,97.9,1,0
Lucas Torró,2425,Osasuna,ESP-La Liga,MF,30.0,2957,Defensive Anchor,Ball Progressor,41.4,22.4,19.0,81.0,0,1
Pablo Ibáñez,2425,Osasuna,ESP-La Liga,MF,25.0,1294,Defensive Anchor,Ball Progressor,34.2,28.8,5.4,94.6,0,1
Isaac Palazón Camacho,2425,Rayo Vallecano,ESP-La Liga,"MF,FW",29.0,2162,Ball Progressor,Creative Playmaker,32.6,27.0,5.6,94.4,1,2
Pathé Ciss,2425,Rayo Vallecano,ESP-La Liga,"MF,DF",30.0,2140,Defensive Anchor,Box-to-Box Engine,42.0,24.4,17.6,82.4,0,3
Pedro Díaz,2425,Rayo Vallecano,ESP-La Liga,MF,26.0,1211,Ball Progressor,Creative Playmaker,32.4,25.3,7.1,92.9,1,2
Unai López,2425,Rayo Vallecano,ESP-La Liga,MF,28.0,1707,Box-to-Box Engine,Defensive Anchor,31.0,29.1,1.9,98.1,3,0
Óscar Valentín,2425,Rayo Vallecano,ESP-La Liga,MF,29.0,1835,Defensive Anchor,Box-to-Box Engine,40.3,22.9,17.4,82.6,0,3
Arda Güler,2425,Real Madrid,ESP-La Liga,"MF,FW",19.0,1250,Creative Playmaker,Ball Progressor,38.2,22.6,15.6,84.4,2,1
Dani Ceballos,2425,Real Madrid,ESP-La Liga,MF,27.0,1215,Box-to-Box Engine,Defensive Anchor,33.9,22.6,11.3,88.7,3,0
Eduardo Camavinga,2425,Real Madrid,ESP-La Liga,"MF,DF",21.0,1102,Box-to-Box Engine,Defensive Anchor,31.4,29.0,2.4,97.6,3,0
Federico Valverde,2425,Real Madrid,ESP-La Liga,"MF,DF",26.0,3032,Box-to-Box Engine,Defensive Anchor,34.8,24.2,10.6,89.4,3,0
Jude Bellingham,2425,Real Madrid,ESP-La Liga,MF,21.0,2488,Creative Playmaker,Ball Progressor,31.0,26.2,4.8,95.2,2,1
Luka Modrić,2425,Real Madrid,ESP-La Liga,MF,38.0,1827,Creative Playmaker,Box-to-Box Engine,30.7,27.7,3.0,97.0,2,3
Ander Barrenetxea,2425,Real Sociedad,ESP-La Liga,"MF,FW",22.0,1263,Ball Progressor,Creative Playmaker,29.9,29.4,0.5,99.5,1,2
Beñat Turrientes,2425,Real Sociedad,ESP-La Liga,MF,22.0,942,Defensive Anchor,Ball Progressor,32.9,28.3,4.6,95.4,0,1
Brais Méndez,2425,Real Sociedad,ESP-La Liga,MF,27.0,1531,Ball Progressor,Creative Playmaker,35.7,22.0,13.7,86.3,1,2
Luka Sučić,2425,Real Sociedad,ESP-La Liga,MF,21.0,1792,Ball Progressor,Defensive Anchor,32.8,26.2,6.6,93.4,1,0
Martín Zubimendi,2425,Real Sociedad,ESP-La Liga,MF,25.0,2962,Defensive Anchor,Box-to-Box Engine,37.7,26.0,11.7,88.3,0,3
Pablo Marín,2425,Real Sociedad,ESP-La Liga,MF,21.0,1239,Ball Progressor,Defensive Anchor,34.8,28.1,6.7,93.3,1,0
Sergio Gómez,2425,Real Sociedad,ESP-La Liga,"MF,DF",23.0,2738,Ball Progressor,Box-to-Box Engine,31.8,23.7,8.1,91.9,1,3
Takefusa Kubo,2425,Real Sociedad,ESP-La Liga,"MF,FW",23.0,2372,Creative Playmaker,Ball Progressor,34.7,27.4,7.3,92.7,2,1
Urko González,2425,Real Sociedad,ESP-La Liga,MF,23.0,1374,Defensive Anchor,Ball Progressor,28.7,27.9,0.8,99.2,0,1
Albert Sambi Lokonga,2425,Sevilla,ESP-La Liga,MF,24.0,1471,Defensive Anchor,Box-to-Box Engine,29.3,26.9,2.4,97.6,0,3
Djibril Sow,2425,Sevilla,ESP-La Liga,MF,27.0,2062,Defensive Anchor,Ball Progressor,31.3,29.4,1.9,98.1,0,1
Juanlu Sánchez,2425,Sevilla,ESP-La Liga,"MF,DF",20.0,1722,Ball Progressor,Defensive Anchor,35.3,24.6,10.7,89.3,1,0
Lucien Agoume,2425,Sevilla,ESP-La Liga,MF,22.0,2114,Defensive Anchor,Box-to-Box Engine,35.7,29.4,6.3,93.7,0,3
Nemanja Gudelj,2425,Sevilla,ESP-La Liga,"MF,DF",32.0,2493,Defensive Anchor,Ball Progressor,35.3,25.3,10.0,90.0,0,1
Peque,2425,Sevilla,ESP-La Liga,"MF,FW",21.0,1134,Ball Progressor,Defensive Anchor,35.9,25.0,10.9,89.1,1,0
Saúl Ñíguez,2425,Sevilla,ESP-La Liga,MF,29.0,1553,Defensive Anchor,Ball Progressor,29.8,28.1,1.7,98.3,0,1
Diego López,2425,Valencia,ESP-La Liga,"MF,FW",22.0,2737,Ball Progressor,Creative Playmaker,35.4,26.3,9.1,90.9,1,2
Domingos André Ribeiro Almeida,2425,Valencia,ESP-La Liga,"MF,FW",24.0,1977,Ball Progressor,Box-to-Box Engine,29.5,25.1,4.4,95.6,1,3
Enzo Barrenechea,2425,Valencia,ESP-La Liga,MF,23.0,2191,Defensive Anchor,Box-to-Box Engine,36.5,25.3,11.2,88.8,0,3
Javier Guerra,2425,Valencia,ESP-La Liga,MF,21.0,2581,Ball Progressor,Defensive Anchor,30.7,25.9,4.8,95.2,1,0
José Luis García Vayá,2425,Valencia,ESP-La Liga,MF,25.0,1742,Box-to-Box Engine,Defensive Anchor,32.0,28.5,3.5,96.5,3,0
Luis Rioja,2425,Valencia,ESP-La Liga,"MF,FW",30.0,2831,Ball Progressor,Creative Playmaker,33.4,27.8,5.6,94.4,1,2
Anuar,2425,Valladolid,ESP-La Liga,"MF,FW",29.0,1720,Ball Progressor,Defensive Anchor,31.5,30.6,0.9,99.1,1,0
Iván Sánchez,2425,Valladolid,ESP-La Liga,"MF,FW",31.0,1404,Ball Progressor,Creative Playmaker,28.6,28.3,0.3,99.7,1,2
Kike Pérez,2425,Valladolid,ESP-La Liga,MF,27.0,1191,Ball Progressor,Defensive Anchor,30.0,27.9,2.1,97.9,1,0
Kike Pérez,2425,Valladolid,ESP-La Liga,MF,27.0,1114,Ball Progressor,Defensive Anchor,30.0,27.9,2.1,97.9,1,0
Mario Martín,2425,Valladolid,ESP-La Liga,MF,20.0,1748,Defensive Anchor,Ball Progressor,38.6,23.9,14.7,85.3,0,1
Raúl Moro,2425,Valladolid,ESP-La Liga,"MF,FW",21.0,2341,Creative Playmaker,Ball Progressor,33.3,29.2,4.1,95.9,2,1
Selim Amallah,2425,Valladolid,ESP-La Liga,MF,27.0,1376,Ball Progressor,Defensive Anchor,32.1,28.3,3.8,96.2,1,0
Stanko Jurić,2425,Valladolid,ESP-La Liga,MF,27.0,1729,Defensive Anchor,Ball Progressor,39.9,22.8,17.1,82.9,0,1
Alex Baena,2425,Villarreal,ESP-La Liga,"MF,FW",23.0,2595,Creative Playmaker,Ball Progressor,38.6,22.9,15.7,84.3,2,1
Daniel Parejo,2425,Villarreal,ESP-La Liga,MF,35.0,2273,Box-to-Box Engine,Defensive Anchor,31.3,28.6,2.7,97.3,3,0
Pape Gueye,2425,Villarreal,ESP-La Liga,MF,25.0,2224,Ball Progressor,Defensive Anchor,27.9,27.4,0.5,99.5,1,0
Ramón Terrats,2425,Villarreal,ESP-La Liga,"MF,FW",23.0,1219,Defensive Anchor,Box-to-Box Engine,28.1,27.3,0.8,99.2,0,3
Santi Comesaña,2425,Villarreal,ESP-La Liga,MF,27.0,2560,Box-to-Box Engine,Ball Progressor,28.7,26.6,2.1,97.9,3,1
Yeremi Pino,2425,Villarreal,ESP-La Liga,"MF,FW",21.0,1934,Ball Progressor,Creative Playmaker,30.5,28.6,1.9,98.1,1,2
Bongani Zungu,1718,Amiens,FRA-Ligue 1,MF,24.0,2084,Defensive Anchor,Box-to-Box Engine,42.9,23.4,19.5,80.5,0,3
Gaël Kakuta,1718,Amiens,FRA-Ligue 1,"MF,FW",26.0,3083,Ball Progressor,Creative Playmaker,33.1,26.7,6.4,93.6,1,2
Tanguy Ndombele,1718,Amiens,FRA-Ligue 1,MF,20.0,2352,Box-to-Box Engine,Defensive Anchor,30.1,24.3,5.8,94.2,3,0
Thomas Monconduit,1718,Amiens,FRA-Ligue 1,MF,26.0,2948,Defensive Anchor,Box-to-Box Engine,43.1,24.2,18.9,81.1,0,3
Angelo Fulgini,1718,Angers,FRA-Ligue 1,MF,20.0,1529,Creative Playmaker,Ball Progressor,30.4,29.9,0.5,99.5,2,1
Baptiste Santamaria,1718,Angers,FRA-Ligue 1,MF,22.0,2591,Defensive Anchor,Box-to-Box Engine,41.5,24.0,17.5,82.5,0,3
Flavien Tait,1718,Angers,FRA-Ligue 1,MF,24.0,2235,Creative Playmaker,Ball Progressor,29.8,27.9,1.9,98.1,2,1
Pierrick Capelle,1718,Angers,FRA-Ligue 1,MF,30.0,1884,Ball Progressor,Box-to-Box Engine,27.9,27.6,0.3,99.7,1,3
Prince Oniangué,1718,Angers,FRA-Ligue 1,MF,28.0,1056,Defensive Anchor,Ball Progressor,31.6,28.7,2.9,97.1,0,1
Thomas Mangani,1718,Angers,FRA-Ligue 1,MF,30.0,3025,Box-to-Box Engine,Defensive Anchor,36.3,22.6,13.7,86.3,3,0
Jaroslav Plašil,1718,Bordeaux,FRA-Ligue 1,MF,35.0,1044,Box-to-Box Engine,Defensive Anchor,33.6,29.4,4.2,95.8,3,0
Lukas Lerager,1718,Bordeaux,FRA-Ligue 1,MF,24.0,3283,Defensive Anchor,Box-to-Box Engine,39.6,24.1,15.5,84.5,0,3
Otávio,1718,Bordeaux,FRA-Ligue 1,MF,23.0,1484,Defensive Anchor,Box-to-Box Engine,34.9,27.7,7.2,92.8,0,3
Soualiho Meïté,1718,Bordeaux,FRA-Ligue 1,MF,23.0,1335,Box-to-Box Engine,Defensive Anchor,29.7,29.4,0.3,99.7,3,0
Younousse Sankharé,1718,Bordeaux,FRA-Ligue 1,MF,27.0,1881,Ball Progressor,Defensive Anchor,28.9,25.9,3.0,97.0,1,0
Baissama Sankoh,1718,Caen,FRA-Ligue 1,"MF,DF",25.0,1540,Defensive Anchor,Ball Progressor,42.5,22.6,19.9,80.1,0,1
Jan Repas,1718,Caen,FRA-Ligue 1,"MF,FW",20.0,902,Ball Progressor,Defensive Anchor,33.7,24.3,9.4,90.6,1,0
Julien Féret,1718,Caen,FRA-Ligue 1,MF,35.0,3060,Box-to-Box Engine,Defensive Anchor,32.9,25.3,7.6,92.4,3,0
Stef Peeters,1718,Caen,FRA-Ligue 1,MF,25.0,1109,Ball Progressor,Box-to-Box Engine,28.0,26.7,1.3,98.7,1,3
Youssef Aït Bennasser,1718,Caen,FRA-Ligue 1,MF,21.0,2047,Defensive Anchor,Box-to-Box Engine,31.5,30.9,0.6,99.4,0,3
Jordan Marié,1718,Dijon,FRA-Ligue 1,MF,25.0,1883,Defensive Anchor,Box-to-Box Engine,41.1,23.0,18.1,81.9,0,3
Mehdi Abeid,1718,Dijon,FRA-Ligue 1,MF,24.0,1176,Defensive Anchor,Box-to-Box Engine,39.1,24.6,14.5,85.5,0,3
Romain Amalfitano,1718,Dijon,FRA-Ligue 1,MF,27.0,2703,Defensive Anchor,Box-to-Box Engine,32.8,28.0,4.8,95.2,0,3
Xeka,1718,Dijon,FRA-Ligue 1,MF,22.0,1393,Ball Progressor,Box-to-Box Engine,30.9,26.3,4.6,95.4,1,3
Clément Grenier,1718,Guingamp,FRA-Ligue 1,MF,26.0,1208,Creative Playmaker,Box-to-Box Engine,31.5,26.0,5.5,94.5,2,3
Lebogang Phiri,1718,Guingamp,FRA-Ligue 1,MF,22.0,1032,Defensive Anchor,Box-to-Box Engine,38.3,26.7,11.6,88.4,0,3
Lucas Deaux,1718,Guingamp,FRA-Ligue 1,MF,28.0,1943,Defensive Anchor,Box-to-Box Engine,33.0,29.5,3.5,96.5,0,3
Ludovic Blas,1718,Guingamp,FRA-Ligue 1,MF,19.0,1793,Box-to-Box Engine,Ball Progressor,28.8,27.5,1.3,98.7,3,1
Mustapha Diallo,1718,Guingamp,FRA-Ligue 1,MF,31.0,1384,Defensive Anchor,Ball Progressor,31.9,25.1,6.8,93.2,0,1
Étienne Didot,1718,Guingamp,FRA-Ligue 1,MF,34.0,1621,Defensive Anchor,Box-to-Box Engine,39.4,26.5,12.9,87.1,0,3
Ibrahim Amadou,1718,Lille,FRA-Ligue 1,"MF,DF",24.0,2405,Defensive Anchor,Box-to-Box Engine,38.0,26.0,12.0,88.0,0,3
Thiago Maia,1718,Lille,FRA-Ligue 1,"MF,DF",20.0,2463,Defensive Anchor,Box-to-Box Engine,31.6,31.4,0.2,99.8,0,3
Thiago Mendes,1718,Lille,FRA-Ligue 1,MF,25.0,2294,Box-to-Box Engine,Ball Progressor,30.3,25.7,4.6,95.4,3,1
Xeka,1718,Lille,FRA-Ligue 1,MF,22.0,1393,Box-to-Box Engine,Ball Progressor,27.0,24.5,2.5,97.5,3,1
Yassine Benzia,1718,Lille,FRA-Ligue 1,"MF,FW",22.0,2288,Box-to-Box Engine,Creative Playmaker,29.7,27.3,2.4,97.6,3,2
Yves Bissouma,1718,Lille,FRA-Ligue 1,"MF,DF",20.0,1561,Box-to-Box Engine,Defensive Anchor,31.5,26.1,5.4,94.6,3,0
Houssem Aouar,1718,Lyon,FRA-Ligue 1,"MF,FW",19.0,2433,Box-to-Box Engine,Creative Playmaker,31.8,24.1,7.7,92.3,3,2
Lucas Tousart,1718,Lyon,FRA-Ligue 1,MF,20.0,3132,Defensive Anchor,Box-to-Box Engine,43.4,22.3,21.1,78.9,0,3
Nabil Fekir,1718,Lyon,FRA-Ligue 1,"MF,FW",24.0,2477,Creative Playmaker,Ball Progressor,35.1,24.3,10.8,89.2,2,1
Sergi Darder,1718,Lyon,FRA-Ligue 1,MF,23.0,2782,Defensive Anchor,Box-to-Box Engine,30.6,26.8,3.8,96.2,0,3
Tanguy Ndombele,1718,Lyon,FRA-Ligue 1,MF,20.0,2352,Box-to-Box Engine,Defensive Anchor,34.6,23.9,10.7,89.3,3,0
Andre-Frank Zambo Anguissa,1718,Marseille,FRA-Ligue 1,MF,21.0,2439,Box-to-Box Engine,Defensive Anchor,31.5,29.6,1.9,98.1,3,0
Dimitri Payet,1718,Marseille,FRA-Ligue 1,"MF,FW",30.0,2347,Creative Playmaker,Box-to-Box Engine,37.6,22.5,15.1,84.9,2,3
Luiz Gustavo,1718,Marseille,FRA-Ligue 1,"MF,DF",30.0,3019,Box-to-Box Engine,Defensive Anchor,32.0,30.7,1.3,98.7,3,0
Maxime Lopez,1718,Marseille,FRA-Ligue 1,"MF,FW",19.0,1378,Box-to-Box Engine,Creative Playmaker,30.8,25.9,4.9,95.1,3,2
Morgan Sanson,1718,Marseille,FRA-Ligue 1,MF,22.0,2165,Creative Playmaker,Ball Progressor,30.6,28.8,1.8,98.2,2,1
Florent Mollet,1718,Metz,FRA-Ligue 1,"MF,FW",25.0,1412,Ball Progressor,Creative Playmaker,31.4,26.4,5.0,95.0,1,2
Georges Mandjeck,1718,Metz,FRA-Ligue 1,"MF,DF",28.0,968,Defensive Anchor,Box-to-Box Engine,43.2,23.1,20.1,79.9,0,3
Gerónimo Poblete,1718,Metz,FRA-Ligue 1,MF,24.0,1656,Defensive Anchor,Box-to-Box Engine,39.4,24.6,14.8,85.2,0,3
Renaud Cohade,1718,Metz,FRA-Ligue 1,MF,32.0,3298,Box-to-Box Engine,Defensive Anchor,32.5,26.9,5.6,94.4,3,0
Allan Saint-Maximin,1718,Monaco,FRA-Ligue 1,MF,20.0,2246,Creative Playmaker,Ball Progressor,29.6,26.3,3.3,96.7,2,1
Fabinho,1718,Monaco,FRA-Ligue 1,MF,23.0,3060,Box-to-Box Engine,Defensive Anchor,34.5,25.2,9.3,90.7,3,0
Gil Bastião Dias,1718,Monaco,FRA-Ligue 1,MF,20.0,1190,Ball Progressor,Defensive Anchor,27.9,25.0,2.9,97.1,1,0
João Moutinho,1718,Monaco,FRA-Ligue 1,MF,30.0,2803,Box-to-Box Engine,Defensive Anchor,38.4,21.6,16.8,83.2,3,0
Soualiho Meïté,1718,Monaco,FRA-Ligue 1,MF,23.0,1335,Defensive Anchor,Ball Progressor,32.0,24.9,7.1,92.9,0,1
Thomas Lemar,1718,Monaco,FRA-Ligue 1,"MF,FW",21.0,2378,Creative Playmaker,Ball Progressor,38.9,23.8,15.1,84.9,2,1
Youri Tielemans,1718,Monaco,FRA-Ligue 1,MF,20.0,1569,Box-to-Box Engine,Defensive Anchor,30.9,29.8,1.1,98.9,3,0
Ellyes Skhiri,1718,Montpellier,FRA-Ligue 1,MF,22.0,3049,Defensive Anchor,Box-to-Box Engine,36.3,26.7,9.6,90.4,0,3
Jonathan Ikone,1718,Montpellier,FRA-Ligue 1,"MF,FW",19.0,998,Ball Progressor,Creative Playmaker,32.3,26.6,5.7,94.3,1,2
Junior Sambia,1718,Montpellier,FRA-Ligue 1,MF,20.0,1543,Ball Progressor,Creative Playmaker,29.5,28.3,1.2,98.8,1,2
Paul Lasne,1718,Montpellier,FRA-Ligue 1,MF,28.0,3062,Box-to-Box Engine,Defensive Anchor,33.5,28.1,5.4,94.6,3,0
Stéphane Sessègnon,1718,Montpellier,FRA-Ligue 1,"MF,FW",33.0,985,Ball Progressor,Box-to-Box Engine,29.2,24.7,4.5,95.5,1,3
Abdoulaye Touré,1718,Nantes,FRA-Ligue 1,MF,23.0,2810,Defensive Anchor,Box-to-Box Engine,37.2,27.6,9.6,90.4,0,3
Adrien Thomasson,1718,Nantes,FRA-Ligue 1,"MF,FW",23.0,2578,Ball Progressor,Box-to-Box Engine,30.9,24.4,6.5,93.5,1,3
Andrei Girotto,1718,Nantes,FRA-Ligue 1,MF,25.0,1520,Defensive Anchor,Box-to-Box Engine,36.9,24.9,12.0,88.0,0,3
Jules Iloki,1718,Nantes,FRA-Ligue 1,"MF,FW",25.0,1421,Ball Progressor,Creative Playmaker,30.0,27.2,2.8,97.2,1,2
Rene Krhin,1718,Nantes,FRA-Ligue 1,MF,27.0,1312,Defensive Anchor,Ball Progressor,36.1,25.5,10.6,89.4,0,1
Valentin Rongier,1718,Nantes,FRA-Ligue 1,MF,22.0,2350,Box-to-Box Engine,Defensive Anchor,31.5,29.8,1.7,98.3,3,0
Adrien Tameze,1718,Nice,FRA-Ligue 1,MF,23.0,1681,Defensive Anchor,Box-to-Box Engine,35.3,28.2,7.1,92.9,0,3
Jean Seri,1718,Nice,FRA-Ligue 1,MF,26.0,2615,Box-to-Box Engine,Creative Playmaker,32.8,23.3,9.5,90.5,3,2
Nampalys Mendy,1718,Nice,FRA-Ligue 1,MF,25.0,965,Defensive Anchor,Box-to-Box Engine,34.2,27.3,6.9,93.1,0,3
Pierre Lees-Melou,1718,Nice,FRA-Ligue 1,"MF,FW",24.0,2890,Ball Progressor,Box-to-Box Engine,29.8,26.0,3.8,96.2,1,3
Rémi Walter,1718,Nice,FRA-Ligue 1,"MF,FW",22.0,997,Defensive Anchor,Ball Progressor,32.1,28.4,3.7,96.3,0,1
Wylan Cyprien,1718,Nice,FRA-Ligue 1,MF,22.0,951,Box-to-Box Engine,Defensive Anchor,30.6,26.2,4.4,95.6,3,0
Adrien Rabiot,1718,Paris S-G,FRA-Ligue 1,MF,22.0,2362,Box-to-Box Engine,Defensive Anchor,34.9,22.5,12.4,87.6,3,0
Blaise Matuidi,1718,Paris S-G,FRA-Ligue 1,MF,30.0,2354,Defensive Anchor,Ball Progressor,30.5,25.4,5.1,94.9,0,1
Giovani Lo Celso,1718,Paris S-G,FRA-Ligue 1,MF,21.0,1776,Box-to-Box Engine,Creative Playmaker,32.0,23.6,8.4,91.6,3,2
Javier Pastore,1718,Paris S-G,FRA-Ligue 1,"MF,FW",28.0,1347,Creative Playmaker,Ball Progressor,38.9,22.5,16.4,83.6,2,1
Julian Draxler,1718,Paris S-G,FRA-Ligue 1,"MF,FW",23.0,1704,Creative Playmaker,Box-to-Box Engine,32.1,25.9,6.2,93.8,2,3
Marco Verratti,1718,Paris S-G,FRA-Ligue 1,MF,24.0,1718,Box-to-Box Engine,Creative Playmaker,32.8,24.0,8.8,91.2,3,2
Thiago Motta,1718,Paris S-G,FRA-Ligue 1,MF,34.0,1154,Box-to-Box Engine,Defensive Anchor,32.6,25.8,6.8,93.2,3,0
Benjamin André,1718,Rennes,FRA-Ligue 1,MF,26.0,3011,Box-to-Box Engine,Defensive Anchor,31.8,30.3,1.5,98.5,3,0
Benjamin Bourigeaud,1718,Rennes,FRA-Ligue 1,"MF,FW",23.0,3102,Creative Playmaker,Ball Progressor,31.3,27.2,4.1,95.9,2,1
James Lea Siliki,1718,Rennes,FRA-Ligue 1,MF,21.0,1818,Ball Progressor,Box-to-Box Engine,35.9,23.6,12.3,87.7,1,3
Sanjin Prcić,1718,Rennes,FRA-Ligue 1,MF,23.0,1565,Defensive Anchor,Box-to-Box Engine,35.9,29.1,6.8,93.2,0,3
Assane Dioussé,1718,Saint-Étienne,FRA-Ligue 1,MF,19.0,1344,Defensive Anchor,Box-to-Box Engine,33.8,27.5,6.3,93.7,0,3
Bryan Dabo,1718,Saint-Étienne,FRA-Ligue 1,"MF,FW",25.0,1284,Ball Progressor,Defensive Anchor,29.3,27.3,2.0,98.0,1,0
Ole Selnæs,1718,Saint-Étienne,FRA-Ligue 1,MF,23.0,2058,Defensive Anchor,Box-to-Box Engine,35.2,28.2,7.0,93.0,0,3
Rémy Cabella,1718,Saint-Étienne,FRA-Ligue 1,"MF,FW",27.0,2259,Creative Playmaker,Box-to-Box Engine,36.1,23.5,12.6,87.4,2,3
Vincent Pajot,1718,Saint-Étienne,FRA-Ligue 1,MF,26.0,1290,Defensive Anchor,Ball Progressor,37.9,25.0,12.9,87.1,0,1
Yann M'Vila,1718,Saint-Étienne,FRA-Ligue 1,MF,27.0,1479,Defensive Anchor,Box-to-Box Engine,31.5,30.1,1.4,98.6,0,3
Anthony Gonçalves,1718,Strasbourg,FRA-Ligue 1,"MF,FW",31.0,1757,Ball Progressor,Box-to-Box Engine,31.7,24.1,7.6,92.4,1,3
Benjamin Corgnet,1718,Strasbourg,FRA-Ligue 1,"MF,FW",30.0,1376,Ball Progressor,Defensive Anchor,34.4,22.8,11.6,88.4,1,0
Dimitri Liénard,1718,Strasbourg,FRA-Ligue 1,"MF,FW",29.0,2602,Box-to-Box Engine,Ball Progressor,31.2,24.1,7.1,92.9,3,1
Jean-Eudes Aholou,1718,Strasbourg,FRA-Ligue 1,MF,23.0,3006,Defensive Anchor,Box-to-Box Engine,38.0,24.6,13.4,86.6,0,3
