player,season,team,role,similar_player,similar_team,similar_league,similar_season,similar_pos,similarity_score,rank
Abdoulaye Touré,1819,Nantes,Defensive Anchor,Sergi Darder,Espanyol,ESP-La Liga,1718,MF,87.4,3
Abdoulaye Touré,1819,Nantes,Defensive Anchor,Jefferson Lerma,Bournemouth,ENG-Premier League,1920,MF,85.9,4
Abdoulaye Touré,1819,Nantes,Defensive Anchor,Raúl Guti,Elche,ESP-La Liga,2021,MF,85.6,5
Abdoulaye Touré,1920,Nantes,Defensive Anchor,Jefferson Lerma,Bournemouth,ENG-Premier League,1819,MF,87.6,1
Abdoulaye Touré,1920,Nantes,Defensive Anchor,Ibrahim Amadou,Lille,FRA-Ligue 1,1718,"MF,DF",85.7,2
Abdoulaye Touré,1920,Nantes,Defensive Anchor,Mickael Malsa,Levante,ESP-La Liga,2021,MF,85.3,3
Abdoulaye Touré,1920,Nantes,Defensive Anchor,Didier Ibrahim Ndong,Dijon,FRA-Ligue 1,2021,MF,84.8,4
Abdoulaye Touré,1920,Nantes,Defensive Anchor,Walace,Udinese,ITA-Serie A,2021,MF,82.2,5
Abdoulaye Touré,2021,Nantes,Defensive Anchor,Robert Andrich,Leverkusen,GER-Bundesliga,2122,MF,82.6,1
Abdoulaye Touré,2021,Nantes,Defensive Anchor,Yann M'Vila,Saint-Étienne,FRA-Ligue 1,1920,"MF,DF",80.9,2
Abdoulaye Touré,2021,Nantes,Defensive Anchor,Lucas Torró,Osasuna,ESP-La Liga,2021,MF,79.8,3
Abdoulaye Touré,2021,Nantes,Defensive Anchor,Ivan Radovanović,Genoa,ITA-Serie A,1819,MF,79.2,4
Abdoulaye Touré,2021,Nantes,Defensive Anchor,Mikel Vesga,Athletic Club,ESP-La Liga,2021,MF,78.3,5
Abdoulaye Touré,2324,Le Havre,Defensive Anchor,Rubén Alcaraz,Valladolid,ESP-La Liga,2021,MF,88.5,1
Abdoulaye Touré,2324,Le Havre,Defensive Anchor,Iván Marcone,Elche,ESP-La Liga,2021,MF,87.4,2
Abdoulaye Touré,2324,Le Havre,Defensive Anchor,Axel Witsel,Dortmund,GER-Bundesliga,2122,"MF,DF",85.8,3
Abdoulaye Touré,2324,Le Havre,Defensive Anchor,Steven Nzonzi,Roma,ITA-Serie A,1819,MF,84.7,4
Abdoulaye Touré,2324,Le Havre,Defensive Anchor,Thomas Partey,Arsenal,ENG-Premier League,2122,MF,84.6,5
Abdoulaye Touré,2425,Le Havre,Defensive Anchor,Denis Zakaria,Monaco,FRA-Ligue 1,2425,MF,79.6,1
Abdoulaye Touré,2425,Le Havre,Defensive Anchor,Tomáš Souček,West Ham,ENG-Premier League,2324,MF,73.9,2
Abdoulaye Touré,2425,Le Havre,Defensive Anchor,Thomas Mangani,Angers,FRA-Ligue 1,2122,MF,73.2,3
Abdoulaye Touré,2425,Le Havre,Defensive Anchor,Gonzalo Escalante,Cádiz,ESP-La Liga,2223,MF,72.8,4
Abdoulaye Touré,2425,Le Havre,Defensive Anchor,Hanno Behrens,Nürnberg,GER-Bundesliga,1819,MF,71.6,5
Ablie Jallow,2324,Metz,Ball Progressor,Brahim Díaz,Milan,ITA-Serie A,2021,"MF,FW",86.1,1
Ablie Jallow,2324,Metz,Ball Progressor,Nedim Bajrami,Sassuolo,ITA-Serie A,2324,"MF,FW",84.5,2
Ablie Jallow,2324,Metz,Ball Progressor,Gonçalo Guedes,Wolves,ENG-Premier League,2425,"MF,FW",81.3,3
Ablie Jallow,2324,Metz,Ball Progressor,Ivan Ilić,Torino,ITA-Serie A,2425,MF,80.4,4
Ablie Jallow,2324,Metz,Ball Progressor,Carlos Soler,Paris S-G,FRA-Ligue 1,2223,MF,78.8,5
Adam Bodzek,1819,Düsseldorf,Defensive Anchor,Wesley Lautoa,Dijon,FRA-Ligue 1,2021,"MF,DF",92.0,1
Adam Bodzek,1819,Düsseldorf,Defensive Anchor,Javi Fuego,Espanyol,ESP-La Liga,1718,MF,91.0,2
Adam Bodzek,1819,Düsseldorf,Defensive Anchor,Yannick Cahuzac,Toulouse,FRA-Ligue 1,1819,"MF,DF",88.7,3
Adam Bodzek,1819,Düsseldorf,Defensive Anchor,Fernando,Sevilla,ESP-La Liga,2223,"MF,DF",88.1,4
Adam Bodzek,1819,Düsseldorf,Defensive Anchor,Manu García,Alavés,ESP-La Liga,2021,MF,88.0,5
Adam Bodzek,1920,Düsseldorf,Defensive Anchor,Manu García,Alavés,ESP-La Liga,1920,MF,97.5,1
Adam Bodzek,1920,Düsseldorf,Defensive Anchor,Remo Freuler,Nott'ham Forest,ENG-Premier League,2223,MF,95.4,2
Adam Bodzek,1920,Düsseldorf,Defensive Anchor,Dani García,Athletic Club,ESP-La Liga,2122,MF,93.3,3
Adam Bodzek,1920,Düsseldorf,Defensive Anchor,Javi Fuego,Espanyol,ESP-La Liga,1718,MF,91.2,4
Adam Bodzek,1920,Düsseldorf,Defensive Anchor,César de la Hoz,Almería,ESP-La Liga,2223,MF,91.2,5
Adam Forshaw,2122,Leeds United,Defensive Anchor,Maxime Gonalons,Granada,ESP-La Liga,2021,MF,95.3,1
Adam Forshaw,2122,Leeds United,Defensive Anchor,Mehdi Lacen,Málaga,ESP-La Liga,1718,MF,91.9,2
Adam Forshaw,2122,Leeds United,Defensive Anchor,William Vainqueur,Toulouse,FRA-Ligue 1,1920,MF,91.8,3
Adam Forshaw,2122,Leeds United,Defensive Anchor,Manuel Iturra,Málaga,ESP-La Liga,1718,MF,91.2,4
Adam Forshaw,2122,Leeds United,Defensive Anchor,James McCarthy,Crystal Palace,ENG-Premier League,1920,MF,89.1,5
Adam Lallana,2021,Brighton,Box-to-Box Engine,Florent Balmont,Dijon,FRA-Ligue 1,1819,MF,76.6,1
Adam Lallana,2021,Brighton,Box-to-Box Engine,Steven Davis,Southampton,ENG-Premier League,1718,MF,75.5,2
Adam Lallana,2021,Brighton,Box-to-Box Engine,Christian Eriksen,Manchester Utd,ENG-Premier League,2324,MF,74.8,3
Adam Lallana,2021,Brighton,Box-to-Box Engine,João Moutinho,Wolves,ENG-Premier League,2223,MF,73.7,4
Adam Lallana,2021,Brighton,Box-to-Box Engine,Iñigo Ruiz de Galarreta,Athletic Club,ESP-La Liga,2425,MF,73.4,5
Adam Lallana,2122,Brighton,Defensive Anchor,Francesco Magnanelli,Sassuolo,ITA-Serie A,1920,MF,85.6,1
Adam Lallana,2122,Brighton,Defensive Anchor,Albin Ekdal,Spezia,ITA-Serie A,2223,MF,85.6,2
Adam Lallana,2122,Brighton,Defensive Anchor,Étienne Capoue,Villarreal,ESP-La Liga,2324,MF,84.2,3
Adam Lallana,2122,Brighton,Defensive Anchor,Vicente Iborra,Villarreal,ESP-La Liga,2122,MF,83.6,4
Adam Lallana,2122,Brighton,Defensive Anchor,Fernando,Sevilla,ESP-La Liga,2223,"MF,DF",83.1,5
Adam Ounas,2021,Cagliari,Creative Playmaker,Dani Olmo,RB Leipzig,GER-Bundesliga,2223,"MF,FW",86.6,1
Adam Ounas,2021,Cagliari,Creative Playmaker,Lorenzo Pellegrini,Roma,ITA-Serie A,1920,MF,85.2,2
Adam Ounas,2021,Cagliari,Creative Playmaker,Thomas Lemar,Atlético Madrid,ESP-La Liga,2122,MF,84.9,3
Adam Ounas,2021,Cagliari,Creative Playmaker,Emil Forsberg,RB Leipzig,GER-Bundesliga,1819,"MF,FW",84.9,4
Adam Ounas,2021,Cagliari,Creative Playmaker,João Mário,Inter,ITA-Serie A,1718,"MF,FW",84.5,5
Adam Wharton,2324,Crystal Palace,Defensive Anchor,Florian Grillitsch,Hoffenheim,GER-Bundesliga,1718,MF,82.3,1
Adam Wharton,2324,Crystal Palace,Defensive Anchor,Salih Özcan,Köln,GER-Bundesliga,1718,MF,81.8,2
Adam Wharton,2324,Crystal Palace,Defensive Anchor,Arne Maier,Hertha BSC,GER-Bundesliga,1718,MF,77.0,3
Adam Wharton,2324,Crystal Palace,Defensive Anchor,Oliver Arblaster,Sheffield Utd,ENG-Premier League,2324,MF,76.6,4
Adam Wharton,2324,Crystal Palace,Defensive Anchor,Amadou Koné,Reims,FRA-Ligue 1,2425,MF,75.3,5
Adam Wharton,2425,Crystal Palace,Box-to-Box Engine,Kévin Danois,Auxerre,FRA-Ligue 1,2425,MF,74.6,1
Adam Wharton,2425,Crystal Palace,Box-to-Box Engine,Dennis Geiger,Hoffenheim,GER-Bundesliga,2122,MF,70.6,2
Adam Wharton,2425,Crystal Palace,Box-to-Box Engine,Damián Rodríguez,Celta Vigo,ESP-La Liga,2425,MF,70.4,3
Adam Wharton,2425,Crystal Palace,Box-to-Box Engine,Nicolò Rovella,Genoa,ITA-Serie A,2122,MF,69.8,4
Adam Wharton,2425,Crystal Palace,Box-to-Box Engine,Unai López,Rayo Vallecano,ESP-La Liga,2223,MF,67.7,5
Adama Traoré,1819,Monaco,Ball Progressor,Mattias Svanberg,Bologna,ITA-Serie A,1920,MF,87.5,1
Adama Traoré,1819,Monaco,Ball Progressor,Valery Fernández,Girona,ESP-La Liga,2223,"MF,DF",73.5,2
Adama Traoré,1819,Monaco,Ball Progressor,Felix Nmecha,Dortmund,GER-Bundesliga,2324,MF,73.5,3
Adama Traoré,1819,Monaco,Ball Progressor,Eren Dinkçi,Freiburg,GER-Bundesliga,2425,"MF,FW",73.0,4
Adama Traoré,1819,Monaco,Ball Progressor,Martín Payero,Udinese,ITA-Serie A,2425,MF,71.4,5
Adama Traoré,1920,Monaco,Defensive Anchor,Orel Mangala,Nott'ham Forest,ENG-Premier League,2324,MF,74.5,1
Adama Traoré,1920,Monaco,Defensive Anchor,Ondřej Petrák,Nürnberg,GER-Bundesliga,1819,MF,70.1,2
Adama Traoré,1920,Monaco,Defensive Anchor,Pablo Rosario,Nice,FRA-Ligue 1,2324,"MF,DF",69.5,3
Adama Traoré,1920,Monaco,Defensive Anchor,Robert Andrich,Leverkusen,GER-Bundesliga,2425,"MF,DF",69.6,4
Adama Traoré,1920,Monaco,Defensive Anchor,Alessandro Murgia,Lazio,ITA-Serie A,1819,MF,69.3,5
Adem Ljajić,1718,Torino,Creative Playmaker,Hakan Çalhanoğlu,Milan,ITA-Serie A,2021,"MF,FW",91.9,1
Adem Ljajić,1718,Torino,Creative Playmaker,Piotr Zieliński,Napoli,ITA-Serie A,2122,MF,90.5,2
Adem Ljajić,1718,Torino,Creative Playmaker,Dimitri Payet,Marseille,FRA-Ligue 1,1718,"MF,FW",89.9,3
Adem Ljajić,1718,Torino,Creative Playmaker,Julian Brandt,Dortmund,GER-Bundesliga,2324,"MF,FW",89.7,4
Adem Ljajić,1718,Torino,Creative Playmaker,James Maddison,Tottenham,ENG-Premier League,2324,MF,89.5,5
Ademola Lookman,2425,Atalanta,Creative Playmaker,Leon Bailey,Aston Villa,ENG-Premier League,2324,"MF,FW",93.6,1
Ademola Lookman,2425,Atalanta,Creative Playmaker,Viktor Tsyhankov,Girona,ESP-La Liga,2324,"MF,FW",91.5,2
Ademola Lookman,2425,Atalanta,Creative Playmaker,Nicolas de Préville,Bordeaux,FRA-Ligue 1,1920,"MF,FW",91.2,3
Ademola Lookman,2425,Atalanta,Creative Playmaker,Kai Havertz,Leverkusen,GER-Bundesliga,1920,"MF,FW",90.4,4
Ademola Lookman,2425,Atalanta,Creative Playmaker,Thorgan Hazard,Gladbach,GER-Bundesliga,1718,"MF,FW",89.9,5
Adil Aouchiche,2021,Saint-Étienne,Creative Playmaker,Lorenzo Pellegrini,Roma,ITA-Serie A,1819,MF,88.7,1
Adil Aouchiche,2021,Saint-Étienne,Creative Playmaker,Nadiem Amiri,Leverkusen,GER-Bundesliga,1920,"MF,FW",85.4,2
Adil Aouchiche,2021,Saint-Étienne,Creative Playmaker,David Costa,Lens,FRA-Ligue 1,2122,"MF,FW",84.2,3
Adil Aouchiche,2021,Saint-Étienne,Creative Playmaker,Florian Wirtz,Leverkusen,GER-Bundesliga,2122,"MF,FW",84.0,4
