player_name_fbref,club,league,position,position_group,age,market_value_eur,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,inefficiency_score_z,matching_confidence,expected_upside,portfolio_value_score,portfolio_cost,is_eligible_portfolio,expected_roi,matching_confidence_norm,risk_proxy,roi_score_norm,optimization_score,scenario,budget,max_signings,solver_status,budget_utilization,grid_scenario,grid_budget,grid_elapsed_seconds
Ayoube Amaimouni Echghouyab,Eintracht Frankfurt,Bundesliga,"MF,FW",MID,20.85968514715948,500000.0,7244006.534196417,6744006.534196417,5.0,2.361008690955276,1.0,6744006.534196417,96.3266478623314,500000.0,True,13.488013068392833,100.0,0.0,100.0,97.24498589674855,conservative,100000000,8,Optimal,0.701,conservative,100000000,0.12586320005357265
Pedro Santos,Famalicão,Liga Portugal,MF,MID,22.85284052019165,600000.0,7391483.374145665,6791483.374145665,5.0,2.361008690955276,0.85,6791483.374145665,94.88046490164798,600000.0,True,11.319138956909441,85.0,15.0,84.98078461751709,92.40554483061526,conservative,100000000,8,Optimal,0.701,conservative,100000000,0.12586320005357265
Pablo,Gil Vicente FC,Liga Portugal,FW,ATT,21.744010951403148,1500000.0,14982688.611168023,13482688.611168023,5.0,2.361008690955276,0.85,13482688.611168023,95.3607543528196,1500000.0,True,8.988459074112015,85.0,15.0,68.84108201236538,88.73083626770605,conservative,100000000,8,Optimal,0.701,conservative,100000000,0.12586320005357265
Kareem Tunde,Levante,LaLiga,MF,MID,20.418891170431213,500000.0,4058313.2922581015,3558313.292258101,5.0,2.361008690955276,0.85,3558313.292258101,93.46049752103364,500000.0,True,7.116626584516202,85.0,15.0,55.87884728775951,84.06508496271512,conservative,100000000,8,Optimal,0.701,conservative,100000000,0.12586320005357265
Pablo,West Ham United,Premier League,"MF,FW",MID,21.744010951403148,1500000.0,10456423.118064376,8956423.118064377,5.0,2.361008690955276,0.85,8956423.118064376,94.73583548881884,1500000.0,True,5.97094874537625,85.0,15.0,47.94515388717216,83.03816508840717,conservative,100000000,8,Optimal,0.701,conservative,100000000,0.12586320005357265
Basar Onal,NEC Nijmegen,Eredivisie,MF,MID,21.240246406570844,1000000.0,6944850.446795569,5944850.446795569,5.0,2.361008690955276,0.85,5944850.446795569,94.11853687758811,1000000.0,True,5.944850446795569,85.0,15.0,47.76442603145004,82.5300091660536,conservative,100000000,8,Optimal,0.701,conservative,100000000,0.12586320005357265
Filippo Terracciano,Cremonese,Serie A,DF,DEF,22.87200547570157,4500000.0,24042844.878461286,19542844.878461286,4.342854417435841,2.14726618361751,0.85,19542844.878461286,94.47406079480832,4500000.0,True,4.342854417435841,85.0,15.0,36.67077920361275,80.02324039700943,conservative,100000000,8,Optimal,0.701,conservative,100000000,0.12586320005357265
Xavi Simons,Tottenham Hotspur,Premier League,"MF,FW",MID,22.63655030800821,60000000.0,35446036.52367566,-24553963.476324342,-0.4092327246054057,-0.3671488521671793,1.0,-24553963.476324342,64.96034000223763,60000000.0,True,-0.4092327246054057,100.0,0.0,3.763096860615822,49.66102921683218,conservative,100000000,8,Optimal,0.701,conservative,100000000,0.12586320005357265
Ayoube Amaimouni Echghouyab,Eintracht Frankfurt,Bundesliga,"MF,FW",MID,20.85968514715948,500000.0,7244006.534196417,6744006.534196417,5.0,2.361008690955276,1.0,6744006.534196417,96.3266478623314,500000.0,True,13.488013068392833,100.0,0.0,100.0,97.61232111051541,balanced,10000000,4,Optimal,0.71,balanced,10000000,0.10477189999073744
Pedro Santos,Famalicão,Liga Portugal,MF,MID,22.85284052019165,600000.0,7391483.374145665,6791483.374145665,5.0,2.361008690955276,0.85,6791483.374145665,94.88046490164798,600000.0,True,11.319138956909441,85.0,15.0,84.8989098308935,91.38692062688392,balanced,10000000,4,Optimal,0.71,balanced,10000000,0.10477189999073744
