role_subgroup,archetype_id,rank,player,team,league,season,pos_,age_,minutes,archetype_similarity,progressive_passes_p90,pass_completion_pct,long_pass_completion_pct,passes_final_third_p90,blocks_p90,clearances_p90,interceptions_p90,tackles_p90,tackles_won_p90,aerials_won_p90,aerials_won_pct,duel_index_role,defending_index_role,errors_p90,recoveries_p90,progressive_carries_p90,progressive_receipts_p90,key_passes_p90,sca_p90,gca_p90,gca_live_p90,passes_penalty_area_p90,touches_att_third_p90,touches_box_p90,takeons_attempted_p90,takeons_success_pct,creation_index_role,progression_index_role,xg_p90,shots_p90,sot_p90,g_per_shot,g_per_sot,shot_distance,carries_box_p90,finishing_index_role
DEF_CB,0,13,Trevoh Chalobah,Chelsea,ENG-Premier League,2223,DF,23.0,1608,78.3,3.9664804469273744,87.6,65.4,3.575418994413408,0.9497206703910616,3.128491620111732,1.340782122905028,1.7318435754189945,1.11731843575419,1.7318435754189945,49.2,43.643947858473005,2.3910614525139664,0.0558659217877095,4.804469273743017,,,,,,,,,,,,,,,,,,,,,
DEF_CB,0,14,Clément Lenglet,Barcelona,ESP-La Liga,1920,DF,24.0,2424,78.0,4.646840148698885,92.2,77.3,5.4275092936802976,1.0780669144981414,2.9368029739776955,1.3011152416356877,1.6356877323420076,1.1524163568773236,2.193308550185874,60.8,37.66443618339529,2.4237918215613385,0.03717472118959108,5.16728624535316,,,,,,,,,,,,,,,,,,,,,
DEF_CB,0,15,Mario Hermoso,Atlético Madrid,ESP-La Liga,2324,DF,28.0,2557,77.7,6.232394366197183,86.1,60.0,5.704225352112676,0.9507042253521127,3.274647887323944,1.0563380281690142,1.619718309859155,0.8802816901408451,1.619718309859155,59.0,38.539906103286384,2.563380281690141,0.0,5.915492957746479,,,,,,,,,,,,,,,,,,,,,
DEF_CB,0,16,Elseid Hysaj,Napoli,ITA-Serie A,2021,DF,26.0,1768,77.4,4.387755102040816,83.9,61.9,4.030612244897959,0.9183673469387754,2.6530612244897958,1.530612244897959,1.4795918367346939,0.8673469387755102,0.9183673469387754,58.1,41.906122448979595,2.5,0.0,5.918367346938775,,,,,,,,,,,,,,,,,,,,,
DEF_CB,0,17,Santiago Bueno,Girona,ESP-La Liga,2223,DF,23.0,3010,77.3,4.431137724550898,86.5,62.0,4.431137724550898,1.0179640718562875,3.1437125748502996,0.9281437125748503,1.8862275449101797,1.1377245508982037,2.215568862275449,64.3,38.838522954091815,2.2574850299401197,0.059880239520958084,4.311377245508982,,,,,,,,,,,,,,,,,,,,,
DEF_CB,0,18,Marin Pongračić,Lecce,ITA-Serie A,2324,DF,25.0,3219,77.3,3.7430167597765367,84.6,68.9,3.3240223463687153,1.0335195530726258,3.6312849162011176,1.4245810055865924,1.2011173184357542,0.8379888268156426,1.6480446927374304,60.8,42.54934823091248,2.4804469273743015,0.02793296089385475,5.111731843575419,,,,,,,,,,,,,,,,,,,,,
DEF_CB,0,19,Alessandro Bastoni,Inter,ITA-Serie A,1920,DF,20.0,1921,77.3,5.023474178403756,87.5,66.5,4.131455399061033,0.8450704225352113,2.5352112676056335,1.220657276995305,1.5023474178403755,0.7981220657276995,2.0187793427230045,63.2,47.939593114241006,2.488262910798122,0.0,6.338028169014084,,,,,,,,,,,,,,,,,,,,,
DEF_CB,0,20,Jean-Kevin Duverne,Brest,FRA-Ligue 1,2021,DF,23.0,2029,77.2,4.711111111111111,83.4,64.9,4.622222222222222,1.0666666666666667,3.111111111111111,1.3333333333333333,1.6888888888888889,0.9333333333333333,1.6888888888888889,43.2,46.52962962962963,2.4355555555555553,0.0,4.977777777777778,,,,,,,,,,,,,,,,,,,,,
DEF_CB,1,1,Diego Rico,Real Sociedad,ESP-La Liga,2223,DF,29.0,1646,91.0,3.4972677595628414,75.7,44.2,3.1147540983606556,0.9836065573770492,2.7868852459016393,1.0928961748633879,1.9125683060109289,1.1475409836065573,0.9836065573770492,51.4,33.494535519125684,2.4043715846994536,0.0546448087431694,5.245901639344262,,,,,,,,,,,,,,,,,,,,,
DEF_CB,1,2,Kelvin Amian,Toulouse,FRA-Ligue 1,1819,DF,20.0,2880,89.3,3.3125,78.0,45.4,2.34375,1.125,3.53125,1.125,2.125,1.40625,1.46875,49.0,37.322916666666664,2.50625,0.03125,4.625,,,,,,,,,,,,,,,,,,,,,
