player_name_fbref,player_name_tm,club,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_eur,assumed_buy_price_eur,assumed_sell_price_eur,expected_profit_eur,expected_roi_pct,risk_adjusted_profit_eur,risk_adjusted_roi_pct,positive_roi_flag,inefficiency_score_z,growth_score,confidence_score,opportunity_score,opportunity_tier,matching_confidence,matching_method
Harvey Elliott,Harvey Elliott,Liverpool,Premier League,2023-2024,MID,20.709103353867214,1352,30000000.0,34391156.12840647,30000000.0,32195578.064203236,2195578.0642032363,7.318593547344121,1873368.2706700452,6.244560902233484,True,0.1912180356660467,5.925440324586771,85.32460317460317,52.04356527011785,monitoring,0.85,exact_age_validated
Alieu Fadera,Alieu Fadera,Como,Serie A,2024-2025,MID,22.95687885010267,1644,5000000.0,3252560.206385216,5000000.0,4126280.103192608,-873719.8968073921,-17.47439793614784,-728536.7739545639,-14.57073547909128,False,-0.4688366342712274,34.19740882835558,83.38333333333334,52.00360197288023,monitoring,0.85,exact_age_validated
Razvan Sava,Răzvan Sava,Udinese,Serie A,2024-2025,GK,22.494182067077343,1080,2000000.0,2561219.3201603484,2000000.0,2280609.660080174,280609.660080174,14.030483004008698,217238.6451787347,10.861932258936735,True,0.3202172327852143,10.994299876987418,77.41666666666667,51.95738310918381,monitoring,0.85,exact_age_validated
Daniel Fila,Daniel Fila,Venezia,Serie A,2024-2025,ATT,22.33264887063655,492,1200000.0,2224071.3151431736,1200000.0,1712035.6575715868,512035.6575715868,42.669638130965566,335888.8268072486,27.990735567270715,True,0.7508758024127451,9.325421320778725,65.59871794871796,51.854138140527226,monitoring,0.85,exact_age_validated
Tomás Palacios,Tomás Palacios,Monza,Serie A,2024-2025,DEF,21.475701574264203,446,6000000.0,1952700.804066201,6000000.0,3976350.4020331004,-2023649.5979668996,-33.72749329944833,-1215988.5584227773,-20.266475973712954,False,-1.2756195875197414,95.66167139087584,60.0888888888889,51.77859492200892,monitoring,0.85,exact_age_validated
Curtis Jones,Curtis Jones,Liverpool,Premier League,2023-2024,MID,22.444900752908968,1167,25000000.0,27950957.09243408,25000000.0,26475478.54621704,1475478.5462170392,5.901914184868157,1206349.0238134968,4.825396095253987,True,0.1620636186187884,10.905252975960313,81.7598484848485,51.73200407896429,monitoring,0.85,exact_age_validated
Radu Drăgușin,Radu Drăgușin,Tottenham Hotspur,Premier League,2024-2025,DEF,22.86652977412731,1252,25000000.0,24324265.735748284,25000000.0,24662132.86787414,-337867.1321258582,-1.3514685285034327,-301865.5121582251,-1.2074620486329004,False,0.0001631286203692,7.231799728035232,89.34444444444445,51.69909956705325,monitoring,1.0,exact_age_club_validated
Abdukodir Khusanov,Abdukodir Khusanov,Lens,Ligue 1,2024-2025,DEF,20.6050650239562,975,5000000.0,4515687.4844131945,5000000.0,4757843.742206598,-242156.2577934023,-4.843125155868046,-174453.4040519969,-3.489068081039938,False,-0.0866008738516553,33.25678379111753,72.04166666666667,51.69504509411745,monitoring,0.85,exact_age_validated
Brayann Pereira,Brayann Pereira,NEC Nijmegen,Eredivisie,2023-2024,DEF,20.56947296372348,788,600000.0,890047.4011418341,600000.0,745023.700570917,145023.700570917,24.1706167618195,104038.39141512506,17.339731902520843,True,0.4914743289554519,10.994299876987418,71.7388888888889,51.68377550397475,monitoring,0.85,exact_age_validated
Carlos Alcaraz,Carlos Alcaraz,Everton,Premier League,2024-2025,MID,22.026009582477755,764,14000000.0,20712956.907939583,14000000.0,17356478.45396979,3356478.4539697915,23.974846099784227,2492931.136173453,17.806650972667523,True,0.4883954349840232,7.672745208649683,74.27222222222224,51.63569773036343,monitoring,0.85,exact_age_validated
