player_name_fbref,player_name_tm,club,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_eur,assumed_buy_price_eur,assumed_sell_price_eur,expected_profit_eur,expected_roi_pct,risk_adjusted_profit_eur,risk_adjusted_roi_pct,positive_roi_flag,inefficiency_score_z,growth_score,confidence_score,opportunity_score,opportunity_tier,matching_confidence,matching_method
Chadi Riad,Chadi Riad,Real Betis,LaLiga,2023-2024,DEF,20.32306639288159,2164,1000000.0,4010313.597137768,1000000.0,2505156.798568884,1505156.798568884,150.5156798568884,1300706.333429944,130.0706333429944,True,1.6500400184411774,34.19739599015837,86.41666666666667,84.8004443964735,target_scouting,0.85,exact_age_validated
Hugo Sotelo,Hugo Sotelo,Celta Vigo,LaLiga,2023-2024,MID,19.81656399726215,721,500000.0,3041289.010121037,500000.0,1770644.5050605184,1270644.5050605184,254.12890101210368,831460.3501586288,166.29207003172576,True,2.135308339429505,41.97459989017914,65.43611111111112,84.54445386450243,target_scouting,0.85,exact_age_validated
Geny Catamo,Geny Catamo,Sporting CP,Liga Portugal,2023-2024,MID,22.67214236824093,1684,1500000.0,5367704.995528987,1500000.0,3433852.4977644933,1933852.4977644933,128.92349985096624,1659782.6243313146,110.65217495542097,True,1.5173131072958446,39.33614777856725,85.8277777777778,84.48823396497887,target_scouting,0.85,exact_age_validated
Patrick Dorgu,Patrick Dorgu,Lecce,Serie A,2023-2024,DEF,18.95687885010267,1564,2500000.0,4720324.003428662,2500000.0,3610162.001714331,1110162.001714331,44.406480068573245,908420.8957361325,36.3368358294453,True,0.7725074526369564,73.71932726789737,81.82777777777778,84.48598371323628,target_scouting,0.85,exact_age_validated
João Gonçalves,João Gonçalves,Boavista,Liga Portugal,2023-2024,GK,22.89664613278576,3060,500000.0,1454272.0149332362,500000.0,977136.0074666181,477136.0074666181,95.42720149332362,437374.67351106665,87.47493470221332,True,1.2758402554366626,40.27674072040429,91.66666666666669,84.1591281254376,target_scouting,1.0,exact_age_club_validated
Cole Palmer,Cole Palmer,Chelsea,Premier League,2023-2024,MID,21.182751540041068,2607,18000000.0,91617421.26102786,18000000.0,54808710.63051393,36808710.63051393,204.4928368361885,33894687.70559824,188.3038205866569,True,1.927739767338853,13.978897748714436,92.08333333333334,84.07081558674044,target_scouting,0.85,exact_age_validated
Gaetano Oristanio,Gaetano Oristanio,Cagliari,Serie A,2023-2024,MID,21.03490759753593,1104,1500000.0,8858163.312329998,1500000.0,5179081.656164999,3679081.656164999,245.27211041099991,2834732.4160751323,188.98216107167548,True,2.100879233772297,26.14170513363474,77.05000000000001,83.79549908289293,target_scouting,0.85,exact_age_validated
Arthur Atta,Arthur Atta,Udinese,Serie A,2024-2025,MID,21.927446954141,1251,1000000.0,7244173.1482627485,1000000.0,4122086.5741313742,3122086.5741313742,312.2086574131374,2572859.5109654306,257.28595109654304,True,2.3196196230899084,10.053674839749371,82.40833333333335,83.6013639763886,target_scouting,0.85,exact_age_validated
Ilaix Moriba,Ilaix Moriba,Celta Vigo,LaLiga,2024-2025,MID,21.93839835728953,2132,4000000.0,18956112.559742525,4000000.0,11478056.279871263,7478056.279871263,186.95140699678157,6960824.053846834,174.02060134617085,True,1.8445422241739136,14.454693535314805,93.08333333333334,83.51514001574421,target_scouting,0.85,exact_age_validated
Mason Greenwood,Mason Greenwood,Getafe,LaLiga,2023-2024,MID,21.916495550992472,2662,5000000.0,33869890.77640487,5000000.0,19434945.388202436,14434945.388202436,288.6989077640487,13027538.212852698,260.55076425705397,True,2.2607261545891912,0.9406250372380488,90.25,83.1643027129305,target_scouting,0.85,exact_age_validated
William Osula,William Osula,Sheffield United,Premier League,2023-2024,ATT,20.18069815195072,786,1000000.0,4562220.432833058,1000000.0,2781110.216416529,1781110.216416529,178.11102164165288,1188000.514349825,118.80005143498249,True,1.8002479606215105,48.23170767273699,66.70000000000002,82.58026530021002,target_scouting,0.85,exact_age_validated
Moussa Diarra,Moussa Diarra,Toulouse,Ligue 1,2023-2024,DEF,22.92950034223135,1397,1500000.0,6464589.031796773,1500000.0,3982294.5158983865,2482294.5158983865,165.48630105989244,2007486.7371073784,133.83244914049192,True,1.7339217203024293,31.596473139527344,80.87222222222222,82.32052392133325,target_scouting,0.85,exact_age_validated
Cristhian Mosquera,Cristhian Mosquera,Valencia,LaLiga,2023-2024,DEF,19.29363449691992,3075,2000000.0,6918094.995312755,2000000.0,4459047.497656377,2459047.497656377,122.95237488281884,2125026.8792247195,106.25134396123596,True,1.477772477108798,34.19740401402804,86.41666666666667,82.25578260020231,target_scouting,0.85,exact_age_validated
Arthur Zagre,Arthur Zagré,Excelsior,Eredivisie,2023-2024,DEF,22.034223134839152,2313,850000.0,3690675.272678501,850000.0,2270337.6363392505,1420337.6363392505,167.09854545167653,1330552.007184948,156.5355302570527,True,1.7426052603188955,13.299568969089476,93.67857142857144,81.86737004638942,target_scouting,0.85,exact_age_validated
Rafa Marín,Rafa Marín,Alavés,LaLiga,2023-2024,DEF,21.40177960301164,2443,3000000.0,4403010.194110865,3000000.0,3701505.0970554324,701505.0970554324,23.38350323518108,606217.3213720695,20.20724404573565,True,0.4790456382308615,71.81502240666526,86.41666666666667,81.69820638095662,target_scouting,0.85,exact_age_validated
Hélio Varela,Hélio Varela,Portimonense,Liga Portugal,2023-2024,MID,21.4072553045859,2743,500000.0,2428671.6020076266,500000.0,1464335.8010038133,964335.8010038133,192.86716020076267,814595.8807923879,162.91917615847757,True,1.873269221310864,19.66307817607741,84.47222222222223,81.65324343484582,target_scouting,0.85,exact_age_validated
Luca Marianucci,Luca Marianucci,Empoli,Serie A,2024-2025,DEF,20.40520191649555,1069,800000.0,2260864.9064369453,800000.0,1530432.4532184727,730432.4532184727,91.30405665230909,527392.5210141046,65.92406512676308,True,1.242334554003782,60.31270565962471,72.2027777777778,81.61476861144305,target_scouting,0.85,exact_age_validated
Matìas Soulé,Matías Soulé,Frosinone,Serie A,2023-2024,MID,20.490075290896645,3121,8000000.0,25282322.64999118,8000000.0,16641161.32499559,8641161.32499559,108.01451656244487,7611422.93376695,95.14278667208687,True,1.372543785839348,33.2567849947001,88.08333333333334,81.16934062284189,target_scouting,0.85,exact_age_validated
