player_name_fbref,player_id_tm,club,current_club_name_tm,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_ml_eur,market_value_gap_ml_eur,market_value_gap_ml_pct,log_market_value_eur,predicted_log_market_value_ml,inefficiency_score_ml,inefficiency_score_ml_z,confidence_score_ml,opportunity_score_ml,matching_method,matching_confidence,age_diff,club_score
Junior Kadile,585958.0,Almere City,Servette Football Club 1890 SA,Eredivisie,2024-2025,MID,22.0041067761807,2207,500000.0,2117687.2640975616,1617687.2640975616,3.2353745281951234,13.122363377404328,14.565835138007788,1.44347176060346,1.615033366513892,0.7646509240246406,1.2349367560354736,exact_age_validated,0.85,1.0041067761806985,33.333333333333336
Armin Gigovic,651269.0,Holstein Kiel,Berner Sport Club Young Boys,Bundesliga,2024-2025,MID,22.510609171800137,1895,2500000.0,9751340.903503636,7251340.903503636,2.9005363614014543,14.73180128983843,16.09291536208232,1.3611140722438897,1.5292975426972784,0.8065982203969884,1.233528676397112,exact_age_validated,0.85,0.5106091718001373,24.390243902439025
Mikel Jauregizar,938729.0,Athletic Club,Athletic Club Bilbao,LaLiga,2024-2025,MID,20.91170431211499,2244,3000000.0,9559244.516475933,6559244.516475933,2.186414838825311,14.914122846632385,16.073019256431678,1.1588964097992935,1.3187853461399461,0.9088295687885012,1.1985511174569614,exact_age_club_validated,1.0,0.9117043121149884,78.78787878787878
Joaquín Panichelli,1064871.0,CD Mirandés,Racing Club de Strasbourg Alsace,Spanish Segunda División,2024-2025,ATT,22.02053388090349,3457,600000.0,2403695.5727256765,1803695.5727256765,3.0061592878761276,13.304684934198283,14.692517932976953,1.38783299877867,1.5571124222013455,0.7632546201232034,1.188473250296409,exact_age_validated,0.85,1.0205338809034892,32.55813953488372
Myles Peart-Harris,587002.0,Swansea City,Brentford Football Club,Championship,2024-2025,MID,22.28336755646817,1665,700000.0,2904176.335061536,2204176.335061536,3.148823335802194,13.458835614025542,14.881660374523275,1.4228247604977327,1.5935394708173825,0.7409137577002054,1.1806753173669036,exact_age_validated,0.85,1.2833675564681712,17.14285714285714
Václav Sejk,629777.0,Famalicão,"SK Sigma Olomouc, a.s.",Liga Portugal,2024-2025,ATT,22.562628336755647,858,600000.0,2309639.051373894,1709639.0513738939,2.84939841895649,13.304684934198283,14.652601815472424,1.3479168812741413,1.5155590313039449,0.764741683778234,1.1590111654646882,exact_age_validated,0.85,0.5626283367556475,27.586206896551722
Kévin Boma,709727.0,Estoril,Grupo Desportivo Estoril Praia,Liga Portugal,2024-2025,DEF,21.883641341546884,2467,600000.0,2235077.747321935,1635077.747321935,2.7251295788698915,13.304684934198283,14.619786571698574,1.315101637500291,1.4813977767236721,0.7748904859685148,1.1479210431180837,exact_age_validated,0.85,0.883641341546884,37.83783783783784
Carlos Romero,709372.0,Espanyol,Reial Club Deportiu Espanyol de Barcelona S.A.D.,LaLiga,2024-2025,DEF,22.951403148528406,2554,2500000.0,9366568.29073815,6866568.2907381505,2.7466273162952604,14.73180128983843,16.05265734281254,1.3208560529741113,1.4873882259586853,0.7691307323750854,1.1439959955576826,exact_age_validated,0.85,0.9514031485284065,29.09090909090909
Jon Martin,1018938.0,Real Sociedad,Real Sociedad de Fútbol S.A.D.,LaLiga,2024-2025,DEF,18.680355920602327,904,2000000.0,7146154.683477674,5146154.683477674,2.573077341738837,14.508657738524219,15.78208496349378,1.273427224969561,1.4380139693152365,0.7921697467488023,1.1391511618936907,exact_age_validated,0.85,0.6803559206023273,61.904761904761905
Eliezer Mayenda,967346.0,Sunderland,Sunderland Association Football Club,Championship,2024-2025,MID,19.381245722108144,2155,1000000.0,3421665.311830539,2421665.311830539,2.4216653118305387,13.815510557964274,15.04563792380903,1.2301273658447567,1.392938042985196,0.8175941136208078,1.1388579445831841,exact_age_validated,0.85,0.3812457221081438,43.47826086956522
Wouter Prins,671734.0,Groningen,Football Club Groningen,Eredivisie,2024-2025,DEF,20.687200547570157,1662,500000.0,1749876.2552701498,1249876.2552701498,2.4997525105403,13.122363377404328,14.375055632125337,1.2526922547210084,1.416428495129619,0.7915879534565367,1.1212277336771772,exact_age_validated,0.85,0.687200547570157,56.25
Milan Smit,703772.0,Go Ahead Eagles,Go Ahead Eagles,Eredivisie,2024-2025,ATT,21.66735112936345,837,1000000.0,3096813.894601588,2096813.8946015881,2.096813894601588,13.815510557964274,14.94588436499655,1.1303738070322762,1.2890928074792238,0.8679363449691992,1.1188504996496011,exact_age_club_validated,1.0,0.6673511293634498,100.0
Williot Swedberg,764859.0,Celta Vigo,Real Club Celta de Vigo S. A. D.,LaLiga,2024-2025,MID,20.903490759753595,1348,5000000.0,17915229.204947732,12915229.204947732,2.5830458409895463,15.424948470398375,16.701161702663782,1.2762132322654072,1.440914252645502,0.7732032854209444,1.114119634155367,exact_age_validated,0.85,0.9034907597535948,51.28205128205128
Lukas Ullrich,787151.0,Gladbach,Borussia Verein für Leibesübungen 1900 Mönchengladbach,Bundesliga,2024-2025,DEF,20.763860369609855,1903,3000000.0,10495098.680850489,7495098.680850489,2.498366226950163,14.914122846632385,16.166418913846357,1.2522960672139725,1.416016056862128,0.7850718685831624,1.1116743717045123,exact_age_validated,0.85,0.7638603696098549,28.07017543859649
Amadou Koné,1178474.0,Reims,Neom Sports Club,Ligue 1,2024-2025,MID,19.575633127994525,1293,1000000.0,3379800.205044486,2379800.205044486,2.379800205044486,13.815510557964274,15.033327154778497,1.2178165968142238,1.3801223126548274,0.8010711841204654,1.1055762152294777,exact_age_validated,0.85,0.575633127994525,28.57142857142857
Bas van den Eynden,621195.0,Mechelen,Yellow-Red Koninklijke Voetbalclub Mechelen,Belgian Pro League,2024-2025,DEF,22.73511293634497,1026,500000.0,1710008.5699627453,1210008.5699627453,2.4200171399254904,13.122363377404328,14.352008940140404,1.229645562736076,1.3924364773479991,0.7875154004106777,1.096565170005143,exact_age_validated,0.85,0.7351129363449687,31.372549019607842
Gerard Martín,705395.0,Barcelona,Futbol Club Barcelona,LaLiga,2024-2025,DEF,22.622861054072555,1038,3000000.0,10037151.249214033,7037151.249214033,2.345717083071344,14.914122846632385,16.12180389184789,1.2076810452155051,1.3695710225025588,0.7970568104038329,1.0916259108174056,exact_age_validated,0.85,0.6228610540725548,60.0
Jacob Wright,983702.0,Norwich City,Manchester City Football Club,Championship,2024-2025,MID,19.236139630390145,888,800000.0,2977867.230249696,2177867.230249696,2.72233403781212,13.592367006650065,14.9067179077029,1.3143509010528351,1.4806162466798616,0.7349957563312799,1.0882466580648458,exact_age_validated,0.85,1.236139630390145,39.02439024390244
Tika de Jonge,653725.0,Groningen,Football Club Groningen,Eredivisie,2024-2025,MID,21.596167008898014,1271,500000.0,1652928.4232980062,1152928.4232980062,2.3058568465960123,13.122363377404328,14.318059074775507,1.1956956973711783,1.3570940614363898,0.7993258042436687,1.084760302091949,exact_age_validated,0.85,0.5961670088980142,56.25
Javi Rodríguez,1076815.0,Celta Vigo,Real Club Celta de Vigo S. A. D.,LaLiga,2024-2025,DEF,21.29226557152635,2514,3000000.0,9356063.019996287,6356063.019996287,2.118687673332096,14.914122846632385,16.051535142447648,1.1374122958152633,1.2964199999521202,0.8251574264202602,1.0697505907202454,exact_age_validated,0.85,0.29226557152635024,51.28205128205128
Adrian Blake,875581.0,Utrecht,Football Club Utrecht,Eredivisie,2024-2025,MID,19.42505133470226,468,500000.0,4940832.068892606,4440832.068892606,8.881664137785211,13.122363377404328,15.413044309979027,2.2906809325746984,2.4969932387582268,0.42321273100616014,1.0567593278787861,exact_age_validated,0.85,0.4250513347022604,50.0
Syb Van Ottele,485586.0,Fortuna Sittard,Fortuna Sittardia Combinatie,Eredivisie,2024-2025,DEF,22.872005475701574,1874,600000.0,1966174.495449981,1366174.495449981,2.276957492416635,13.304684934198283,14.491600332337585,1.186915398139302,1.34795361319172,0.7758795345653662,1.0458496220188953,exact_age_validated,0.85,0.8720054757015738,69.76744186046511
Anouar Ait El Hadj,486039.0,Union SG,Royale Union Saint-Gilloise,Belgian Pro League,2024-2025,MID,22.64476386036961,1641,1800000.0,5706422.356398778,3906422.356398778,2.1702346424437655,14.403297222866392,15.557102827714608,1.1538056048482161,1.3134857273057612,0.795195071868583,1.0444773773232627,exact_age_validated,0.85,0.6447638603696113,40.0
