player_name_fbref,player_id_tm,club,current_club_name_tm,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_ml_eur,market_value_gap_ml_eur,market_value_gap_ml_pct,log_market_value_eur,predicted_log_market_value_ml,inefficiency_score_ml,inefficiency_score_ml_z,confidence_score_ml,opportunity_score_ml,matching_method,matching_confidence,age_diff,club_score
Leny Yoro,923831.0,Manchester Utd,Manchester United Football Club,Premier League,2024-2025,DEF,18.882956878850102,1165,55000000.0,8575741.412247451,-46424258.58775255,-0.8440774288682282,17.822843743196746,15.964448009348322,-1.8583957338484236,-1.822269639541579,0.7749486652977413,0.0,exact_age_validated,0.85,0.8829568788501021,62.22222222222222
Lucas Beraldo,872171.0,Paris Saint-Germain,Paris Saint-Germain Football Club,Ligue 1,2024-2025,DEF,21.045859000684462,2011,30000000.0,4723478.029983449,-25276521.97001655,-0.842550732333885,17.216707939626428,15.36805595696498,-1.8486519826614476,-1.8121262206122832,0.8954140999315537,0.0,exact_age_club_validated,1.0,1.0458590006844624,73.07692307692308
Tiago Santos,816580.0,Lille,Lille Olympique Sporting Club,Ligue 1,2024-2025,DEF,22.38466803559206,404,15000000.0,2382596.2347232415,-12617403.765276758,-0.8411602510184506,16.523560759066484,14.683701306023494,-1.8398594530429904,-1.802973040316848,0.4086516084873374,0.0,exact_age_validated,0.85,0.3846680355920604,29.411764705882348
Alejandro Balde,636688.0,Barcelona,Futbol Club Barcelona,LaLiga,2024-2025,DEF,21.193702943189596,2284,50000000.0,8085629.765162649,-41914370.23483735,-0.838287404696747,17.72753356339242,15.905598940991707,-1.821934622400713,-1.7843129716274584,0.7485352498288843,0.0,exact_age_validated,0.85,1.1937029431895958,60.0
Roméo Lavia,628451.0,Chelsea,Chelsea Football Club,Premier League,2024-2025,MID,20.944558521560573,797,40000000.0,6695921.763218074,-33304078.236781925,-0.8326019559195481,17.50439001207821,15.717009206975971,-1.7873808051022397,-1.7483418309713583,0.681623203285421,0.0,exact_age_validated,0.85,0.9445585215605732,50.0
Malick Yalcouye,1178758.0,Sturm Graz,Sportklub Puntigamer Sturm Graz,Austrian Bundesliga,2024-2025,MID,19.080082135523615,1977,13000000.0,2198470.797280745,-10801529.202719254,-0.830886861747635,16.38045991542581,14.60327258449488,-1.7771873309309303,-1.7377302423869996,0.7581930184804927,0.0,exact_age_validated,0.85,1.0800821355236145,48.78048780487805
Jamal Musiala,580195.0,Bayern Munich,FC Bayern München,Bundesliga,2024-2025,MID,21.39082819986311,1798,130000000.0,22666889.93821503,-107333110.06178497,-0.8256393081675767,18.683045008419857,16.936415824639127,-1.7466291837807297,-1.7059186656852197,0.9609171800136892,0.0,exact_age_club_validated,1.0,0.39082819986310824,80.0
Luca Koleosho,745461.0,Burnley,Paris Football Club,Championship,2024-2025,MID,20.024640657084188,1677,12000000.0,2153535.0427452615,-9846464.957254738,-0.8205387464378948,16.300417207752275,14.582621255805138,-1.7177959519471369,-1.6759027566208993,0.762905544147844,0.0,exact_age_validated,0.85,1.0246406570841877,15.384615384615385
Roger Fernandes,906329.0,Braga,Al-Ittihad Football Club,Liga Portugal,2024-2025,MID,19.077344284736483,1739,15000000.0,2715857.0486933924,-12284142.951306608,-0.8189428634204405,16.523560759066484,14.814618133246615,-1.7089426258198692,-1.6666862860744645,0.7584257357973989,0.0,exact_age_validated,0.85,1.0773442847364834,20.68965517241379
Nico Williams,709187.0,Athletic Club,Athletic Club Bilbao,LaLiga,2024-2025,MID,22.017796030116358,1996,70000000.0,12682671.091114068,-57317328.90888593,-0.8188189844126561,18.064005800013632,16.35574713866229,-1.7082586613513406,-1.6659742668527182,0.9982203969883642,0.0,exact_age_club_validated,1.0,0.017796030116357997,78.78787878787878
