player_name_fbref,club,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,inefficiency_score_z,growth_score,confidence_score,opportunity_score,opportunity_tier,matching_confidence,matching_method,risk_age_component,risk_minutes_component,risk_confidence_component,risk_gap_component,risk_score_raw,risk_score,risk_level,risk_adjusted_opportunity_score
Erick Nunes,Cercle Brugge,Belgian Pro League,2024-2025,MID,20.591375770020534,1805,500000.0,2249646.4885349832,1749646.4885349832,3.4992929770699663,1.6956671334615687,58.504578984604,86.41666666666667,87.84852964061595,target_scouting,0.85,exact_age_validated,15,25,13.583333333333329,15,17.58,56.0,Alto,38.65
Gerard Martín,Barcelona,LaLiga,2024-2025,DEF,22.622861054072555,1038,3000000.0,13489332.838767951,10489332.838767951,3.496444279589318,1.6950026267233462,75.66410887790562,71.60000000000002,87.65889727713353,target_scouting,0.85,exact_age_validated,15,45,28.399999999999977,15,28.02,96.0,Muy alto,3.51
Rabby Nzingoula,Montpellier,Ligue 1,2024-2025,MID,18.86652977412731,1689,1500000.0,5984569.48754877,4484569.48754877,2.98971299169918,1.5695518301700042,58.50465908109023,89.50833333333334,87.53288485837449,target_scouting,1.0,exact_age_club_validated,35,25,10.49166666666666,15,21.65,82.0,Muy alto,15.76
Saba Goglichidze,Empoli,Serie A,2024-2025,DEF,20.314852840520192,2539,5000000.0,7196091.17481075,2196091.1748107504,0.43921823496215,0.4997635783697663,100.0,86.41666666666667,87.4042123398591,target_scouting,0.85,exact_age_validated,15,10,13.583333333333329,15,13.08,21.5,Bajo,68.61
Erick Nunes,Cercle Brugge,Belgian Pro League,2024-2025,MID,20.591375770020534,1805,500000.0,2166313.224580437,1666313.224580437,3.3326264491608737,1.656063534363268,58.504578984604,86.41666666666667,87.3043313812495,target_scouting,0.85,exact_age_validated,15,25,13.583333333333329,15,17.58,56.0,Alto,38.41
Gerard Martín,Barcelona,LaLiga,2024-2025,DEF,22.622861054072555,1038,3000000.0,12977539.528518915,9977539.528518915,3.325846509506306,1.6544203949325125,75.66410887790562,71.60000000000002,87.10125149734061,target_scouting,0.85,exact_age_validated,15,45,28.399999999999977,15,28.02,96.0,Muy alto,3.48
Erick Nunes,Cercle Brugge,Belgian Pro League,2024-2025,MID,20.591375770020534,1805,500000.0,2104366.036664129,1604366.0366641288,3.2087320733282576,1.6256235161942574,58.504578984604,86.41666666666667,86.88605109158334,target_scouting,0.85,exact_age_validated,15,25,13.583333333333329,15,17.58,56.0,Alto,38.23
Rabby Nzingoula,Montpellier,Ligue 1,2024-2025,MID,18.86652977412731,1689,1500000.0,5669099.00651,4169099.00651,2.779399337673333,1.5127330386290323,58.50465908109023,89.50833333333334,86.75213037747103,target_scouting,1.0,exact_age_club_validated,35,25,10.49166666666666,15,21.65,82.0,Muy alto,15.62
Gerard Martín,Barcelona,LaLiga,2024-2025,DEF,22.622861054072555,1038,3000000.0,12596456.66967911,9596456.66967911,3.1988188898930368,1.6231493228137477,75.66410887790562,71.60000000000002,86.6715515861453,target_scouting,0.85,exact_age_validated,15,45,28.399999999999977,15,28.02,96.0,Muy alto,3.47
Rabby Nzingoula,Montpellier,Ligue 1,2024-2025,MID,18.86652977412731,1689,1500000.0,5574601.900021795,4074601.900021795,2.716401266681197,1.4950966663631622,58.50465908109023,89.50833333333334,86.50978666863784,target_scouting,1.0,exact_age_club_validated,35,25,10.49166666666666,15,21.65,82.0,Muy alto,15.57
