player_name_fbref,player_name_tm,club,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,inefficiency_score_z,growth_score,confidence_score,opportunity_score,opportunity_tier,matching_confidence,matching_method
Etienne Youte Kinkoue,Étienne Youté Kinkoué,Le Havre,Ligue 1,2023-2024,DEF,21.924709103353862,1941,1800000.0,2510905.4924097164,710905.4924097164,0.3949474957831757,0.4198438860438118,71.81500457585918,86.41666666666667,80.82369587095722,target_scouting,0.85,exact_age_validated
Roberto Férnandez,Roberto Fernández,Espanyol,LaLiga,2024-2025,ATT,22.26694045174538,1497,3500000.0,3499739.1671108487,-260.8328891512938,-7.452368261465537e-05,0.0319973993045709,70.53014067480824,80.525,71.70078596118523,high_priority,0.85,exact_age_validated
Sergi Altimira,Sergi Altimira,Real Betis,LaLiga,2023-2024,MID,22.132785763175907,568,2000000.0,3162103.4093624894,1162103.4093624894,0.5810517046812447,0.5657339432418146,69.75422779503951,62.46111111111112,70.37326028824648,high_priority,0.85,exact_age_validated
Pietro Comuzzo,Pietro Comuzzo,Fiorentina,Serie A,2024-2025,DEF,19.65776865160849,2200,4000000.0,3170957.0220777984,-829042.9779222016,-0.2072607444805504,-0.2384868587875973,69.60438851081008,86.41666666666667,70.26491914048967,high_priority,0.85,exact_age_validated
Jordy Makengo,Jordy Makengo,Freiburg,Bundesliga,2023-2024,DEF,22.362765229295004,1026,2000000.0,2480919.9575971584,480919.9575971584,0.2404599787985792,0.2831090910897575,69.60436959740817,71.36666666666669,70.53892303978203,high_priority,0.85,exact_age_validated
Dean Huijsen,Dean Huijsen,Roma,Serie A,2023-2024,DEF,18.68309377138946,509,2500000.0,2536406.820875726,36406.820875726175,0.0145627283502904,0.0489266482432244,66.63652384517141,61.31388888888891,60.996285459425096,high_priority,0.85,exact_age_validated
Bryan Zaragoza,Bryan Zaragoza,Granada,LaLiga,2023-2024,MID,22.091718001368925,1638,8000000.0,5987197.514941861,-2012802.485058139,-0.2516003106322674,-0.3055377789800235,66.59365911604577,83.2666666666667,66.58307504777139,high_priority,0.85,exact_age_validated
Mamadou Sarr,Mamadou Sarr,Strasbourg,Ligue 1,2024-2025,DEF,19.107460643394933,2365,5000000.0,3859472.21412361,-1140527.78587639,-0.228105557175278,-0.2695286118441401,63.89234245738985,86.41666666666667,67.65091302347084,high_priority,0.85,exact_age_validated
Rocco Reitz,Rocco Reitz,Gladbach,Bundesliga,2023-2024,MID,21.388090349075977,2136,4000000.0,5623377.387520007,1623377.3875200069,0.4058443468800017,0.4289086729881923,63.892339247839104,86.41666666666667,77.96793832133194,high_priority,0.85,exact_age_validated
Givairo Read,Givairo Read,Feyenoord,Eredivisie,2024-2025,DEF,18.54346338124572,1979,4000000.0,3162103.4093624894,-837896.5906375106,-0.2094741476593776,-0.2417440435738251,63.892339247839104,86.41666666666667,68.06133395560802,high_priority,0.85,exact_age_validated
Gjivai Zechiël,Gjivai Zechiël,Sparta Rotterdam,Eredivisie,2024-2025,MID,20.36960985626284,1025,3000000.0,955268.7562225736,-2044731.2437774264,-0.6815770812591422,-1.3010489503886469,63.89233389859,71.34722222222223,44.97332930458,monitoring,0.85,exact_age_validated
Max Rosenfelder,Max Rosenfelder,Freiburg,Bundesliga,2024-2025,DEF,21.661875427789184,1249,2500000.0,3067050.78044376,567050.7804437601,0.226820312177504,0.2702288225887609,63.89232961919265,75.70277777777778,70.33410506987268,high_priority,0.85,exact_age_validated
Jarell Quansah,Jarell Quansah,Liverpool,Premier League,2023-2024,DEF,20.692676249144423,1190,2000000.0,6195650.056587502,4195650.056587502,2.097825028293751,1.3492872547813937,63.89232320009983,74.55555555555557,85.70707760611289,target_scouting,0.85,exact_age_validated
Rabby Nzingoula,Rabby Nzingoula,Montpellier,Ligue 1,2024-2025,MID,18.86652977412731,1689,1500000.0,3375378.418488724,1875378.418488724,1.2502522789924828,0.9769035142924256,63.89231250162032,89.50833333333334,87.58916102574213,target_scouting,1.0,exact_age_club_validated
Ilario Monterisi,Ilario Monterisi,Frosinone,Serie A,2023-2024,DEF,21.80971937029432,1469,1500000.0,3630492.964815065,2130492.964815065,1.4203286432100433,1.0617825345747365,63.89231250162032,85.23055555555557,86.7308483688561,target_scouting,1.0,exact_age_club_validated
Yassin Belkhdim,Yassin Belkhdim,Angers,Ligue 1,2024-2025,MID,22.64476386036961,1523,500000.0,2637953.539268849,2137953.539268849,4.275907078537698,1.9695623676788188,63.89222691416951,81.03055555555557,98.06645565534534,target_scouting,0.85,exact_age_validated
