player_name_fbref,player_name_tm,club,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,inefficiency_score_z,growth_score,confidence_score,opportunity_score,opportunity_tier,matching_confidence,matching_method
Marvin Elimbi,Marvin Elimbi,Gil Vicente FC,Liga Portugal,2025-2026,DEF,22.60917180013689,2430,1000000.0,2336942.478909334,1336942.4789093346,1.3369424789093347,1.2030683753177924,17.59754737996678,91.41666666666669,64.16583186899831,high_priority,0.85,exact_age_validated
Casper Widell,Casper Widell,Excelsior,Eredivisie,2025-2026,DEF,22.57905544147844,3053,900000.0,2522684.070488642,1622684.070488642,1.8029823005429355,1.410699248461304,9.19628026698262,92.45833333333334,63.892911478618224,high_priority,0.85,exact_age_validated
Mimeirhel Benita,Mimeirhel Benita,Heracles Almelo,Eredivisie,2025-2026,DEF,22.04243668720055,1447,700000.0,2378384.4199469555,1678384.4199469555,2.397692028495651,1.6304014437784609,1.5273495707664484,91.6361111111111,63.28619976447024,high_priority,1.0,exact_age_club_validated
Pau Navarro,Pau Navarro,Villarreal,LaLiga,2025-2026,DEF,20.63244353182752,1921,5000000.0,9815859.972098531,4815859.972098531,0.9631719944197062,1.0040681386493762,21.195218730965813,89.75000000000001,62.39809923222038,high_priority,0.85,exact_age_validated
Jesus Vazquez,Jesús Vázquez,Valencia,LaLiga,2025-2026,DEF,22.94318959616701,974,3000000.0,12122478.325454349,9122478.325454349,3.040826108484783,1.8283407551881108,5.139915299934949,78.6888888888889,61.81606023506955,high_priority,0.85,exact_age_validated
Aske Adelgaard,Aske Adelgaard,Go Ahead Eagles,Eredivisie,2025-2026,DEF,22.06160164271047,1564,700000.0,1853264.0615525711,1153264.0615525711,1.6475200879322445,1.345545801853194,4.598489516946761,92.86209150326798,61.43601577165691,high_priority,1.0,exact_age_club_validated
Mio Backhaus,Mio Backhaus,Werder Bremen,Bundesliga,2025-2026,GK,21.49486652977413,2880,4000000.0,12932692.943219803,8932692.943219805,2.2331732358049514,1.5737298115068137,24.2946756584005,88.08333333333334,70.05880158108398,high_priority,0.85,exact_age_validated
Robin Roefs,Robin Roefs,Sunderland,Premier League,2025-2026,GK,22.748802190280628,3150,12000000.0,18419454.982525017,6419454.982525017,0.5349545818770848,0.7231087190266161,31.866125428371028,88.08333333333334,62.38644121327461,high_priority,0.85,exact_age_validated
Tom de Graaff,Tom de Graaff,Zwolle,Eredivisie,2025-2026,GK,20.810403832991103,2790,600000.0,1114595.36983017,514595.36983017,0.8576589497169499,0.9409883777191784,25.058330800461352,86.41666666666667,61.74542750470626,high_priority,0.85,exact_age_validated
Edoardo Motta,Edoardo Motta,Lazio,Serie A,2025-2026,GK,20.72826830937714,810,1200000.0,2232710.7764059044,1032710.7764059044,0.8605923136715871,0.942789978571531,32.98244743708089,67.16666666666669,56.90148733889372,monitoring,0.85,exact_age_validated
Juan Castillo,Juan Castillo,Vitória Guimarães,Liga Portugal,2025-2026,GK,22.713210130047912,1350,800000.0,887100.0048713512,87100.00487135118,0.1088750060891889,0.3518373631479797,18.361218794599107,81.00000000000001,49.48790322261818,monitoring,0.85,exact_age_validated
Amorim,Amorim,Alverca,Liga Portugal,2025-2026,MID,20.36960985626284,1624,1000000.0,3688035.538998239,2688035.538998239,2.688035538998239,1.7240286758562249,99.23632756833167,84.66111111111113,100.0,target_scouting,0.85,exact_age_validated
Samir El Mourabet,Samir El Mourabet,Strasbourg,Ligue 1,2025-2026,MID,20.01095140314853,2128,2000000.0,3421518.444074214,1421518.444074214,0.710759222037107,0.8469246832795292,100.0,86.41666666666667,90.04625649276937,target_scouting,0.85,exact_age_validated
Yan Diomandé,Yan Diomande,RB Leipzig,Bundesliga,2025-2026,MID,18.915811088295687,2472,20000000.0,47149077.422913626,27149077.422913626,1.3574538711456814,1.2130465113541051,77.17493428247812,88.08333333333334,86.34334618328205,target_scouting,0.85,exact_age_validated
Amorim,Amorim,Genoa,Serie A,2025-2026,MID,20.36960985626284,552,1000000.0,1894929.134960092,894929.1349600919,0.8949291349600919,0.9636701093838628,94.5920045757689,62.15000000000002,79.31674505469263,high_priority,0.85,exact_age_validated
Basar Onal,Başar Önal,NEC Nijmegen,Eredivisie,2025-2026,MID,21.240246406570844,2056,1000000.0,6944850.446795569,5944850.446795569,5.0,2.361008690955276,18.68937336812873,90.9404761904762,78.89637859080645,high_priority,0.85,exact_age_validated
Afonso Moreira,Afonso Moreira,Lyon,Ligue 1,2025-2026,MID,20.7419575633128,1722,5000000.0,5197773.922150364,197773.9221503641,0.0395547844300728,0.2781283110480548,74.96512438919152,84.90000000000002,72.44779361666221,high_priority,0.85,exact_age_validated
Ayoube Amaimouni Echghouyab,Ayoube Amaimouni-Echghouyab,Eintracht Frankfurt,Bundesliga,2025-2026,MID,20.85968514715948,586,500000.0,7244006.534196417,6744006.534196417,5.0,2.361008690955276,25.87829566394785,68.06111111111113,72.23549603355966,high_priority,1.0,exact_age_club_validated
Mario Martín,Mario Martín,Getafe,LaLiga,2025-2026,MID,21.57700205338809,2125,3000000.0,11193893.898918906,8193893.898918906,2.731297966306302,1.737344933307787,24.29467464136275,88.08333333333334,72.10742480471049,high_priority,0.85,exact_age_validated
Kamory Doumbia,Kamory Doumbia,Brest,Ligue 1,2025-2026,MID,22.64202600958248,1750,5000000.0,23253355.449661564,18253355.449661564,3.6506710899323127,1.988839029200446,9.282675658607277,92.5277777777778,71.19457942244422,high_priority,0.85,exact_age_validated
Renato Nhaga,Renato Nhaga,Casa Pia,Liga Portugal,2025-2026,MID,18.51334702258727,1166,1000000.0,1675405.8627343855,675405.8627343855,0.6754058627343855,0.8230812049024553,65.68428401476798,74.08888888888889,71.13683781767446,high_priority,0.85,exact_age_validated
Pablo,Pablo,West Ham United,Premier League,2025-2026,MID,21.744010951403148,823,1500000.0,10456423.118064376,8956423.118064377,5.0,2.361008690955276,17.39785108786009,69.71111111111111,69.58397818935687,high_priority,0.85,exact_age_validated
Kareem Tunde,Kareem Tunde,Levante,LaLiga,2025-2026,MID,20.418891170431213,1133,500000.0,4058313.2922581015,3558313.292258101,5.0,2.361008690955276,14.383110323445136,71.50277777777778,69.14116927999586,high_priority,0.85,exact_age_validated
Alejandro Rego,Alejandro Rego,Athletic Club,LaLiga,2025-2026,MID,22.310746064339494,1279,2000000.0,3243624.709668504,1243624.709668504,0.621812354834252,0.7859589784164149,51.9926600814203,81.53611111111113,68.37493527135494,high_priority,1.0,exact_age_club_validated
Taichi Fukui,Taichi Fukui,Arouca,Liga Portugal,2025-2026,MID,21.426420260095824,2521,2000000.0,7657024.348569304,5657024.348569304,2.828512174284652,1.7667129126303502,6.667260163271589,94.75,68.3061700491904,high_priority,0.85,exact_age_validated
Arijon Ibrahimović,Arijon Ibrahimovic,Heidenheim,Bundesliga,2025-2026,MID,20.021902806297057,2169,5000000.0,18425423.852844115,13425423.852844115,2.685084770568823,1.7231147412912744,10.810020521943915,91.83333333333331,68.18023050607214,high_priority,0.85,exact_age_validated
Miguel Román,Miguel Román,Celta Vigo,LaLiga,2025-2026,MID,22.76796714579056,1311,800000.0,3028281.9394874545,2228281.9394874545,2.785352424359318,1.7537676849316963,25.058335885632385,76.90833333333336,67.97887721119984,high_priority,0.85,exact_age_validated
Gyan de Regt,Gyan de Regt,Excelsior,Eredivisie,2025-2026,MID,22.12457221081451,2656,550000.0,1559342.7868855775,1009342.7868855776,1.8351687034283224,1.4237360702684916,20.990957210597468,88.55952380952381,67.07868922638089,high_priority,0.85,exact_age_validated
Martim Neto,Martim Neto,Elche,LaLiga,2025-2026,MID,22.715947980835043,1347,5000000.0,17914428.364379987,12914428.364379987,2.582885672875997,1.6910007853555702,17.74971194586297,80.94166666666668,65.9908266735648,high_priority,0.85,exact_age_validated
Alpha Touré,Alpha Touré,Metz,Ligue 1,2025-2026,MID,19.707049965776864,1606,1000000.0,2483660.405679344,1483660.4056793442,1.483660405679344,1.272594376275129,29.0931624903974,82.64444444444446,65.92014083839656,high_priority,0.85,exact_age_validated
Pablo Torre,Pablo Torre,Mallorca,LaLiga,2025-2026,MID,22.694045174537987,1599,5000000.0,19572987.79653852,14572987.796538511,2.9145975593077025,1.7921029405332067,4.004962964565875,90.00833333333334,65.61035967895396,high_priority,0.85,exact_age_validated
