player_name_fbref,player_name_tm,club,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,inefficiency_score_z,growth_score,confidence_score,opportunity_score,opportunity_tier,matching_confidence,matching_method
Gianluca Busio,Gianluca Busio,Venezia,Serie A,2024-2025,MID,22.55989048596852,2518,6500000.0,7955507.388037226,1455507.3880372262,0.2239242135441886,0.2674755403332329,10.053674839749371,98.33333333333334,61.15075195475602,high_priority,1.0,exact_age_club_validated
Nico Williams,Nico Williams,Athletic Club,LaLiga,2023-2024,MID,21.253935660506503,2263,40000000.0,38017760.87710358,-1982239.122896418,-0.0495559780724104,-0.0271252640842925,15.395319776135594,98.33333333333334,58.81472820501106,monitoring,1.0,exact_age_club_validated
Joshua Kitolano,Joshua Kitolano,Sparta Rotterdam,Eredivisie,2023-2024,MID,22.36550308008213,2106,4500000.0,2340628.404002151,-2159371.595997849,-0.4798603546661886,-0.729391012400424,10.053674839749371,98.33333333333334,46.42545181136625,monitoring,1.0,exact_age_club_validated
Lucas Beraldo,Lucas Beraldo,Paris Saint-Germain,Ligue 1,2024-2025,DEF,21.045859000684462,2011,30000000.0,7500280.666452405,-22499719.3335476,-0.7499906444515865,-1.5828281611758892,10.053674839749371,98.33333333333334,33.818831462057375,interesting,1.0,exact_age_club_validated
Elliot Anderson,Elliot Anderson,Nottingham Forest,Premier League,2024-2025,MID,21.90280629705681,2728,22000000.0,37302690.00089022,15302690.000890218,0.6955768182222827,0.6472016882706298,17.59108105702872,97.66666666666669,69.2750286980881,high_priority,1.0,exact_age_club_validated
Murillo,Murillo,Nottingham Forest,Premier League,2024-2025,DEF,22.245037645448324,3188,40000000.0,26592718.614970244,-13407281.385029756,-0.3351820346257438,-0.4434950629234879,12.91039064675562,97.61904761904762,51.3739134734976,monitoring,1.0,exact_age_club_validated
Willian Pacho,Willian Pacho,Paris Saint-Germain,Ligue 1,2024-2025,DEF,22.9760438056126,2132,40000000.0,6767200.203205882,-33232799.79679412,-0.8308199949198529,-2.0377798408891623,12.91039064675562,97.61904761904762,27.82379856072004,interesting,1.0,exact_age_club_validated
Nuno Mendes,Nuno Mendes,Paris Saint-Germain,Ligue 1,2024-2025,DEF,22.47775496235456,1676,55000000.0,17284107.575363792,-37715892.42463621,-0.6857434986297493,-1.3163923137328588,8.172424765273277,97.5888888888889,36.677049990693085,interesting,1.0,exact_age_club_validated
Dion Lopy,Dion Lopy,Almería,LaLiga,2023-2024,MID,21.69199178644764,1916,6000000.0,13381677.787735358,7381677.787735358,1.2302796312892263,0.966517613504356,18.118280685610426,97.5,74.10848288675048,high_priority,1.0,exact_age_club_validated
Destiny Udogie,Destiny Udogie,Tottenham Hotspur,Premier League,2023-2024,DEF,20.862422997946613,2391,38000000.0,38377580.273168765,377580.273168765,0.0099363229781253,0.0436023535125952,18.430774996636032,97.4,60.54410797193648,high_priority,1.0,exact_age_club_validated
Hugo Larsson,Hugo Larsson,Eintracht Frankfurt,Bundesliga,2024-2025,MID,20.48186173853525,2393,35000000.0,11500073.676901026,-23499926.32309897,-0.6714264663742564,-1.2644927277295532,14.883841935134026,97.08333333333331,39.72666420573558,interesting,1.0,exact_age_club_validated
Micky van de Ven,Micky van de Ven,Tottenham Hotspur,Premier League,2023-2024,DEF,22.472279260780287,2339,40000000.0,18093566.661708944,-21906433.338291056,-0.5476608334572765,-0.8920930510012341,23.418748236099592,96.66666666666669,48.24256420024368,monitoring,1.0,exact_age_club_validated
Warren Zaïre-Emery,Warren Zaïre-Emery,Paris Saint-Germain,Ligue 1,2024-2025,DEF,18.75975359342916,2050,60000000.0,4737613.093183622,-55262386.90681638,-0.921039781780273,-2.4666883765858314,10.994299876987418,96.66666666666669,20.29486373549348,interesting,1.0,exact_age_club_validated
Ansgar Knauff,Ansgar Knauff,Eintracht Frankfurt,Bundesliga,2024-2025,MID,22.94318959616701,1597,10000000.0,24615921.32778319,14615921.32778319,1.461592132778319,1.0814759387380606,8.172424765273277,96.0527777777778,71.3389277601908,high_priority,1.0,exact_age_club_validated
