player_name_fbref,player_id_tm,club,current_club_name_tm,league,season,position_group,age,minutes_played,market_value_eur,log_market_value_eur,model,feature_set,predicted_log_market_value_ml,predicted_market_value_ml_eur,residual_log_observed_minus_predicted,inefficiency_score_ml,market_value_growth_prev,delta_log_market_value_prev,growth_index,breakout_indicator,career_year,matching_confidence,matching_method,goals_per90,assists_per90,predicted_market_value_eur,residual_observed_minus_predicted_log,inefficiency_score_log,market_value_gap_eur,market_value_gap_pct,inefficiency_score_log_winsorized,market_value_gap_pct_winsorized,inefficiency_score_z,market_value_gap_pct_z,is_undervalued,is_overvalued,inefficiency_rank,market_value_growth_prev_growth_component_z,delta_log_market_value_prev_growth_component_z,growth_index_growth_component_z,breakout_indicator_growth_component_z,career_year_growth_component_z,growth_score_raw,growth_score_z,growth_score,growth_rank,high_growth_flag,matching_confidence_component,minutes_reliability_component,feature_completeness_component,temporal_stability_component,confidence_score_raw,confidence_score,confidence_score_z,confidence_rank,low_confidence_flag,position
Enzo Tchato,842338.0,Montpellier,Montpellier HSC,Ligue 1,2024-2025,DEF,22.04791238877481,1899,2500000.0,14.73180128983843,XGBoost,A_v13A_current,15.24261474609375,4166616.0,-0.5108134562553204,0.5108134562553204,0.0,0.0,-0.283298444277076,0,3,1.0,exact_age_club_validated,0.0,0.0,4166615.969013975,-0.5108134562553204,0.5108134562553204,1666615.969013975,0.66664638760559,0.5108134562553204,0.66664638760559,0.6536958007813889,0.2568622434136287,True,False,1713,-0.43886031723519,-0.6327680716110969,-0.6568743697725876,-0.6249944573526541,-0.8922944285896809,-0.5928212762617825,-0.6579534180980705,8.367004284942897,4811,False,1.0,1.0,1.0,1.0,1.0,100.0,1.7633028085790543,5,False,DEF
Enzo Tchato,842338.0,Montpellier,Montpellier HSC,Ligue 1,2024-2025,DEF,22.04791238877481,1899,2500000.0,14.73180128983843,HistGradientBoosting,A_v13A_current,15.072843354250963,3516030.998823232,-0.3410420644125356,0.3410420644125356,0.0,0.0,-0.283298444277076,0,3,1.0,exact_age_club_validated,0.0,0.0,3516030.998823225,-0.3410420644125338,0.3410420644125338,1016030.9988232256,0.4064123995292902,0.3410420644125338,0.4064123995292902,0.4755710298330862,0.0518189841358533,True,False,2076,-0.43886031723519,-0.6327680716110969,-0.6568743697725876,-0.6249944573526541,-0.8922944285896809,-0.5928212762617825,-0.6579534180980705,8.367004284942897,4813,False,1.0,1.0,1.0,1.0,1.0,100.0,1.7633028085790543,6,False,DEF
Enzo Tchato,842338.0,Montpellier,Montpellier HSC,Ligue 1,2024-2025,DEF,22.04791238877481,1899,2500000.0,14.73180128983843,XGBoost,B_v13B_advanced,15.024770736694336,3351004.75,-0.2929694468559063,0.2929694468559063,0.0,0.0,-0.283298444277076,0,3,1.0,exact_age_club_validated,0.0,0.0,3351004.590788996,-0.2929694468559063,0.2929694468559063,851004.5907889958,0.3404018363155983,0.2929694468559063,0.3404018363155983,0.425133062056459,-0.000191981565247,True,False,2193,-0.43886031723519,-0.6327680716110969,-0.6568743697725876,-0.6249944573526541,-0.8922944285896809,-0.5928212762617825,-0.6579534180980705,8.367004284942897,4816,False,1.0,1.0,1.0,1.0,1.0,100.0,1.7633028085790543,7,False,DEF
Enzo Tchato,842338.0,Montpellier,Montpellier HSC,Ligue 1,2024-2025,DEF,22.04791238877481,1899,2500000.0,14.73180128983843,LightGBM,B_v13B_advanced,14.981690342661118,3209707.413986458,-0.249889052822688,0.249889052822688,0.0,0.0,-0.283298444277076,0,3,1.0,exact_age_club_validated,0.0,0.0,3209707.413986458,-0.249889052822688,0.249889052822688,709707.413986458,0.2838829655945832,0.249889052822688,0.2838829655945832,0.3799329536269086,-0.0447242640276683,True,False,2285,-0.43886031723519,-0.6327680716110969,-0.6568743697725876,-0.6249944573526541,-0.8922944285896809,-0.5928212762617825,-0.6579534180980705,8.367004284942897,4820,False,1.0,1.0,1.0,1.0,1.0,100.0,1.7633028085790543,4,False,DEF
João Neves,670681.0,Paris Saint-Germain,Paris Saint-Germain Football Club,Ligue 1,2024-2025,DEF,20.02737850787132,1844,60000000.0,17.909855120186375,RandomForest,A_v13A_current,16.129840183363864,10118137.702160008,1.7800149368225109,-1.7800149368225109,0.0909090909090909,0.0870113754744785,-0.2204985203194588,0,3,1.0,exact_age_club_validated,0.15,0.39,10118137.702160008,1.7800149368225109,-1.7800149368225109,-49881862.29783999,-0.8313643716306666,-1.7800149368225109,-0.8313643716306666,-1.7498498046921558,-0.9234486405625232,False,True,5942,-0.380448168394857,-0.4669466986856179,-0.5459206546319235,-0.6249944573526541,-0.8922944285896809,-0.4978127909468728,-0.5525065318873588,10.076307930433902,3753,False,1.0,1.0,1.0,0.9545454545454546,0.9954545454545456,99.54545454545456,1.721601087320452,26,False,DEF
João Neves,670681.0,Paris Saint-Germain,Paris Saint-Germain Football Club,Ligue 1,2024-2025,DEF,20.02737850787132,1844,60000000.0,17.909855120186375,RandomForest,B_v13B_advanced,16.010075935459845,8976098.9942938,1.8997791847265293,-1.8997791847265293,0.0909090909090909,0.0870113754744785,-0.2204985203194588,0,3,1.0,exact_age_club_validated,0.15,0.39,8976098.9942938,1.8997791847265293,-1.8997791847265293,-51023901.0057062,-0.8503983500951033,-1.8997791847265293,-0.8503983500951033,-1.8755068956433456,-0.9384458705947004,False,True,6003,-0.380448168394857,-0.4669466986856179,-0.5459206546319235,-0.6249944573526541,-0.8922944285896809,-0.4978127909468728,-0.5525065318873588,10.076307930433902,3755,False,1.0,1.0,1.0,0.9545454545454546,0.9954545454545456,99.54545454545456,1.721601087320452,27,False,DEF
João Neves,670681.0,Paris Saint-Germain,Paris Saint-Germain Football Club,Ligue 1,2024-2025,DEF,20.02737850787132,1844,60000000.0,17.909855120186375,HistGradientBoosting,B_v13B_advanced,16.061816770107946,9452754.798981296,1.8480383500784288,-1.8480383500784288,0.0909090909090909,0.0870113754744785,-0.2204985203194588,0,3,1.0,exact_age_club_validated,0.15,0.39,9452754.798981296,1.8480383500784288,-1.8480383500784288,-50547245.20101871,-0.8424540866836451,-1.8480383500784288,-0.8424540866836451,-1.821220220954942,-0.9321864358664088,False,True,5979,-0.380448168394857,-0.4669466986856179,-0.5459206546319235,-0.6249944573526541,-0.8922944285896809,-0.4978127909468728,-0.5525065318873588,10.076307930433902,3754,False,1.0,1.0,1.0,0.9545454545454546,0.9954545454545456,99.54545454545456,1.721601087320452,25,False,DEF
João Neves,670681.0,Paris Saint-Germain,Paris Saint-Germain Football Club,Ligue 1,2024-2025,DEF,20.02737850787132,1844,60000000.0,17.909855120186375,XGBoost,B_v13B_advanced,15.91403102874756,8154096.0,1.9958240914388163,-1.9958240914388163,0.0909090909090909,0.0870113754744785,-0.2204985203194588,0,3,1.0,exact_age_club_validated,0.15,0.39,8154096.759087364,1.9958240914388143,-1.9958240914388143,-51845903.24091264,-0.8640983873485439,-1.9958240914388143,-0.8640983873485439,-1.97627756626799,-0.9492403879113576,False,True,6049,-0.380448168394857,-0.4669466986856179,-0.5459206546319235,-0.6249944573526541,-0.8922944285896809,-0.4978127909468728,-0.5525065318873588,10.076307930433902,3758,False,1.0,1.0,1.0,0.9545454545454546,0.9954545454545456,99.54545454545456,1.721601087320452,32,False,DEF
João Neves,670681.0,Paris Saint-Germain,Paris Saint-Germain Football Club,Ligue 1,2024-2025,DEF,20.02737850787132,1844,60000000.0,17.909855120186375,XGBoost,A_v13A_current,15.92138957977295,8214320.0,1.9884655404134253,-1.9884655404134253,0.0909090909090909,0.0870113754744785,-0.2204985203194588,0,3,1.0,exact_age_club_validated,0.15,0.39,8214320.403786006,1.9884655404134253,-1.9884655404134253,-51785679.596214,-0.8630946599368999,-1.9884655404134253,-0.8630946599368999,-1.968556947371712,-0.9484495321840511,False,True,6044,-0.380448168394857,-0.4669466986856179,-0.5459206546319235,-0.6249944573526541,-0.8922944285896809,-0.4978127909468728,-0.5525065318873588,10.076307930433902,3757,False,1.0,1.0,1.0,0.9545454545454546,0.9954545454545456,99.54545454545456,1.721601087320452,31,False,DEF
João Neves,670681.0,Paris Saint-Germain,Paris Saint-Germain Football Club,Ligue 1,2024-2025,DEF,20.02737850787132,1844,60000000.0,17.909855120186375,LightGBM,B_v13B_advanced,16.009425900670102,8970266.113664387,1.9004292195162729,-1.9004292195162729,0.0909090909090909,0.0870113754744785,-0.2204985203194588,0,3,1.0,exact_age_club_validated,0.15,0.39,8970266.113664387,1.9004292195162729,-1.9004292195162729,-51029733.88633561,-0.8504955647722602,-1.9004292195162729,-0.8504955647722602,-1.876188914544025,-0.9385224678693348,False,True,6004,-0.380448168394857,-0.4669466986856179,-0.5459206546319235,-0.6249944573526541,-0.8922944285896809,-0.4978127909468728,-0.5525065318873588,10.076307930433902,3756,False,1.0,1.0,1.0,0.9545454545454546,0.9954545454545456,99.54545454545456,1.721601087320452,30,False,DEF
