dataset,n_rows,market_value_eur_coverage_pct,log_market_value_eur_coverage_pct,market_value_positive_pct,market_value_min,market_value_median,market_value_max,market_value_zero_or_negative
reports/sprint_13b/productive/predictions/04_ml_test_predictions_v13b.parquet,6208,100.0,100.0,100.0,500000.0,4000000.0,180000000.0,0
reports/sprint_13b/productive/rankings/scoring_dataset.csv,6208,100.0,100.0,100.0,500000.0,4000000.0,180000000.0,0
reports/sprint_13b/productive/rankings/scoring_dataset_confidence.csv,6208,100.0,100.0,100.0,500000.0,4000000.0,180000000.0,0
reports/sprint_13b/productive/rankings/scoring_dataset_growth.csv,6208,100.0,100.0,100.0,500000.0,4000000.0,180000000.0,0
reports/sprint_13b/productive/rankings/scoring_dataset_opportunity.csv,6208,100.0,100.0,100.0,500000.0,4000000.0,180000000.0,0
reports/sprint_13b/productive/rankings/scouting_shortlist.csv,100,100.0,,100.0,500000.0,1500000.0,5000000.0,0
reports/sprint_13b/productive/rankings/top_high_potential.csv,50,100.0,,100.0,3000000.0,6000000.0,8000000.0,0
reports/sprint_13b/productive/rankings/top_low_risk.csv,50,100.0,,100.0,2500000.0,45000000.0,130000000.0,0
reports/sprint_13b/productive/rankings/top_undervalued_by_league.csv,220,100.0,,100.0,500000.0,800000.0,22000000.0,0
reports/sprint_13b/productive/rankings/top_undervalued_by_position.csv,80,100.0,,100.0,500000.0,3000000.0,14000000.0,0
reports/sprint_13b/productive/rankings/top_undervalued_global.csv,50,100.0,,100.0,500000.0,3000000.0,5000000.0,0
reports/strategy/optimized_transfer_portfolio.csv,5,100.0,,100.0,500000.0,600000.0,20000000.0,0
reports/strategy/scenario_grid_portfolios.csv,105,100.0,,100.0,500000.0,1000000.0,60000000.0,0
reports/strategy/scenario_portfolios.csv,15,100.0,,100.0,500000.0,600000.0,32000000.0,0
reports/strategy/transfer_portfolio_dataset.csv,6208,100.0,,100.0,500000.0,4000000.0,180000000.0,0
reports/tables/02_baseline_overvalued_ranking.csv,25,100.0,,100.0,8000000.0,40000000.0,180000000.0,0
reports/tables/02_baseline_test_predictions.parquet,552,100.0,100.0,100.0,500000.0,6000000.0,180000000.0,0
reports/tables/02_baseline_undervalued_ranking.csv,25,100.0,,100.0,500000.0,600000.0,1500000.0,0
reports/tables/03_overvalued_ranking.csv,50,100.0,100.0,100.0,5000000.0,31500000.0,100000000.0,0
reports/tables/03_player_season_with_inefficiency_scores.parquet,1012,100.0,100.0,100.0,500000.0,6000000.0,180000000.0,0
reports/tables/03_undervalued_ranking.csv,50,100.0,100.0,100.0,500000.0,1000000.0,5000000.0,0
reports/tm3_contract_intelligence/contract_intelligence_dataset.csv,757,100.0,100.0,100.0,500000.0,4000000.0,180000000.0,0
reports/tm3_contract_intelligence/top_contract_opportunities.csv,25,100.0,100.0,100.0,500000.0,5000000.0,30000000.0,0
reports/tm3_contract_intelligence/top_recruitment_contract_targets.csv,25,100.0,100.0,100.0,500000.0,800000.0,5000000.0,0
