dataset,suffix,size_mb,modified_at_utc,modified_at_local_naive,sha256_16,read_error,n_columns_sample,columns_sample
data/outputs/03_undervalued_ranking.csv,.csv,0.016,2026-06-02T20:43:51.826429+00:00,2026-06-02T22:43:51,59fd437c980912c0,,23,"player_id_tm, player_name, club, current_club_name_tm, league, season, position_group, age, minutes_played, market_value_eur, predicted_market_value_eur, market_value_gap_eur, market_value_gap_pct, log_market_value_eur, predicted_log_market_value, inefficiency_score, inefficiency_score_z, confidence_score, opportunity_score, matching_method, matching_confidence, age_diff, club_score"
data/outputs/03_vif_table.csv,.csv,0.0,2026-06-02T20:43:51.017717+00:00,2026-06-02T22:43:51,a40c527d8c47b72b,,2,"variable, VIF"
data/outputs/04_ml_inefficiency_by_league.csv,.csv,0.001,2026-06-02T20:50:42.758661+00:00,2026-06-02T22:50:42,74feee3cfce9609b,,9,"league, n, mean_inefficiency_ml, median_inefficiency_ml, mean_gap_ml_eur, median_gap_ml_eur, mean_gap_ml_pct, mean_confidence_ml, mean_opportunity_ml"
data/outputs/04_ml_inefficiency_by_position.csv,.csv,0.001,2026-06-02T20:50:42.778543+00:00,2026-06-02T22:50:42,3588c5ce4ab372be,,9,"position_group, n, mean_inefficiency_ml, median_inefficiency_ml, mean_gap_ml_eur, median_gap_ml_eur, mean_gap_ml_pct, mean_confidence_ml, mean_opportunity_ml"
data/outputs/04_ml_model_metrics.csv,.csv,0.001,2026-06-02T20:50:42.299233+00:00,2026-06-02T22:50:42,a427625f429b0574,,6,"model, split, MAE_log, RMSE_log, R2, RMSE_multiplicative_factor"
data/outputs/04_ml_overvalued_ranking.csv,.csv,0.016,2026-06-02T20:50:42.730574+00:00,2026-06-02T22:50:42,d6742f0cebaf7619,,23,"player_name_fbref, player_id_tm, club, current_club_name_tm, league, season, position_group, age, minutes_played, market_value_eur, predicted_market_value_ml_eur, market_value_gap_ml_eur, market_value_gap_ml_pct, log_market_value_eur, predicted_log_market_value_ml, inefficiency_score_ml, inefficiency_score_ml_z, confidence_score_ml, opportunity_score_ml, matching_method, matching_confidence, age_diff, club_score"
data/outputs/04_ml_permutation_importance.csv,.csv,0.0,2026-06-02T20:50:49.696131+00:00,2026-06-02T22:50:49,c2199ced73f7b852,,3,"feature, importance_mean, importance_std"
data/outputs/04_ml_test_predictions.csv,.csv,0.182,2026-06-02T20:50:50.025677+00:00,2026-06-02T22:50:50,d763fe13756356f9,,23,"player_name_fbref, player_id_tm, club, current_club_name_tm, league, season, position_group, age, minutes_played, market_value_eur, log_market_value_eur, predicted_log_market_value_ml, predicted_market_value_ml_eur, inefficiency_score_ml, inefficiency_score_ml_z, market_value_gap_ml_eur, market_value_gap_ml_pct, confidence_score_ml, opportunity_score_ml, matching_method, matching_confidence, age_diff, club_score"
data/outputs/04_ml_test_predictions.parquet,.parquet,0.082,2026-06-02T20:50:50.004826+00:00,2026-06-02T22:50:50,cfdcb7195cb3e8cd,,23,"player_name_fbref, player_id_tm, club, current_club_name_tm, league, season, position_group, age, minutes_played, market_value_eur, log_market_value_eur, predicted_log_market_value_ml, predicted_market_value_ml_eur, inefficiency_score_ml, inefficiency_score_ml_z, market_value_gap_ml_eur, market_value_gap_ml_pct, confidence_score_ml, opportunity_score_ml, matching_method, matching_confidence, age_diff, club_score"
data/outputs/04_ml_undervalued_ranking.csv,.csv,0.017,2026-06-02T20:50:42.728568+00:00,2026-06-02T22:50:42,0fbceab9274331ef,,23,"player_name_fbref, player_id_tm, club, current_club_name_tm, league, season, position_group, age, minutes_played, market_value_eur, predicted_market_value_ml_eur, market_value_gap_ml_eur, market_value_gap_ml_pct, log_market_value_eur, predicted_log_market_value_ml, inefficiency_score_ml, inefficiency_score_ml_z, confidence_score_ml, opportunity_score_ml, matching_method, matching_confidence, age_diff, club_score"
data/outputs/04_model_comparison_test.csv,.csv,0.001,2026-06-02T20:50:42.333639+00:00,2026-06-02T22:50:42,9283413719f077f0,,5,"model, split, MAE_log, RMSE_log, R2"
data/outputs/04_ranking_stability_ols_vs_ml.csv,.csv,0.0,2026-06-02T20:50:49.960302+00:00,2026-06-02T22:50:49,1bf021f19a77f2a1,,3,"top_k, overlap, overlap_rate"
data/outputs/econometric_baseline_metrics.csv,.csv,0.0,2026-05-05T17:26:28.921765+00:00,2026-05-05T19:26:28,3b2318a068113eba,,2,"metric, value"
