dataset,has_contract_any,has_market_value_any,has_profile_any,has_contract_expiration,has_contract_end_date,has_months_remaining,has_days_remaining,has_free_agent,has_expiring_12m,has_market_value_eur,has_market_value_log,has_log_market_value_eur,has_latest_market_value,has_value_update_date,has_market_value_update_date,has_player_id_tm,has_player_name,has_player_name_fbref,has_player_name_tm,has_name,has_player,has_club,has_club_actual,has_league,has_position,has_position_group,has_age,has_season,has_season_start_year,contract_cols_found,value_cols_found,profile_cols_found
reports/sprint_13b/econometric/03_overvalued_ranking.csv,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False,True,True,True,False,,"market_value_eur, log_market_value_eur","player_id_tm, player_name, club, league, position_group, age, season"
reports/sprint_13b/econometric/03_strict_matching_metrics.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
reports/sprint_13b/econometric/03_undervalued_ranking.csv,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False,True,True,True,False,,"market_value_eur, log_market_value_eur","player_id_tm, player_name, club, league, position_group, age, season"
reports/sprint_13b/econometric/03_vif_table.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
reports/sprint_13b/econometric/correlation_advanced_features.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
reports/sprint_13b/econometric/ols_model_comparison.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
reports/sprint_13b/econometric/vif_advanced_features_model_b.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
reports/sprint_13b/econometric/vif_model_b.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
reports/sprint_13b/fbref_advanced_coverage_audit.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
reports/sprint_13b/fbref_advanced_extraction_audit.csv,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,,,"league, season"
reports/sprint_13b/fbref_advanced_feature_engineering_audit.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
reports/sprint_13b/fbref_advanced_file_audit.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
reports/sprint_13b/fbref_advanced_variable_summary.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
reports/sprint_13b/ml/advanced_features_contribution_ranking_v13b.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
reports/sprint_13b/ml/advanced_features_coverage_v13b.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
reports/sprint_13b/ml/advanced_features_importance_summary_v13b.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
reports/sprint_13b/ml/advanced_features_performance_summary.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
reports/sprint_13b/ml/feature_importance_all_aggregated_v13b.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
reports/sprint_13b/ml/feature_importance_all_transformed_v13b.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
reports/sprint_13b/ml/feature_importance_lightgbm_v13b.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
reports/sprint_13b/ml/feature_importance_rf_v13b.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
reports/sprint_13b/ml/feature_importance_xgboost_v13b.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
