source,league,season,stat_type,status,rows,columns,output_path,error
soccerdata,POR-Primeira Liga,2020-2021,playing_time,ok,605.0,21.0,data\raw\fbref\sprint_13b\soccerdata\playing_time\fbref_playing_time_primeira_liga_2020_2021.parquet,
soccerdata,POR-Primeira Liga,2020-2021,misc,ok,543.0,17.0,data\raw\fbref\sprint_13b\soccerdata\misc\fbref_misc_primeira_liga_2020_2021.parquet,
soccerdata,POR-Primeira Liga,2021-2022,shooting,ok,581.0,15.0,data\raw\fbref\sprint_13b\soccerdata\shooting\fbref_shooting_primeira_liga_2021_2022.parquet,
soccerdata,POR-Primeira Liga,2021-2022,playing_time,ok,642.0,21.0,data\raw\fbref\sprint_13b\soccerdata\playing_time\fbref_playing_time_primeira_liga_2021_2022.parquet,
soccerdata,POR-Primeira Liga,2021-2022,misc,ok,581.0,17.0,data\raw\fbref\sprint_13b\soccerdata\misc\fbref_misc_primeira_liga_2021_2022.parquet,
soccerdata,POR-Primeira Liga,2022-2023,shooting,ok,580.0,15.0,data\raw\fbref\sprint_13b\soccerdata\shooting\fbref_shooting_primeira_liga_2022_2023.parquet,
soccerdata,POR-Primeira Liga,2022-2023,playing_time,ok,643.0,21.0,data\raw\fbref\sprint_13b\soccerdata\playing_time\fbref_playing_time_primeira_liga_2022_2023.parquet,
soccerdata,POR-Primeira Liga,2022-2023,misc,ok,580.0,17.0,data\raw\fbref\sprint_13b\soccerdata\misc\fbref_misc_primeira_liga_2022_2023.parquet,
soccerdata,POR-Primeira Liga,2023-2024,shooting,ok,536.0,15.0,data\raw\fbref\sprint_13b\soccerdata\shooting\fbref_shooting_primeira_liga_2023_2024.parquet,
soccerdata,POR-Primeira Liga,2023-2024,playing_time,ok,608.0,21.0,data\raw\fbref\sprint_13b\soccerdata\playing_time\fbref_playing_time_primeira_liga_2023_2024.parquet,
soccerdata,POR-Primeira Liga,2023-2024,misc,ok,536.0,17.0,data\raw\fbref\sprint_13b\soccerdata\misc\fbref_misc_primeira_liga_2023_2024.parquet,
soccerdata,POR-Primeira Liga,2024-2025,shooting,ok,585.0,15.0,data\raw\fbref\sprint_13b\soccerdata\shooting\fbref_shooting_primeira_liga_2024_2025.parquet,
soccerdata,POR-Primeira Liga,2024-2025,playing_time,ok,661.0,21.0,data\raw\fbref\sprint_13b\soccerdata\playing_time\fbref_playing_time_primeira_liga_2024_2025.parquet,
soccerdata,POR-Primeira Liga,2024-2025,misc,ok,585.0,17.0,data\raw\fbref\sprint_13b\soccerdata\misc\fbref_misc_primeira_liga_2024_2025.parquet,
soccerdata,POR-Primeira Liga,2025-2026,shooting,ok,579.0,15.0,data\raw\fbref\sprint_13b\soccerdata\shooting\fbref_shooting_primeira_liga_2025_2026.parquet,
soccerdata,POR-Primeira Liga,2025-2026,playing_time,ok,656.0,21.0,data\raw\fbref\sprint_13b\soccerdata\playing_time\fbref_playing_time_primeira_liga_2025_2026.parquet,
soccerdata,POR-Primeira Liga,2025-2026,misc,ok,579.0,17.0,data\raw\fbref\sprint_13b\soccerdata\misc\fbref_misc_primeira_liga_2025_2026.parquet,
soccerdata,ENG-Championship,2019-2020,shooting,ok,721.0,15.0,data\raw\fbref\sprint_13b\soccerdata\shooting\fbref_shooting_championship_2019_2020.parquet,
soccerdata,ENG-Championship,2019-2020,playing_time,ok,806.0,21.0,data\raw\fbref\sprint_13b\soccerdata\playing_time\fbref_playing_time_championship_2019_2020.parquet,
soccerdata,ENG-Championship,2019-2020,misc,ok,721.0,17.0,data\raw\fbref\sprint_13b\soccerdata\misc\fbref_misc_championship_2019_2020.parquet,
soccerdata,ENG-Championship,2020-2021,shooting,ok,736.0,15.0,data\raw\fbref\sprint_13b\soccerdata\shooting\fbref_shooting_championship_2020_2021.parquet,
soccerdata,ENG-Championship,2020-2021,playing_time,ok,875.0,21.0,data\raw\fbref\sprint_13b\soccerdata\playing_time\fbref_playing_time_championship_2020_2021.parquet,
soccerdata,ENG-Championship,2020-2021,misc,ok,736.0,17.0,data\raw\fbref\sprint_13b\soccerdata\misc\fbref_misc_championship_2020_2021.parquet,
soccerdata,ENG-Championship,2021-2022,shooting,ok,746.0,15.0,data\raw\fbref\sprint_13b\soccerdata\shooting\fbref_shooting_championship_2021_2022.parquet,
soccerdata,ENG-Championship,2021-2022,playing_time,ok,867.0,21.0,data\raw\fbref\sprint_13b\soccerdata\playing_time\fbref_playing_time_championship_2021_2022.parquet,
soccerdata,ENG-Championship,2021-2022,misc,ok,746.0,17.0,data\raw\fbref\sprint_13b\soccerdata\misc\fbref_misc_championship_2021_2022.parquet,
soccerdata,ENG-Championship,2022-2023,shooting,ok,750.0,15.0,data\raw\fbref\sprint_13b\soccerdata\shooting\fbref_shooting_championship_2022_2023.parquet,
soccerdata,ENG-Championship,2022-2023,playing_time,ok,853.0,21.0,data\raw\fbref\sprint_13b\soccerdata\playing_time\fbref_playing_time_championship_2022_2023.parquet,
soccerdata,ENG-Championship,2022-2023,misc,ok,750.0,17.0,data\raw\fbref\sprint_13b\soccerdata\misc\fbref_misc_championship_2022_2023.parquet,
soccerdata,ENG-Championship,2023-2024,shooting,ok,735.0,15.0,data\raw\fbref\sprint_13b\soccerdata\shooting\fbref_shooting_championship_2023_2024.parquet,
soccerdata,ENG-Championship,2023-2024,playing_time,ok,892.0,21.0,data\raw\fbref\sprint_13b\soccerdata\playing_time\fbref_playing_time_championship_2023_2024.parquet,
soccerdata,ENG-Championship,2023-2024,misc,ok,735.0,17.0,data\raw\fbref\sprint_13b\soccerdata\misc\fbref_misc_championship_2023_2024.parquet,
