player_name_fbref,player_name_tm,club,league,season,position_group,age,minutes_played,market_value_eur,portfolio_cost_eur,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,roi_proxy_pct,roi_score,upside_eur,upside_score,growth_score,confidence_score,opportunity_score,risk_score,risk_level,risk_adjusted_opportunity_score,future_asset_score,executive_decision_score,portfolio_score_conservative,portfolio_score_balanced,portfolio_score_aggressive,is_optimization_candidate
Michael Kayode,Michael Kayode,Brentford,Premier League,2025-2026,DEF,21.270362765229294,3258,20000000.0,20000000.0,43988025.186965816,23988025.186965816,1.1994012593482908,119.94012593482908,8.62438244167609,23988025.186965816,88.2712454488211,8.2445692034437,94.19444444444444,60.77159701759479,4.41,Bajo,58.09,56.219109064755315,57.32426333637446,58.13044079316813,47.25829952646915,23.865154544116493,True
Kamory Doumbia,Kamory Doumbia,Brest,Ligue 1,2025-2026,MID,22.64202600958248,1750,5000000.0,5000000.0,23253355.449661564,18253355.449661564,3.6506710899323127,365.0671089932313,26.851526243781294,18253355.449661564,66.99335164623807,9.282675658607277,92.5277777777778,71.19457942244422,42.65,Moderado,40.83,55.3730657591496,49.94534899094291,46.3149753544468,45.9211121819436,24.613257274229863,True
Mika Godts,Mika Godts,Ajax,Eredivisie,2025-2026,MID,20.32032854209445,2676,13000000.0,13000000.0,28944883.19282596,15944883.192825958,1.2265294763712276,122.65294763712275,8.82610234480645,15944883.192825958,58.428006163893464,10.656164420758152,93.25,61.50378530057459,8.09,Bajo,56.53,48.51289442177055,54.566480665557556,56.1528772265043,44.714079664576296,21.573887960048747,True
Jacques Ekomie,Jacques Ekomié,Angers,Ligue 1,2025-2026,DEF,22.143737166324435,2239,1500000.0,1500000.0,5646136.139147499,4146136.139147498,2.764090759431666,276.40907594316656,20.259095261875423,4146136.139147498,14.649986101359868,23.17914297895209,88.70833333333333,72.0529298735528,23.53,Bajo,55.1,41.681599175040255,52.314235768470624,51.47806158349488,44.68834780820099,24.25407642041857,True
Yan Diomandé,Yan Diomande,RB Leipzig,Bundesliga,2025-2026,MID,18.915811088295687,2472,20000000.0,20000000.0,47149077.422913626,27149077.422913626,1.3574538711456814,135.74538711456813,9.799629510597498,27149077.422913626,100.0,77.17493428247812,88.08333333333334,86.34334618328205,56.62,Alto,37.46,58.844872898698874,50.76838746133113,43.80393276865586,44.46264798177884,40.53609317693741,True
Amorim,Amorim,Alverca,Liga Portugal,2025-2026,MID,20.36960985626284,1624,1000000.0,1000000.0,3688035.538998239,2688035.538998239,2.688035538998239,268.8035538998239,19.693564114531032,2688035.538998239,9.239855937867162,99.23632756833167,84.66111111111113,100.0,63.24,Alto,36.76,41.344822535663766,47.739372300582616,42.59423196403454,44.32608512348881,42.84097718661457,True
Mario Martín,Mario Martín,Getafe,LaLiga,2025-2026,MID,21.57700205338809,2125,3000000.0,3000000.0,11193893.898918906,8193893.898918906,2.731297966306302,273.1297966306302,20.015254723183574,8193893.898918906,29.668768994947094,24.29467464136275,88.08333333333334,72.10742480471049,28.68,Moderado,51.43,44.784349696126455,51.39107238497371,49.49441972385219,44.307865810081466,25.098738466848978,True
Pedro Santos,Pedro Santos,Famalicão,Liga Portugal,2025-2026,MID,22.85284052019165,706,600000.0,600000.0,7391483.374145665,6791483.374145665,5.0,1131.9138956909442,83.87269331779267,6791483.374145665,24.46527104638396,1.736846227587885,72.22777777777779,64.46738819107746,88.24,Muy alto,7.58,56.7640158388167,31.36864826458634,19.543361926584307,43.49192574725261,32.53263274131038,True
Pablo,Pablo,Gil Vicente FC,Liga Portugal,2025-2026,ATT,21.744010951403148,945,1500000.0,1500000.0,14982688.611168023,13482688.611168023,5.0,898.8459074112016,66.54223183599773,13482688.611168023,49.29229003206256,16.63417865619177,73.75,70.95861789776802,85.29,Muy alto,10.44,58.650577230168444,34.519867887095714,23.047190551327528,43.263176044072054,33.624513586415915,True
Samir El Mourabet,Samir El Mourabet,Strasbourg,Ligue 1,2025-2026,MID,20.01095140314853,2128,2000000.0,2000000.0,3421518.444074214,1421518.444074214,0.710759222037107,71.07592220371069,4.9909396559414025,1421518.444074214,4.540576383955579,100.0,86.41666666666667,90.04625649276937,34.56,Moderado,58.93,36.07689094078893,54.2139740337511,51.44057814032498,43.081787614216324,40.41864674326147,True
Ilaix Moriba,Ilaix Moriba,Celta Vigo,LaLiga,2025-2026,MID,22.89664613278576,2495,10000000.0,10000000.0,23406703.180241976,13406703.180241976,1.3406703180241977,134.06703180241976,9.674830423838994,13406703.180241976,49.01035401763604,13.122910358499462,91.41666666666669,62.42850366335118,15.44,Bajo,52.79,45.72214655208957,51.92173737069264,52.82996840867674,42.718553821795545,20.814332006740937,True
Mio Backhaus,Mio Backhaus,Werder Bremen,Bundesliga,2025-2026,GK,21.49486652977413,2880,4000000.0,4000000.0,12932692.943219803,8932692.943219805,2.2331732358049514,223.31732358049516,16.311300559936754,8932692.943219805,32.41000577512723,24.2946756584005,88.08333333333334,70.05880158108398,28.68,Moderado,49.97,43.763550289309805,50.288147888544245,48.80896395501952,42.69728815863999,23.815470438762766,True
Casper Widell,Casper Widell,Excelsior,Eredivisie,2025-2026,DEF,22.57905544147844,3053,900000.0,900000.0,2522684.070488642,1622684.070488642,1.8029823005429355,180.29823005429355,13.112488278420315,1622684.070488642,5.286980454574022,9.19628026698262,92.45833333333334,63.892911478618224,11.76,Bajo,56.38,36.75953164014759,51.57521520576054,54.50480276383045,42.49700400930643,17.72684222375152,True
William Mikelbrencis,William Mikelbrencis,Hamburger SV,Bundesliga,2025-2026,DEF,21.815195071868583,1372,2000000.0,2000000.0,9695302.036346762,7695302.0363467615,3.847651018173381,384.7651018173381,28.316228918852726,7695302.0363467615,27.81879590344885,7.430932594939907,90.01111111111113,70.01553320151824,47.79,Moderado,36.56,45.090596848875435,44.96642251918918,42.41160115898984,41.88422162311154,20.311045905301555,True
Marvin Elimbi,Marvin Elimbi,Gil Vicente FC,Liga Portugal,2025-2026,DEF,22.60917180013689,2430,1000000.0,1000000.0,2336942.478909334,1336942.4789093346,1.3369424789093347,133.69424789093347,9.647110970529551,1336942.4789093346,4.226766088425776,17.59754737996678,91.41666666666669,64.16583186899831,15.44,Bajo,54.26,34.864013402258124,49.995669724364205,52.695917138224054,40.519675105369934,18.349446647412766,True
Marko Milovanović,Marko Milovanović,Alverca,Liga Portugal,2025-2026,ATT,22.15742642026009,1529,1000000.0,1000000.0,5734046.299797386,4734046.299797386,4.734046299797386,473.4046299797386,34.907283914956096,4734046.299797386,16.83136541992692,21.19521222192881,84.48055555555557,75.53692782346417,64.71,Alto,26.66,43.50983184546476,40.18392685939236,35.30856172398538,40.25007642472999,23.842825791230332,True
Pablo Torre,Pablo Torre,Mallorca,LaLiga,2025-2026,MID,22.694045174537987,1599,5000000.0,5000000.0,19572987.79653852,14572987.796538511,2.9145975593077025,291.45975593077026,21.378233208382763,14572987.796538511,53.337731416148536,4.004962964565875,90.00833333333334,65.61035967895396,47.79,Moderado,34.26,48.160719746095225,44.16250187231459,41.328614070536105,39.94218448188654,18.623299102598782,True
Gyan de Regt,Gyan de Regt,Excelsior,Eredivisie,2025-2026,MID,22.12457221081451,2656,550000.0,550000.0,1559342.7868855775,1009342.7868855776,1.8351687034283224,183.51687034283228,13.35181982264475,1009342.7868855776,3.0112416073390658,20.990957210597468,88.55952380952381,67.07868922638089,25.0,Bajo,50.31,35.197637565988984,48.092075808202,48.934590130660006,39.87730869536903,19.45441526693657,True
Nelson Abbey,Nelson Abbey,Rio Ave,Liga Portugal,2025-2026,DEF,22.308008213552363,2082,1000000.0,1000000.0,2327750.71287174,1327750.71287174,1.32775071287174,132.775071287174,9.578762868141073,1327750.71287174,4.1926609994554624,18.68937336812873,90.9404761904762,64.34147337439566,18.38,Bajo,52.52,34.525074547639996,49.05863474036056,51.448120026635934,39.81453465142834,18.247278819147883,True
Jon Martin,Jon Martín,Real Sociedad,LaLiga,2025-2026,DEF,19.444216290212182,2250,5000000.0,5000000.0,20003103.61041974,15003103.61041974,3.000620722083948,300.06207220839485,22.017883947224913,15003103.61041974,54.93363127260278,1.6081302566244116,91.20833333333334,65.47599800843244,51.47,Alto,31.78,48.50870013469924,43.2906246353613,40.39977242719348,39.56080122564953,17.817955110938286,True
Olivier Aertssen,Olivier Aertssen,Zwolle,Eredivisie,2025-2026,DEF,21.31964407939768,1861,750000.0,750000.0,2553314.813949571,1803314.813949571,2.4044197519327613,240.44197519327614,17.584654817443138,1803314.813949571,5.957191984253147,7.430932594939907,93.08333333333334,66.23687935457272,39.71,Moderado,39.93,36.22863638641627,44.27503496751861,44.982301279460856,38.46565386646451,15.334466218088448,True
Thom van Bergen,Thom van Bergen,Groningen,Eredivisie,2025-2026,MID,21.905544147843944,2966,2000000.0,2000000.0,3565097.6401612377,1565097.6401612377,0.7825488200806189,78.25488200806188,5.524752502943507,1565097.6401612377,5.073312012430682,19.88206123867499,90.39102564102564,60.76752194198287,20.59,Bajo,48.26,32.33559833163704,46.21505781745968,49.167127817120466,36.859760512246666,16.604265913411336,True
Fares Chaïbi,Farès Chaïbi,Eintracht Frankfurt,Bundesliga,2025-2026,MID,22.87748117727584,1792,15000000.0,15000000.0,26405899.260740142,11405899.260740146,0.760393284049343,76.03932840493431,5.3600084440821565,11405899.260740146,41.586579804098776,13.886583061378047,96.51111111111112,60.76852633142311,38.24,Moderado,37.53,40.25346428384918,44.12873800391359,45.492778656151906,36.19459232587233,15.770689528781167,True
Sascha Britschgi,Sascha Britschgi,Parma,Serie A,2025-2026,DEF,19.1129363449692,2095,2500000.0,2500000.0,3889689.918696216,1389689.9186962158,0.5558759674784863,55.587596747848636,3.839259282709935,1389689.9186962158,4.42247996098629,100.0,86.41666666666667,88.68950722709778,61.76,Alto,33.91,32.652928851281274,42.86063365823987,40.17089319331286,36.14843623749164,36.21233991862593,True
Mimeirhel Benita,Mimeirhel Benita,Heracles Almelo,Eredivisie,2025-2026,DEF,22.04243668720055,1447,700000.0,700000.0,2378384.4199469555,1678384.4199469555,2.397692028495651,239.7692028495651,17.534628834575397,1678384.4199469555,5.493650790414127,1.5273495707664484,91.6361111111111,63.28619976447024,45.59,Moderado,34.43,34.77238385371008,40.865752582988236,41.26931698752998,35.813298326350335,12.45319642867231,True
Robin Roefs,Robin Roefs,Sunderland,Premier League,2025-2026,GK,22.748802190280628,3150,12000000.0,12000000.0,18419454.982525017,6419454.982525017,0.5349545818770848,53.49545818770848,3.683692115383772,6419454.982525017,23.08489851037615,31.866125428371028,88.08333333333334,62.38644121327461,28.68,Moderado,44.49,35.478138443966614,45.03832285364657,45.96203562273323,35.798705398050785,20.03010911274557,True
