import time: self [us] | cumulative | imported package
import time:      4345 |     152627 |                   pandas._libs.tslibs.conversion
import time:      4296 |       4296 |                   pandas._libs.tslibs.period
import time:      1928 |       1928 |                   pandas._libs.tslibs.vectorized
import time:      1886 |     172584 |                 pandas._libs.tslibs
import time:        32 |     172616 |               pandas._libs.tslibs.nattype
import time:      1217 |       1217 |               pandas._libs.ops_dispatch
import time:      2852 |     176684 |             pandas._libs.missing
import time:     13904 |     190587 |           pandas._libs.hashtable
import time:      7916 |       7916 |           pandas._libs.algos
import time:      7234 |     205736 |         pandas._libs.interval
import time:      1335 |     213811 |       pandas._libs
import time:      1997 |       1997 |         pandas.core.dtypes
import time:      8056 |       8056 |         pandas._libs.lib
import time:      2196 |       2196 |         pandas.errors
import time:      1204 |       1204 |           pandas.core.dtypes.generic
import time:      1368 |       2571 |         pandas.core.dtypes.base
import time:       878 |        878 |         pandas.core.dtypes.inference
import time:      2692 |      18389 |       pandas.core.dtypes.dtypes
import time:      1330 |       1330 |         pandas.core.dtypes.common
import time:      1297 |       2626 |       pandas.core.dtypes.missing
import time:      1203 |       1203 |         pandas.util._decorators
import time:      1343 |       1343 |             pandas.io
import time:      1381 |       2724 |           pandas.io._util
import time:      2660 |       5383 |         pandas.core.dtypes.cast
import time:       860 |        860 |           pandas.core.dtypes.astype
import time:       781 |       1641 |         pandas.core.dtypes.concat
import time:      1715 |       1715 |           pandas.core.array_algos
import time:      9721 |       9721 |               numpy.ma.core
import time:      2256 |       2256 |               numpy.ma.extras
import time:      1724 |      13700 |             numpy.ma
import time:      1580 |       1580 |             pandas.core.common
import time:       906 |      16185 |           pandas.core.construction
import time:      1383 |      19282 |         pandas.core.array_algos.take
import time:      1394 |       1394 |           pandas.core.indexers.utils
import time:      1813 |       3206 |         pandas.core.indexers
import time:      1581 |      32294 |       pandas.core.algorithms
import time:     38900 |      38900 |               pyarrow._compute
import time:      1286 |       1286 |               pyarrow._compute_docstrings
import time:      1566 |       1566 |               pyarrow.vendored
import time:      2752 |       2752 |                   pkgutil
import time:      2776 |       5528 |                 pydoc
import time:      2070 |       7597 |               pyarrow.vendored.docscrape
import time:     28030 |      77377 |             pyarrow.compute
import time:      1480 |      78857 |           pandas.core.arrays.arrow.accessors
import time:      2789 |       2789 |             pandas.util._validators
import time:      1994 |       1994 |             pandas.core.missing
import time:      4172 |       4172 |                 pandas._libs.ops
import time:      2297 |       2297 |                 pandas.core.roperator
import time:      2819 |       2819 |                 pandas.core.computation
import time:      3405 |       3405 |                   pandas.core.computation.check
import time:      2554 |       5959 |                 pandas.core.computation.expressions
import time:      2479 |       2479 |                 pandas.core.ops.missing
import time:      1034 |       1034 |                 pandas.core.ops.dispatch
import time:       754 |        754 |                 pandas.core.ops.invalid
import time:      3185 |      22695 |               pandas.core.ops.array_ops
import time:       966 |        966 |               pandas.core.ops.common
import time:      1203 |       1203 |               pandas.core.ops.docstrings
import time:      2622 |       2622 |               pandas.core.ops.mask_ops
import time:      2819 |      30304 |             pandas.core.ops
import time:      1668 |       1668 |             pandas.core.arraylike
import time:      1531 |       1531 |             pandas.core.arrays._arrow_string_mixins
import time:      1542 |       1542 |             pandas.core.arrays._utils
import time:      4106 |       4106 |               pandas.compat.numpy.function
import time:      1714 |       1714 |               pandas.core.array_algos.quantile
import time:      2966 |       2966 |               pandas.core.sorting
import time:      2848 |      11633 |             pandas.core.arrays.base
import time:      3175 |       3175 |               pandas.core.nanops
import time:      1988 |       1988 |               pandas.core.array_algos.masked_accumulations
import time:      3404 |       3404 |               pandas.core.array_algos.masked_reductions
import time:      4401 |       4401 |                 pandas.core.util
import time:      3270 |       3270 |                 pandas._libs.hashing
import time:      2465 |      10135 |               pandas.core.util.hashing
import time:      3702 |      22401 |             pandas.core.arrays.masked
import time:      4766 |       4766 |               pandas._libs.arrays
import time:      2366 |       2366 |                 pandas.core.arrays.numeric
import time:      2627 |       4992 |               pandas.core.arrays.floating
import time:      1087 |       1087 |               pandas.core.arrays.integer
import time:      1346 |       1346 |                   pandas.core.array_algos.transforms
import time:      2005 |       3351 |                 pandas.core.arrays._mixins
import time:      4919 |       4919 |                   pandas.core.strings
import time:      1906 |       1906 |                   pandas.core.strings.base
import time:      4542 |      11366 |                 pandas.core.strings.object_array
import time:      1232 |      15948 |               pandas.core.arrays.numpy_
import time:      2509 |       2509 |               pandas.io.formats
import time:      1885 |       1885 |                   shutil
import time:       953 |       2837 |                 pandas.io.formats.console
import time:      2755 |       5592 |               pandas.io.formats.printing
import time:      3312 |      38204 |             pandas.core.arrays.string_
import time:      4223 |       4223 |               pandas.tseries
import time:      3209 |       7432 |             pandas.tseries.frequencies
import time:      4341 |     123835 |           pandas.core.arrays.arrow.array
import time:      3648 |     206339 |         pandas.core.arrays.arrow
import time:      1956 |       1956 |         pandas.core.arrays.boolean
import time:       797 |        797 |             _csv
import time:      2539 |       3336 |           csv
import time:      3905 |       3905 |           pandas.core.accessor
import time:      3574 |       3574 |           pandas.core.base
import time:      3369 |      14181 |         pandas.core.arrays.categorical
import time:      4078 |       4078 |           pandas._libs.tslib
import time:      2601 |       2601 |             pandas.core.array_algos.datetimelike_accumulations
import time:      6841 |       9442 |           pandas.core.arrays.datetimelike
import time:      1334 |       1334 |           pandas.core.arrays._ranges
import time:       962 |        962 |           pandas.tseries.offsets
import time:      2212 |      18028 |         pandas.core.arrays.datetimes
import time:      1860 |       1860 |           pandas.core.arrays.timedeltas
import time:      4215 |       6075 |         pandas.core.arrays.interval
import time:      5065 |       5065 |         pandas.core.arrays.period
import time:      7747 |       7747 |               pandas._libs.sparse
import time:      2022 |       9769 |             pandas.core.arrays.sparse.array
import time:      1684 |      11452 |           pandas.core.arrays.sparse.accessor
import time:      3530 |      14982 |         pandas.core.arrays.sparse
import time:      1896 |       1896 |         pandas.core.arrays.string_arrow
import time:      1749 |     270267 |       pandas.core.arrays
import time:      2607 |       2607 |       pandas.core.flags
import time:      7149 |       7149 |             pandas._libs.internals
import time:      1565 |       1565 |               pandas.core._numba
import time:      2370 |       3935 |             pandas.core._numba.executor
import time:      2463 |      13545 |           pandas.core.apply
import time:      2036 |       2036 |                 pandas._libs.indexing
import time:      2547 |       2547 |                   pandas.core.indexes
import time:      5426 |       5426 |                     pandas._libs.index
import time:      2486 |       2486 |                     pandas._libs.writers
import time:      6322 |       6322 |                     pandas._libs.join
import time:      1065 |       1065 |                     pandas.core.array_algos.putmask
import time:      1736 |       1736 |                     pandas.core.indexes.frozen
import time:      3518 |       3518 |                     pandas.core.strings.accessor
import time:      2896 |      23446 |                   pandas.core.indexes.base
import time:      1181 |       1181 |                     pandas.core.indexes.extension
import time:      1999 |       3179 |                   pandas.core.indexes.category
import time:      3083 |       3083 |                       pandas.core.indexes.range
import time:      1772 |       1772 |                         pandas.core.tools
import time:      3297 |       5069 |                       pandas.core.tools.timedeltas
import time:      2428 |      10579 |                     pandas.core.indexes.datetimelike
import time:      3360 |       3360 |                     pandas.core.tools.times
import time:      2585 |      16523 |                   pandas.core.indexes.datetimes
import time:     20454 |      20454 |                     pandas.core.indexes.multi
import time:      3018 |       3018 |                     pandas.core.indexes.timedeltas
import time:      2139 |      25609 |                   pandas.core.indexes.interval
import time:      3764 |       3764 |                   pandas.core.indexes.period
import time:      2567 |      77634 |                 pandas.core.indexes.api
import time:      2861 |      82529 |               pandas.core.indexing
import time:      2167 |       2167 |               pandas.core.sample
import time:      1087 |       1087 |               pandas.core.array_algos.replace
import time:      3055 |       3055 |                   pandas.core.internals.blocks
import time:      2398 |       5452 |                 pandas.core.internals.api
import time:      2132 |       2132 |                   pandas.core.internals.base
import time:      3522 |       3522 |                     pandas.core.internals.ops
import time:      3863 |       7385 |                   pandas.core.internals.managers
import time:      2024 |      11540 |                 pandas.core.internals.array_manager
import time:      3849 |       3849 |                 pandas.core.internals.concat
import time:      1967 |      22807 |               pandas.core.internals
import time:      2322 |       2322 |               pandas.core.internals.construction
import time:      4398 |       4398 |                 pandas.core.methods
import time:      2003 |       2003 |                   pandas.core.reshape
import time:      2286 |       4289 |                 pandas.core.reshape.concat
import time:      2602 |       2602 |                     gzip
import time:       114 |        114 |                     mmap
import time:      1293 |       1293 |                       pwd
import time:      1054 |       1054 |                       grp
import time:      4488 |       6834 |                     tarfile
import time:      4031 |       4031 |                     zipfile
import time:      1325 |       1325 |                     pandas.core.shared_docs
import time:      3603 |      18507 |                   pandas.io.common
import time:      3167 |      21673 |                 pandas.io.formats.format
import time:      3188 |      33547 |               pandas.core.methods.describe
import time:      3164 |       3164 |                     pandas._libs.window
import time:      6632 |       9795 |                   pandas._libs.window.aggregations
import time:      4735 |       4735 |                     pandas._libs.window.indexers
import time:      2246 |       6981 |                   pandas.core.indexers.objects
import time:      3285 |       3285 |                   pandas.core.util.numba_
import time:      2546 |       2546 |                   pandas.core.window.common
import time:      1502 |       1502 |                   pandas.core.window.doc
import time:      2351 |       2351 |                   pandas.core.window.numba_
import time:      1572 |       1572 |                   pandas.core.window.online
import time:      2956 |       2956 |                   pandas.core.window.rolling
import time:      5641 |      36624 |                 pandas.core.window.ewm
import time:      7219 |       7219 |                 pandas.core.window.expanding
import time:      2470 |      46312 |               pandas.core.window
import time:     11800 |     202569 |             pandas.core.generic
import time:      3325 |       3325 |             pandas.core.methods.selectn
import time:      2595 |       2595 |               pandas.core.reshape.util
import time:      1179 |       1179 |               pandas.core.tools.numeric
import time:      2097 |       5870 |             pandas.core.reshape.melt
import time:      5266 |       5266 |               pandas._libs.reshape
import time:      5228 |       5228 |               pandas.core.indexes.accessors
import time:      3058 |       3058 |                 pandas.arrays
import time:      4087 |       7144 |               pandas.core.tools.datetimes
import time:      2179 |       2179 |               pandas.io.formats.info
import time:      5056 |       5056 |                 pandas.plotting._core
import time:      1760 |       1760 |                 pandas.plotting._misc
import time:      4980 |      11795 |               pandas.plotting
import time:      5312 |      36921 |             pandas.core.series
import time:      8095 |     256778 |           pandas.core.frame
import time:      2758 |       2758 |           pandas.core.groupby.base
import time:      8889 |       8889 |             pandas._libs.groupby
import time:       822 |        822 |               pandas.core.groupby.categorical
import time:      1310 |       2131 |             pandas.core.groupby.grouper
import time:      2122 |      13141 |           pandas.core.groupby.ops
import time:      1411 |       1411 |             pandas.core.groupby.numba_
import time:      1202 |       1202 |             pandas.core.groupby.indexing
import time:      3065 |       5677 |           pandas.core.groupby.groupby
import time:      4999 |     296896 |         pandas.core.groupby.generic
import time:      2136 |     299031 |       pandas.core.groupby
import time:      1359 |     840381 |     pandas.core.api
import time:       574 |        574 |     pandas.tseries.api
import time:       770 |        770 |             pandas.core.computation.common
import time:      1008 |       1777 |           pandas.core.computation.align
import time:      1696 |       1696 |               pprint
import time:      1123 |       2819 |             pandas.core.computation.scope
import time:      1814 |       4632 |           pandas.core.computation.ops
import time:       990 |       7398 |         pandas.core.computation.engines
import time:      1074 |       1074 |           pandas.core.computation.parsing
import time:      2037 |       3110 |         pandas.core.computation.expr
import time:      1187 |      11694 |       pandas.core.computation.eval
import time:       672 |      12366 |     pandas.core.computation.api
import time:      1264 |       1264 |       pandas.core.reshape.encoding
import time:      1815 |       1815 |       pandas.core.reshape.merge
import time:      1732 |       1732 |       pandas.core.reshape.pivot
import time:      1263 |       1263 |       pandas.core.reshape.tile
import time:       868 |       6940 |     pandas.core.reshape.api
import time:      1610 |       1610 |       pandas.api.extensions
import time:      1048 |       1048 |       pandas.api.indexers
import time:      2350 |       2350 |           pandas.core.interchange
import time:      2306 |       4655 |         pandas.core.interchange.dataframe_protocol
import time:      1104 |       1104 |           pandas.core.interchange.utils
import time:      1213 |       2317 |         pandas.core.interchange.from_dataframe
import time:      1193 |       8165 |       pandas.api.interchange
import time:       748 |        748 |         pandas.core.dtypes.api
import time:      1005 |       1752 |       pandas.api.types
import time:      2205 |       2205 |         pandas.core.resample
import time:      2068 |       2068 |               pandas._libs.json
import time:      1793 |       1793 |               pandas.io.json._normalize
import time:      1020 |       1020 |               pandas.io.json._table_schema
import time:      5603 |       5603 |                     pandas._libs.parsers
import time:      1732 |       1732 |                       pandas.io.parsers.base_parser
import time:      1231 |       2963 |                     pandas.io.parsers.arrow_parser_wrapper
import time:      1168 |       1168 |                     pandas.io.parsers.c_parser_wrapper
import time:      1483 |       1483 |                     pandas.io.parsers.python_parser
import time:      3196 |      14413 |                   pandas.io.parsers.readers
import time:      2016 |      16428 |                 pandas.io.parsers
import time:        23 |      16450 |               pandas.io.parsers.readers
import time:      2409 |      23739 |             pandas.io.json._json
import time:      1937 |      25676 |           pandas.io.json
import time:        20 |      25695 |         pandas.io.json._json
import time:      2892 |       2892 |         pandas.io.stata
import time:       851 |      31641 |       pandas.api.typing
import time:      1334 |      45549 |     pandas.api
import time:      2571 |       2571 |             tempfile
import time:      1224 |       3794 |           pandas._testing.contexts
import time:      1569 |       5363 |         pandas._testing._io
import time:       814 |        814 |         pandas._testing._warnings
import time:        59 |         59 |             cmath
import time:      1503 |       1561 |           pandas._libs.testing
import time:      1285 |       2846 |         pandas._testing.asserters
import time:       868 |        868 |         pandas._testing.compat
import time:      3341 |      13230 |       pandas._testing
import time:      1245 |      14474 |     pandas.testing
import time:      1297 |       1297 |     pandas.util._print_versions
import time:       797 |        797 |       pandas.io.clipboards
import time:      1725 |       1725 |           pandas.io.excel._util
import time:      1378 |       1378 |           pandas.io.excel._calamine
import time:      1218 |       1218 |           pandas.io.excel._odfreader
import time:      1447 |       1447 |           pandas.io.excel._openpyxl
import time:       819 |        819 |           pandas.io.excel._pyxlsb
import time:       851 |        851 |           pandas.io.excel._xlrd
import time:      2969 |      10403 |         pandas.io.excel._base
import time:       848 |        848 |         pandas.io.excel._odswriter
import time:       997 |        997 |         pandas.io.excel._xlsxwriter
import time:      2387 |      14633 |       pandas.io.excel
import time:      1127 |       1127 |       pandas.io.feather_format
import time:      1115 |       1115 |       pandas.io.gbq
import time:      1333 |       1333 |       pandas.io.html
import time:      1278 |       1278 |       pandas.io.orc
import time:      2107 |       2107 |       pandas.io.parquet
import time:      1418 |       1418 |         pandas.compat.pickle_compat
