path,suffix,rows,columns,read_seconds,memory_mb,error
reports\sprint_13b\poc_soccerdata_fbref_results.csv,.csv,9.0,9.0,0.017623,0.005,
data\processed\player_role_features_final.parquet,.parquet,13574.0,26.0,0.017563,5.823,
reports\sprint_13b\fbref_advanced_variable_summary.csv,.csv,53.0,14.0,0.017522,0.012,
reports\tables\ols_model_metrics.csv,.csv,1.0,4.0,0.017484,0.0,
reports\data_quality\tm41_column_audit.csv,.csv,539.0,33.0,0.017364,0.145,
reports\strategy\scenario_grid_portfolios.csv,.csv,105.0,29.0,0.017231,0.069,
reports\tables\01_market_value_by_league.csv,.csv,7.0,5.0,0.017068,0.001,
reports\tables\02_baseline_coefficient_table.csv,.csv,18.0,8.0,0.017049,0.002,
reports\sprint_13b\productive\rankings\top_undervalued_global.csv,.csv,50.0,18.0,0.017033,0.027,
reports\data_quality\tm6_5_14\club_current_context_audit.csv,.csv,2996.0,8.0,0.016941,1.687,
reports\visual_identity\tm6_9_top50_market_value_fetch_audit.csv,.csv,49.0,9.0,0.016932,0.035,
data\processed\current_xg_snapshot.parquet,.parquet,2775.0,38.0,0.016301,2.533,
reports\data_quality\tm7_presentation_layer_audit.csv,.csv,2.0,24.0,0.016294,0.002,
reports\sprint_13b\poc_soccerdata_fbref_team_season_results.csv,.csv,9.0,7.0,0.016236,0.004,
reports\model_diagnostics\ranking_by_position.csv,.csv,4.0,22.0,0.016231,0.001,
reports\data_quality\snapshot_refresh\candidate_20260615_154627\current_player_snapshot_homonyms.csv,.csv,701.0,23.0,0.016202,0.798,
data\processed\player_position_taxonomy_v2.parquet,.parquet,12848.0,5.0,0.016143,3.335,
reports\visual_identity\tm6_9a_top30_visual_mvp_manifest.csv,.csv,30.0,163.0,0.016122,0.159,
reports\sprint_13b\econometric\03_inefficiency_by_league_test.csv,.csv,11.0,9.0,0.016101,0.002,
reports\tables\01_modeling_coverage_by_season.csv,.csv,7.0,6.0,0.016097,0.001,
reports\sprint_13a1\econometric\03_econometric_test_predictions.parquet,.parquet,776.0,65.0,0.015853,1.254,
