import time: self [us] | cumulative | imported package
import time:       558 |        558 |                           dateutil._common
import time:      1772 |       2329 |                         dateutil.parser._parser
import time:       759 |        759 |                         dateutil.parser.isoparser
import time:       829 |       3916 |                       dateutil.parser
import time:      1174 |       1174 |                       pandas._libs.tslibs.strptime
import time:      1054 |       6143 |                     pandas._libs.tslibs.parsing
import time:       805 |      38508 |                   pandas._libs.tslibs.conversion
import time:       901 |        901 |                   pandas._libs.tslibs.period
import time:       758 |        758 |                   pandas._libs.tslibs.vectorized
import time:      1628 |      46716 |                 pandas._libs.tslibs
import time:        39 |      46755 |               pandas._libs.tslibs.nattype
import time:       579 |        579 |               pandas._libs.ops_dispatch
import time:      1491 |      48824 |             pandas._libs.missing
import time:      4719 |      53543 |           pandas._libs.hashtable
import time:      2372 |       2372 |           pandas._libs.algos
import time:      1277 |      57191 |         pandas._libs.interval
import time:       621 |      59595 |       pandas._libs
import time:       874 |        874 |         pandas.core.dtypes
import time:      1534 |       1534 |         pandas._libs.lib
import time:      1078 |       1078 |         pandas.errors
import time:       962 |        962 |           pandas.core.dtypes.generic
import time:       706 |       1668 |         pandas.core.dtypes.base
import time:       548 |        548 |         pandas.core.dtypes.inference
import time:      1811 |       7511 |       pandas.core.dtypes.dtypes
import time:       644 |        644 |         pandas.core.dtypes.common
import time:       681 |       1325 |       pandas.core.dtypes.missing
import time:      1008 |       1008 |         pandas.util._decorators
import time:       574 |        574 |             pandas.io
import time:       670 |       1243 |           pandas.io._util
import time:       959 |       2202 |         pandas.core.dtypes.cast
import time:      1063 |       1063 |           pandas.core.dtypes.astype
import time:      1111 |       2173 |         pandas.core.dtypes.concat
import time:       675 |        675 |           pandas.core.array_algos
import time:      7941 |       7941 |               numpy.ma.core
import time:      1386 |       1386 |               numpy.ma.extras
import time:       612 |       9938 |             numpy.ma
import time:       880 |        880 |             pandas.core.common
import time:       668 |      11485 |           pandas.core.construction
import time:      1209 |      13369 |         pandas.core.array_algos.take
import time:       925 |        925 |           pandas.core.indexers.utils
import time:       673 |       1598 |         pandas.core.indexers
import time:       966 |      21313 |       pandas.core.algorithms
import time:      5666 |       5666 |               pyarrow._compute
import time:       759 |        759 |               pyarrow._compute_docstrings
import time:       680 |        680 |               pyarrow.vendored
import time:       951 |        951 |                   pkgutil
import time:      2100 |       3050 |                 pydoc
import time:      1602 |       4652 |               pyarrow.vendored.docscrape
import time:     19977 |      31733 |             pyarrow.compute
import time:      1096 |      32829 |           pandas.core.arrays.arrow.accessors
import time:       713 |        713 |             pandas.util._validators
import time:       723 |        723 |             pandas.core.missing
import time:      1024 |       1024 |                 pandas._libs.ops
import time:      1841 |       1841 |                 pandas.core.roperator
import time:      2305 |       2305 |                 pandas.core.computation
import time:      1449 |       1449 |                   pandas.core.computation.check
import time:       850 |       2299 |                 pandas.core.computation.expressions
import time:       549 |        549 |                 pandas.core.ops.missing
import time:       590 |        590 |                 pandas.core.ops.dispatch
import time:       500 |        500 |                 pandas.core.ops.invalid
import time:      1313 |      10416 |               pandas.core.ops.array_ops
import time:       679 |        679 |               pandas.core.ops.common
import time:       553 |        553 |               pandas.core.ops.docstrings
import time:       565 |        565 |               pandas.core.ops.mask_ops
import time:       674 |      12886 |             pandas.core.ops
import time:       700 |        700 |             pandas.core.arraylike
import time:       715 |        715 |             pandas.core.arrays._arrow_string_mixins
import time:       590 |        590 |             pandas.core.arrays._utils
import time:       856 |        856 |               pandas.compat.numpy.function
import time:       613 |        613 |               pandas.core.array_algos.quantile
import time:       732 |        732 |               pandas.core.sorting
import time:      1116 |       3317 |             pandas.core.arrays.base
import time:      1773 |       1773 |               pandas.core.nanops
import time:       660 |        660 |               pandas.core.array_algos.masked_accumulations
import time:       710 |        710 |               pandas.core.array_algos.masked_reductions
import time:       608 |        608 |                 pandas.core.util
import time:       772 |        772 |                 pandas._libs.hashing
import time:       774 |       2153 |               pandas.core.util.hashing
import time:      1935 |       7230 |             pandas.core.arrays.masked
import time:       711 |        711 |               pandas._libs.arrays
import time:       686 |        686 |                 pandas.core.arrays.numeric
import time:       817 |       1503 |               pandas.core.arrays.floating
import time:       646 |        646 |               pandas.core.arrays.integer
import time:       442 |        442 |                   pandas.core.array_algos.transforms
import time:       803 |       1244 |                 pandas.core.arrays._mixins
import time:       500 |        500 |                   pandas.core.strings
import time:       682 |        682 |                   pandas.core.strings.base
import time:      1058 |       2239 |                 pandas.core.strings.object_array
import time:       636 |       4118 |               pandas.core.arrays.numpy_
import time:       536 |        536 |               pandas.io.formats
import time:      1075 |       1075 |                   shutil
import time:       520 |       1594 |                 pandas.io.formats.console
import time:      1080 |       2674 |               pandas.io.formats.printing
import time:      1095 |      11281 |             pandas.core.arrays.string_
import time:       650 |        650 |               pandas.tseries
import time:       966 |       1616 |             pandas.tseries.frequencies
import time:      2155 |      41922 |           pandas.core.arrays.arrow.array
import time:       728 |      75478 |         pandas.core.arrays.arrow
import time:       899 |        899 |         pandas.core.arrays.boolean
import time:        91 |         91 |             _csv
import time:       875 |        965 |           csv
import time:      1138 |       1138 |           pandas.core.accessor
import time:      1200 |       1200 |           pandas.core.base
import time:      1335 |       4636 |         pandas.core.arrays.categorical
import time:       884 |        884 |           pandas._libs.tslib
import time:       638 |        638 |             pandas.core.array_algos.datetimelike_accumulations
import time:      1496 |       2134 |           pandas.core.arrays.datetimelike
import time:       625 |        625 |           pandas.core.arrays._ranges
import time:       514 |        514 |           pandas.tseries.offsets
import time:      1146 |       5300 |         pandas.core.arrays.datetimes
import time:      1530 |       1530 |           pandas.core.arrays.timedeltas
import time:      1896 |       3426 |         pandas.core.arrays.interval
import time:      2051 |       2051 |         pandas.core.arrays.period
import time:      1022 |       1022 |               pandas._libs.sparse
import time:      1158 |       2179 |             pandas.core.arrays.sparse.array
import time:      1258 |       3437 |           pandas.core.arrays.sparse.accessor
import time:      2201 |       5637 |         pandas.core.arrays.sparse
import time:      1170 |       1170 |         pandas.core.arrays.string_arrow
import time:       777 |      99372 |       pandas.core.arrays
import time:       547 |        547 |       pandas.core.flags
import time:       886 |        886 |             pandas._libs.internals
import time:       648 |        648 |               pandas.core._numba
import time:      1013 |       1660 |             pandas.core._numba.executor
import time:      1008 |       3553 |           pandas.core.apply
import time:       690 |        690 |                 pandas._libs.indexing
import time:       554 |        554 |                   pandas.core.indexes
import time:      1237 |       1237 |                     pandas._libs.index
import time:       826 |        826 |                     pandas._libs.writers
import time:      1376 |       1376 |                     pandas._libs.join
import time:       657 |        657 |                     pandas.core.array_algos.putmask
import time:       636 |        636 |                     pandas.core.indexes.frozen
import time:      2448 |       2448 |                     pandas.core.strings.accessor
import time:      3503 |      10683 |                   pandas.core.indexes.base
import time:       596 |        596 |                     pandas.core.indexes.extension
import time:       828 |       1424 |                   pandas.core.indexes.category
import time:       868 |        868 |                       pandas.core.indexes.range
import time:       511 |        511 |                         pandas.core.tools
import time:       727 |       1237 |                       pandas.core.tools.timedeltas
import time:      1300 |       3404 |                     pandas.core.indexes.datetimelike
import time:      1099 |       1099 |                     pandas.core.tools.times
import time:      1712 |       6215 |                   pandas.core.indexes.datetimes
import time:     11158 |      11158 |                     pandas.core.indexes.multi
import time:      2540 |       2540 |                     pandas.core.indexes.timedeltas
import time:      1431 |      15127 |                   pandas.core.indexes.interval
import time:       948 |        948 |                   pandas.core.indexes.period
import time:      1579 |      36526 |                 pandas.core.indexes.api
import time:      1604 |      38819 |               pandas.core.indexing
import time:       577 |        577 |               pandas.core.sample
import time:       571 |        571 |               pandas.core.array_algos.replace
import time:      1226 |       1226 |                   pandas.core.internals.blocks
import time:      1052 |       2277 |                 pandas.core.internals.api
import time:       679 |        679 |                   pandas.core.internals.base
import time:       782 |        782 |                     pandas.core.internals.ops
import time:      1076 |       1858 |                   pandas.core.internals.managers
import time:      1078 |       3614 |                 pandas.core.internals.array_manager
import time:       666 |        666 |                 pandas.core.internals.concat
import time:       595 |       7150 |               pandas.core.internals
