player_name_fbref,player_id_tm,club,current_club_name_tm,league,season,position_group,age,minutes_played,market_value_eur,log_market_value_eur,model,feature_set,predicted_log_market_value_ml,predicted_market_value_ml_eur,residual_log_observed_minus_predicted,inefficiency_score_ml,market_value_growth_prev,delta_log_market_value_prev,growth_index,breakout_indicator,career_year,matching_confidence,matching_method,goals_per90,assists_per90,predicted_market_value_eur,residual_observed_minus_predicted_log,inefficiency_score_log,market_value_gap_eur,market_value_gap_pct,inefficiency_score_log_winsorized,market_value_gap_pct_winsorized,inefficiency_score_z,market_value_gap_pct_z,is_undervalued,is_overvalued,inefficiency_rank
Johan Manzambi,927353.0,Freiburg,Sport-Club Freiburg,Bundesliga,2024-2025,MID,18.98699520876112,335,750000.0,13.527828485512494,LightGBM,B_v13B_advanced,16.120638636687698,10025462.218601512,-2.592810151175204,2.592810151175204,2.0,1.0986096220085546,0.6125731053272446,0,1,0.85,exact_age_validated,0.54,0.27,10025462.218601512,-2.592810151175204,2.592810151175204,9275462.218601512,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,51
Andrés García,1063329.0,Aston Villa,Aston Villa Football Club,Premier League,2024-2025,DEF,21.683778234086244,318,900000.0,13.710150042306449,LightGBM,B_v13B_advanced,16.23628195384042,11254537.67117487,-2.526131911533973,2.526131911533973,0.125,0.11778289676765752,-0.19805486479308607,0,1,0.85,exact_age_validated,0.0,0.0,11254537.67117487,-2.526131911533973,2.526131911533973,10354537.67117487,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,50
Andrés García,1063329.0,Aston Villa,Aston Villa Football Club,Premier League,2024-2025,DEF,21.683778234086244,318,900000.0,13.710150042306449,XGBoost,A_v13A_current,16.07135772705078,9543375.0,-2.3612076847443326,2.3612076847443326,0.125,0.11778289676765752,-0.19805486479308607,0,1,0.85,exact_age_validated,0.0,0.0,9543374.738554722,-2.3612076847443326,2.3612076847443326,8643374.738554722,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,28
Yassin Belkhdim,807688.0,Angers,Angers Sporting Club de l'Ouest,Ligue 1,2024-2025,MID,22.64476386036961,1523,500000.0,13.122363377404328,LightGBM,A_v13A_current,15.697979611909629,6569705.811505566,-2.5756162345053006,2.5756162345053006,4.0,1.6094299124820992,1.4917402334230712,1,1,0.85,exact_age_validated,0.06,0.06,6569705.811505566,-2.5756162345053006,2.5756162345053006,6069705.811505566,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,24
Mario Martín,948273.0,Valladolid,Getafe Club de Fútbol S. A. D. Team Dubai,LaLiga,2024-2025,MID,20.602327173169066,1748,500000.0,13.122363377404328,LightGBM,A_v13A_current,16.23159994113044,11201966.947187008,-3.109236563726112,3.109236563726112,0.6666666666666666,0.5108242904362132,0.4347828594471473,1,1,0.85,exact_age_validated,0.0,0.05,11201966.947187008,-3.109236563726112,3.109236563726112,10701966.947187008,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,25
Jesus Rodríguez,1190411.0,Real Betis,Calcio Como,LaLiga,2024-2025,MID,18.89664613278576,1111,700000.0,13.458835614025542,LightGBM,A_v13A_current,17.008500517318552,24361157.52974716,-3.54966490329301,3.54966490329301,0.4,0.33647166519362237,0.2987354985416992,1,1,0.85,exact_age_validated,0.16,0.0,24361157.529747162,-3.54966490329301,3.54966490329301,23661157.529747162,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,26
Lasse Rosenboom,512352.0,Holstein Kiel,Holstein Kiel,Bundesliga,2024-2025,MID,22.91854893908282,1734,500000.0,13.122363377404328,XGBoost,A_v13A_current,16.128198623657227,10101542.0,-3.0058352462528983,3.0058352462528983,0.0,0.0,-0.28329844427707607,0,1,1.0,exact_age_club_validated,0.1,0.1,10101541.80031059,-3.0058352462528983,3.0058352462528983,9601541.80031059,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,27
Yan Diomandé,1390649.0,Leganés,RasenBallsport Leipzig,LaLiga,2024-2025,MID,18.472279260780287,545,600000.0,13.304684934198283,XGBoost,A_v13A_current,16.385536193847656,13066160.0,-3.080851259649373,3.080851259649373,,,0.0,0,1,0.85,exact_age_validated,0.33,0.17,13066159.399179675,-3.080851259649373,3.080851259649373,12466159.399179675,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,30
Adrian Blake,875581.0,Utrecht,Football Club Utrecht,Eredivisie,2024-2025,MID,19.42505133470226,468,500000.0,13.122363377404328,XGBoost,A_v13A_current,15.744820594787598,6884758.0,-2.622457217383269,2.622457217383269,0.0,0.0,-0.28329844427707607,0,1,0.85,exact_age_validated,0.58,0.38,6884758.37270505,-2.6224572173832694,2.6224572173832694,6384758.37270505,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,29
Pau Navarro,1061336.0,Villarreal,Villarreal Club de Fútbol S.A.D.,LaLiga,2024-2025,DEF,19.64955509924709,916,500000.0,13.122363377404328,RandomForest,A_v13A_current,15.441815319355394,5085049.486904482,-2.319451941951065,2.319451941951065,1.5,0.9162877318846547,0.7769228195550556,1,1,0.85,exact_age_validated,0.0,0.0,5085049.486904482,-2.3194519419510655,2.3194519419510655,4585049.486904482,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,4
