player_name_fbref,club,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,inefficiency_score_z,growth_score,confidence_score,opportunity_score,opportunity_tier,matching_confidence,matching_method
Destiny Udogie,Tottenham Hotspur,Premier League,2024-2025,DEF,22.050650239561943,1924,45000000.0,13879533.415609738,-31120466.58439026,-0.6915659240975613,-1.1163744151372064,7.565371053184755,100.0,35.80724024910204,interesting,1.0,exact_age_club_validated
Destiny Udogie,Tottenham Hotspur,Premier League,2024-2025,DEF,22.050650239561943,1924,45000000.0,13265894.559211424,-31734105.44078857,-0.705202343128635,-1.163818268759353,7.565371053184755,100.0,35.155308022065704,interesting,1.0,exact_age_club_validated
Destiny Udogie,Tottenham Hotspur,Premier League,2024-2025,DEF,22.050650239561943,1924,45000000.0,13020259.632786611,-31979740.36721339,-0.7106608970491864,-1.1834277233467807,7.565371053184755,100.0,34.88585192977682,interesting,1.0,exact_age_club_validated
Destiny Udogie,Tottenham Hotspur,Premier League,2024-2025,DEF,22.050650239561943,1924,45000000.0,12086286.252047114,-32913713.74795289,-0.7314158610656197,-1.2615253421481027,7.565371053184755,100.0,33.81270228732001,interesting,1.0,exact_age_club_validated
Destiny Udogie,Tottenham Hotspur,Premier League,2024-2025,DEF,22.050650239561943,1924,45000000.0,12015868.858423509,-32984131.14157649,-0.7329806920350331,-1.2676561133741295,7.565371053184755,100.0,33.7284585542821,interesting,1.0,exact_age_club_validated
Destiny Udogie,Tottenham Hotspur,Premier League,2024-2025,DEF,22.050650239561943,1924,45000000.0,11299070.77184519,-33700929.22815481,-0.7489095384034402,-1.3321902101032987,7.565371053184755,100.0,32.841687050949034,interesting,1.0,exact_age_club_validated
João Neves,Paris Saint-Germain,Ligue 1,2024-2025,DEF,20.02737850787132,1844,60000000.0,10118137.702160008,-49881862.29783999,-0.8313643716306666,-1.7498498046921558,10.076307930433902,99.54545454545456,27.861695718509036,interesting,1.0,exact_age_club_validated
João Neves,Paris Saint-Germain,Ligue 1,2024-2025,DEF,20.02737850787132,1844,60000000.0,9452754.798981296,-50547245.20101871,-0.8424540866836451,-1.821220220954942,10.076307930433902,99.54545454545456,26.880985450130066,interesting,1.0,exact_age_club_validated
João Neves,Paris Saint-Germain,Ligue 1,2024-2025,DEF,20.02737850787132,1844,60000000.0,8976098.9942938,-51023901.0057062,-0.8503983500951033,-1.8755068956433456,10.076307930433902,99.54545454545456,26.135025119633497,interesting,1.0,exact_age_club_validated
João Neves,Paris Saint-Germain,Ligue 1,2024-2025,DEF,20.02737850787132,1844,60000000.0,8970266.113664387,-51029733.88633561,-0.8504955647722602,-1.876188914544025,10.076307930433902,99.54545454545456,26.125653408297776,interesting,1.0,exact_age_club_validated
João Neves,Paris Saint-Germain,Ligue 1,2024-2025,DEF,20.02737850787132,1844,60000000.0,8214320.403786006,-51785679.596214,-0.8630946599368999,-1.968556947371712,10.076307930433902,99.54545454545456,24.856412131484444,interesting,1.0,exact_age_club_validated
João Neves,Paris Saint-Germain,Ligue 1,2024-2025,DEF,20.02737850787132,1844,60000000.0,8154096.759087364,-51845903.24091264,-0.8640983873485439,-1.97627756626799,10.076307930433902,99.54545454545456,24.750322092693835,interesting,1.0,exact_age_club_validated
João Neves,Paris Saint-Germain,Ligue 1,2024-2025,DEF,20.02737850787132,1844,60000000.0,6794914.2030508565,-53205085.79694914,-0.8867514299491523,-2.1675957146977565,10.076307930433902,99.54545454545456,22.121394274738044,interesting,1.0,exact_age_club_validated
João Neves,Paris Saint-Germain,Ligue 1,2024-2025,DEF,20.02737850787132,1844,60000000.0,6379453.24007596,-53620546.75992404,-0.8936757793320673,-2.233792101673889,10.076307930433902,99.54545454545456,21.21178102268628,interesting,1.0,exact_age_club_validated
