player_name_fbref,club,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,inefficiency_score_z,growth_score,confidence_score,opportunity_score,opportunity_tier,matching_confidence,matching_method
Lucas Stassin,Saint-Étienne,Ligue 1,2024-2025,ATT,19.854893908282,1887,6000000.0,17162695.759078067,11162695.759078069,1.8604492931796777,1.220439176675358,30.657917624488604,93.33333333333331,73.75942167217929,high_priority,1.0,exact_age_club_validated
Joaquín Panichelli,CD Mirandés,Spanish Segunda División,2024-2025,ATT,22.02053388090349,3457,600000.0,2057677.6499223693,1457677.6499223695,2.4294627498706163,1.4107908600071777,31.45952832899176,86.41666666666667,73.51318114780106,high_priority,0.85,exact_age_validated
Lucas Stassin,Saint-Étienne,Ligue 1,2024-2025,ATT,19.854893908282,1887,6000000.0,15673974.917950258,9673974.917950258,1.6123291529917096,1.1252381176731474,30.657917624488604,93.33333333333331,72.45125141042473,high_priority,1.0,exact_age_club_validated
Joaquín Panichelli,CD Mirandés,Spanish Segunda División,2024-2025,ATT,22.02053388090349,3457,600000.0,1811313.9236872173,1211313.9236872178,2.0188565394786964,1.2769906495647276,31.45952832899176,86.41666666666667,71.67461487394009,high_priority,0.85,exact_age_validated
Lucas Stassin,Saint-Étienne,Ligue 1,2024-2025,ATT,19.854893908282,1887,6000000.0,14459941.082856098,8459941.082856098,1.4099901804760164,1.0406517922692533,30.657917624488604,93.33333333333331,71.28893959788599,high_priority,1.0,exact_age_club_validated
Joaquín Panichelli,CD Mirandés,Spanish Segunda División,2024-2025,ATT,22.02053388090349,3457,600000.0,1748518.5012290173,1148518.5012290173,1.914197502048362,1.2399709159086074,31.45952832899176,86.41666666666667,71.16592184915045,high_priority,0.85,exact_age_validated
Thierno Barry,Villarreal,LaLiga,2024-2025,ATT,21.973990417522245,2323,14000000.0,26857004.205016404,12857004.205016404,0.9183574432154574,0.8012724538276041,46.50602780170151,86.41666666666667,70.93532971046298,high_priority,0.85,exact_age_validated
Thierno Barry,Villarreal,LaLiga,2024-2025,ATT,21.973990417522245,2323,14000000.0,26422431.985966098,12422431.985966098,0.8873165704261499,0.7841564736110523,46.50602780170151,86.41666666666667,70.70013677716219,high_priority,0.85,exact_age_validated
Joaquín Panichelli,CD Mirandés,Spanish Segunda División,2024-2025,ATT,22.02053388090349,3457,600000.0,1675901.0115713915,1075901.0115713915,1.793168352618986,1.1954658769891346,31.45952832899176,86.41666666666667,70.55437226112191,high_priority,0.85,exact_age_validated
Joaquín Panichelli,CD Mirandés,Spanish Segunda División,2024-2025,ATT,22.02053388090349,3457,600000.0,1651225.4584153872,1051225.4584153872,1.752042430692312,1.1799028039423356,31.45952832899176,86.41666666666667,70.34051802930226,high_priority,0.85,exact_age_validated
