player_name_fbref,player_id_tm,club_actual,current_club_name_tm,league,season,position_group,age,minutes_played,market_value_eur,log_market_value_eur,model,feature_set,predicted_log_market_value_ml,predicted_market_value_ml_eur,residual_log_observed_minus_predicted,inefficiency_score_ml,market_value_growth_prev,delta_log_market_value_prev,growth_index,breakout_indicator,career_year,matching_confidence,matching_method,goals_per90,assists_per90,predicted_market_value_eur,residual_observed_minus_predicted_log,inefficiency_score_log,market_value_gap_eur,market_value_gap_pct,inefficiency_score_log_winsorized,market_value_gap_pct_winsorized,inefficiency_score_z,market_value_gap_pct_z,is_undervalued,is_overvalued,inefficiency_rank,market_value_growth_prev_growth_component_z,delta_log_market_value_prev_growth_component_z,growth_index_growth_component_z,breakout_indicator_growth_component_z,career_year_growth_component_z,growth_score_raw,growth_score_z,growth_score,growth_rank,high_growth_flag,matching_confidence_component,minutes_reliability_component,feature_completeness_component,temporal_stability_component,confidence_score_raw,confidence_score,confidence_score_z,confidence_rank,low_confidence_flag,opportunity_score_raw,opportunity_score,opportunity_rank,opportunity_tier,is_scouting_target,is_high_priority_or_target,position,club_anterior,expected_roi,expected_upside,player_level_tier,player_level_rank,portfolio_value_score,is_eligible_portfolio,portfolio_cost,upside_score_norm,dss_entity,dss_universe,dss_model,dss_feature_set,name_key,contract_expiration_date,current_club_name,market_value_in_eur,contract_months_remaining,contract_years_remaining,contract_expiring_12m,contract_critical_zone,free_agent_horizon,negotiation_leverage_score,contract_opportunity_score,contract_status,recruitment_contract_score
Junior Kadile,585958.0,Almere City,Servette Football Club 1890 SA,Eredivisie,2024-2025,MID,22.0041067761807,2207,500000.0,13.122363377404328,XGBoost,B_v13B_advanced,14.563175201416016,2112061.75,-1.4408118240116874,1.4408118240116874,-0.1666666666666666,-0.1823212234612334,-0.4120096147715289,0,2,0.85,exact_age_validated,0.2,0.08,2112061.8352127075,-1.4408118240116874,1.4408118240116874,1612061.8352127075,3.224123670425416,1.4408118240116874,3.224123670425416,1.6294535208588703,2.271946750532257,True,False,279,-0.5459492567758004,-0.9802255784363096,-0.8842788258050666,-0.6249944573526541,-0.0011483840779789,-0.741479021954064,-0.8229439064991628,5.692493415728825,5616,False,0.85,1.0,1.0,0.75,0.9225,92.25,1.052288461119881,1021,False,0.9009211520715644,69.26359873052166,469,high_priority,False,True,MID,,4.537532038724475,2268766.0193622373,First Team Ready,3,87.01620518863933,True,500000.0,80.22175615509207,player,global_prospect_universe,XGBoost,B_v13B_advanced,junior kadile,2026-06-30,Servette Football Club 1890 SA,600000.0,12.0,1.0,1,0,1,80.0,76.0,Negotiable Target,71.28
James Abankwah,648032.0,Watford,Watford FC,Championship,2024-2025,DEF,20.75564681724846,1384,800000.0,13.592367006650065,XGBoost,B_v13B_advanced,14.383293151855469,1764350.5,-0.7909261452054039,0.7909261452054039,1.6666666666666667,0.9808271696831684,0.8354930915970429,1,1,1.0,exact_age_club_validated,0.0,0.0,1764350.4292476673,-0.7909261452054039,0.7909261452054039,964350.4292476672,1.205438036559584,0.7909261452054039,1.205438036559584,0.9475910679248136,0.6813863287947542,True,False,1137,0.6320290781709142,1.236437040853533,1.3197853067094958,1.5997564550586283,0.889997660433723,1.0949616909122568,1.2152630414432493,38.73201398934956,569,True,1.0,0.7688888888888888,1.0,0.1666666666666666,0.835777777777778,83.5777777777778,0.2566659547515891,3046,False,0.8763240386697777,68.64906751694701,510,high_priority,False,True,DEF,,1.350360723048455,1080288.578438764,Rotation Profile,2,79.15763604666311,True,800000.0,79.61226718314315,player,global_prospect_universe,XGBoost,B_v13B_advanced,james abankwah,2026-06-30,Watford FC,1500000.0,12.0,1.0,1,0,1,80.0,76.0,Negotiable Target,70.85
Óscar Aranda,652332.0,Famalicão,Futebol Clube de Famalicão,Liga Portugal,2024-2025,MID,22.444900752908968,2599,1500000.0,14.22097566607244,XGBoost,B_v13B_advanced,14.766183853149414,2587451.25,-0.5452081870769749,0.5452081870769749,2.0,1.0986109553365535,0.9459072326782886,1,2,0.85,exact_age_validated,0.31,0.1,2587451.191396425,-0.5452081870769749,0.5452081870769749,1087451.1913964257,0.7249674609309503,0.5452081870769749,0.7249674609309503,0.6897828793105507,0.3028145152425638,True,False,1637,0.846206957252135,1.4609027378833812,1.5148629180342732,1.5997564550586283,-0.0011483840779789,1.230766864351187,1.3659888700150435,41.17529342135282,503,True,0.85,1.0,1.0,0.3333333333333333,0.8808333333333334,88.08333333333334,0.6700226829160252,2109,False,0.8548823377077688,68.1133707342371,550,high_priority,False,True,MID,,1.3650641125062346,2047596.168759352,Rotation Profile,2,77.77617214083973,True,1500000.0,80.10833323242784,player,global_prospect_universe,XGBoost,B_v13B_advanced,oscar aranda,2026-06-30,Futebol Clube de Famalicão,4000000.0,12.0,1.0,1,0,1,80.0,76.0,Negotiable Target,70.48
Abu Kamara,696764.0,Hull City,Getafe Club de Fútbol S. A. D. Team Dubai,Championship,2024-2025,MID,21.180013689253936,2256,4000000.0,15.201804919084164,XGBoost,B_v13B_advanced,14.962465286254885,3148589.75,0.2393396328292816,-0.2393396328292816,5.666666666666667,1.897118568220572,1.8644235926675543,1,1,0.85,exact_age_validated,0.2,0.12,3148589.9833502537,0.2393396328292798,-0.2393396328292798,-851410.0166497463,-0.2128525041624366,-0.2393396328292798,-0.2128525041624366,-0.1333675891040696,-0.4361114939232243,False,True,3445,3.202163627145565,2.982653519753416,3.1376802104097896,1.5997564550586283,0.889997660433723,2.8443407251996904,3.156843010395388,70.20520241817076,108,True,0.85,1.0,1.0,0.1666666666666666,0.8641666666666667,86.41666666666667,0.5171163716344821,2421,False,0.8192818529185052,67.22393266221506,609,high_priority,False,True,MID,,-0.0486509204133967,-194603.68165358715,Development Prospect,1,66.93336308724714,True,4000000.0,78.9584619478115,player,global_prospect_universe,XGBoost,B_v13B_advanced,abu kamara,2026-06-30,Getafe Club de Fútbol S. A. D. Team Dubai,,12.0,1.0,1,0,1,80.0,76.0,Negotiable Target,69.86
Myles Peart-Harris,587002.0,Swansea City,Brentford Football Club,Championship,2024-2025,MID,22.28336755646817,1665,700000.0,13.458835614025542,XGBoost,B_v13B_advanced,14.713467597961426,2454583.25,-1.2546319839358837,1.2546319839358837,0.0,0.0,-0.283298444277076,0,1,0.85,exact_age_validated,0.16,0.22,2454583.369689398,-1.2546319839358837,1.2546319839358837,1754583.369689398,2.506547670984854,1.2546319839358837,2.506547670984854,1.4341129454608417,1.7065551089851876,True,False,427,-0.43886031723519,-0.6327680716110969,-0.6568743697725876,-0.6249944573526541,0.889997660433723,-0.5037066718106122,-0.559047962189276,9.970270748459184,3847,False,0.85,0.925,1.0,0.6666666666666666,0.8879166666666668,88.79166666666669,0.7350078652106817,2016,False,0.7960017024982804,66.64230428752529,649,high_priority,False,True,MID,,2.6992682152791043,1889487.750695373,First Team Ready,3,82.62759299223003,True,700000.0,80.02725021489289,player,global_prospect_universe,XGBoost,B_v13B_advanced,myles peart harris,2026-06-30,Brentford Football Club,900000.0,12.0,1.0,1,0,1,80.0,76.0,Negotiable Target,69.45
Marwan Al Sahafi,1057857.0,Beerschot Wilrijk,Royal Antwerp Football Club,Belgian Pro League,2024-2025,MID,20.815879534565365,1835,1200000.0,13.997832114758229,XGBoost,B_v13B_advanced,14.68443489074707,2384344.5,-0.6866027759888418,0.6866027759888418,1.181818181818182,0.7801575727023966,0.6574136734355421,1,1,0.85,exact_age_validated,0.29,0.05,2384344.7121732472,-0.6866027759888418,0.6866027759888418,1184344.7121732472,0.9869539268110392,0.6866027759888418,0.9869539268110392,0.8381346038848452,0.5092385847802023,True,False,1351,0.3204976176891386,0.8540122384147508,1.0051579665802124,1.5997564550586283,0.889997660433723,0.808117977003769,0.8969043563162097,33.57139065928776,778,True,0.85,1.0,1.0,0.1666666666666666,0.8641666666666667,86.41666666666667,0.5171163716344821,2608,False,0.7886233955426137,66.45796558673844,659,high_priority,False,True,MID,,0.98963090850154,1187557.0902018482,Rotation Profile,2,75.10682650030448,True,1200000.0,79.66727788229969,player,global_prospect_universe,XGBoost,B_v13B_advanced,marwan al sahafi,2026-06-30,Royal Antwerp Football Club,1000000.0,12.0,1.0,1,0,1,80.0,76.0,Negotiable Target,69.32
Bilal Nadir,659520.0,Marseille,Olympique de Marseille,Ligue 1,2024-2025,MID,21.03490759753593,383,500000.0,13.122363377404328,XGBoost,B_v13B_advanced,15.134343147277832,3739053.75,-2.011979769873504,2.011979769873504,0.0,0.0,-0.283298444277076,0,1,0.85,exact_age_validated,0.23,0.0,3739053.817005477,-2.011979769873504,2.011979769873504,3239053.817005477,5.0,2.011979769873504,5.0,2.228725037840142,3.671193149444084,True,False,87,-0.43886031723519,-0.6327680716110969,-0.6568743697725876,-0.6249944573526541,0.889997660433723,-0.5037066718106122,-0.559047962189276,9.970270748459184,3795,False,0.85,0.2127777777777778,1.0,0.6666666666666666,0.638638888888889,63.863888888888894,-1.5519608638569258,5747,True,0.7756446074933738,66.13370516477981,684,high_priority,False,True,MID,,8.045802066287292,4022901.033143646,Key Player Profile,4,92.244296112246,True,500000.0,81.12133229292645,player,global_prospect_universe,XGBoost,B_v13B_advanced,bilal nadir,2026-06-30,Olympique de Marseille,9000000.0,12.0,1.0,1,0,1,80.0,76.0,Negotiable Target,69.09
Léandre Kuavita,723485.0,Standard Liège,Royal Standard Club de Liège,Belgian Pro League,2024-2025,MID,20.33949349760438,2457,900000.0,13.710150042306449,XGBoost,B_v13B_advanced,14.348341941833496,1703749.375,-0.6381918995270475,0.6381918995270475,1.25,0.8109288273299473,0.6839759027086636,1,1,0.85,exact_age_validated,0.04,0.04,1703749.454528538,-0.6381918995270475,0.6381918995270475,803749.454528538,0.8930549494761534,0.6381918995270475,0.8930549494761534,0.787341733616402,0.435253812468486,True,False,1443,0.3643067293193882,0.912654360334506,1.0520876097157668,1.5997564550586283,0.889997660433723,0.850585757852659,0.9440379911694706,34.33543118030351,742,True,0.85,1.0,1.0,0.1666666666666666,0.8641666666666667,86.41666666666667,0.5171163716344821,2589,False,0.7724707256082852,66.05440929559687,691,high_priority,False,True,MID,,1.252634974602301,1127371.4771420711,Rotation Profile,2,76.27857284606552,True,900000.0,79.63641278872129,player,global_prospect_universe,XGBoost,B_v13B_advanced,leandre kuavita,2026-06-30,Royal Standard Club de Liège,400000.0,12.0,1.0,1,0,1,80.0,76.0,Negotiable Target,69.04
Emilio Kehrer,527279.0,Willem II,Willem II Tilburg,Eredivisie,2024-2025,MID,22.746064339493497,979,500000.0,13.122363377404328,XGBoost,B_v13B_advanced,14.65137004852295,2306795.75,-1.529006671118621,1.529006671118621,0.25,0.2231430513153345,-0.1202092229074272,0,1,0.85,exact_age_validated,0.09,0.28,2306795.8657557173,-1.529006671118621,1.529006671118621,1806795.8657557173,3.6135917315114345,1.529006671118621,3.6135917315114345,1.7219878799709805,2.57881596934567,True,False,226,-0.2782269079242744,-0.2075146271492003,-0.3687314251637211,-0.6249944573526541,0.889997660433723,-0.2559048795265519,-0.2840206600785329,14.428488406665322,2869,False,0.85,0.5438888888888889,1.0,0.5416666666666666,0.7420277777777778,74.20277777777778,-0.6034320462070896,4317,False,0.7554017597229881,65.62796038069312,726,high_priority,False,True,MID,,7.659386438349955,3829693.2191749774,Key Player Profile,4,92.4468237717094,True,500000.0,81.02224919058607,player,global_prospect_universe,XGBoost,B_v13B_advanced,emilio kehrer,2026-06-30,Willem II Tilburg,400000.0,12.0,1.0,1,0,1,80.0,76.0,Negotiable Target,68.74
Alexander Briedl,531634.0,Blau-Weiß Linz,Fußballclub Blau-Weiß Linz,Austrian Bundesliga,2024-2025,MID,22.472279260780287,2009,700000.0,13.458835614025542,XGBoost,B_v13B_advanced,14.23680019378662,1523925.5,-0.777964579761079,0.777964579761079,0.4,0.3364716651936223,0.2987354985416992,1,1,0.85,exact_age_validated,0.04,0.04,1523925.5979384482,-0.7779645797610772,0.7779645797610772,823925.5979384482,1.1770365684834974,0.7779645797610772,1.1770365684834974,0.9339917456194388,0.6590082773125356,True,False,1161,-0.181846862337725,0.0084606547327783,0.3714521666941652,1.5997564550586283,0.889997660433723,0.2453227079196063,0.2722758454801183,23.44610551320738,1812,False,0.85,1.0,1.0,0.4666666666666667,0.8941666666666667,89.41666666666667,0.7923477319412588,1851,False,0.7402339678489727,65.24901016018029,751,high_priority,False,True,MID,,1.818235538341644,1272764.876839151,Rotation Profile,2,79.62229188070435,True,700000.0,79.71097514107076,player,global_prospect_universe,XGBoost,B_v13B_advanced,alexander briedl,2026-06-30,Fußballclub Blau-Weiß Linz,,12.0,1.0,1,0,1,80.0,76.0,Negotiable Target,68.47
Alessandro Bianco,602124.0,Monza,Panthessalonikios Athlitikos Omilos Konstantinoupoliton,Serie A,2024-2025,MID,22.21492128678987,2600,5000000.0,15.424948470398377,XGBoost,B_v13B_advanced,16.055673599243164,9394863.0,-0.630725128844789,0.630725128844789,1.0,0.6931469805600052,0.5836309291636336,1,1,0.85,exact_age_validated,0.03,0.0,9394862.91304463,-0.6307251288447873,0.6307251288447873,4394862.91304463,0.878972582608926,0.6307251288447873,0.878972582608926,0.7795075702566957,0.4241580504500556,True,False,1463,0.2036733200084725,0.6881923583193925,0.8748000127112437,1.5997564550586283,0.889997660433723,0.6907352352037195,0.7666249967762174,31.459550355639983,918,True,0.85,1.0,1.0,0.1666666666666666,0.8641666666666667,86.41666666666667,0.5171163716344821,2643,False,0.7238086871621335,64.83864299599693,794,high_priority,False,True,MID,,1.978059456621713,9890297.283108564,Rotation Profile,2,81.23288776490287,True,5000000.0,84.13031940977855,player,global_prospect_universe,XGBoost,B_v13B_advanced,alessandro bianco,2026-06-30,Panthessalonikios Athlitikos Omilos Konstantinoupoliton,1200000.0,12.0,1.0,1,0,1,80.0,76.0,Negotiable Target,68.19
Gerard Martín,705395.0,Barcelona,Futbol Club Barcelona,LaLiga,2024-2025,DEF,22.622861054072555,1038,3000000.0,14.914122846632385,XGBoost,B_v13B_advanced,16.2474365234375,11380780.0,-1.3333136768051157,1.3333136768051157,6.5,2.014900853878668,2.03524491788262,1,1,0.85,exact_age_validated,0.09,0.26,11380779.975228157,-1.3333136768051157,1.3333136768051157,8380779.975228155,2.793593325076052,1.3333136768051157,2.793593325076052,1.5166660680336663,1.932723784766014,True,False,356,3.7376083248486167,3.207116358176825,3.439484089514077,1.5997564550586283,0.889997660433723,3.1477639558137005,3.49360277207555,75.66410887790562,92,True,0.85,0.5766666666666667,1.0,0.1666666666666666,0.7160000000000002,71.60000000000002,-0.8422207356584304,4587,False,1.5391228833057178,85.20835118965705,65,target_scouting,True,True,DEF,,3.496444279589317,10489332.838767951,First Team Ready,3,86.01946859167846,True,3000000.0,84.43752386516645,player,global_prospect_universe,XGBoost,B_v13B_advanced,gerard martin,2028-06-30,Futbol Club Barcelona,,36.0,3.0,0,0,0,40.0,28.0,Protected Asset,68.05
