player_name_fbref,player_id_tm,club,current_club_name_tm,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_ml_eur,market_value_gap_ml_eur,market_value_gap_ml_pct,log_market_value_eur,predicted_log_market_value_ml,inefficiency_score_ml,inefficiency_score_ml_z,confidence_score_ml,opportunity_score_ml,matching_method,matching_confidence,age_diff,club_score
Tyler Dibling,866655.0,Southampton,Everton Football Club,Premier League,2024-2025,MID,18.62012320328542,1874,5000000.0,17137091.327655304,12137091.327655304,2.427418265531061,15.424948470398375,16.656755755896178,1.231807285497803,1.3647456487986847,0.7972895277207392,1.088097413789637,exact_age_validated,0.85,0.62012320328542,25.0
Adrian Blake,875581.0,Utrecht,Football Club Utrecht,Eredivisie,2024-2025,MID,19.42505133470226,468,500000.0,5362312.780064451,4862312.780064451,9.724625560128901,13.122363377404328,15.49490592880045,2.372542551396121,2.5277352214290674,0.42321273100616014,1.0697697263214565,exact_age_validated,0.85,0.4250513347022604,50.0
Daniele Ghilardi,701819.0,Hellas Verona,Associazione Sportiva Roma,Serie A,2024-2025,DEF,21.949349760438057,2029,1600000.0,5462385.536704628,3862385.536704628,2.413990960440392,14.28551418721001,15.513396163787421,1.227881976577411,1.3607437620505143,0.7693052703627651,1.0468273477587169,exact_age_validated,0.85,0.9493497604380572,30.76923076923077
Raúl Moro,624942.0,Valladolid,Club Atlético Osasuna,LaLiga,2024-2025,MID,21.8507871321013,2341,4000000.0,13171680.198059238,9171680.198059238,2.2929200495148097,15.201804919084164,16.39357964326316,1.1917747241789947,1.3239321026839364,0.7776830937713896,1.0295996135585046,exact_age_validated,0.85,0.8507871321012992,25.806451612903224
Christantus Uche,1124005.0,Getafe,Crystal Palace Football Club,LaLiga,2024-2025,MID,21.399041752224505,2486,5000000.0,15417106.57668235,10417106.57668235,2.08342131533647,15.424948470398375,16.55098826755121,1.1260397971528366,1.2569147701139312,0.8160814510609171,1.025744829454476,exact_age_validated,0.85,0.39904175222450533,23.529411764705888
Nhoa Sangui,955281.0,Reims,Paris Football Club,Ligue 1,2024-2025,DEF,18.60917180013689,1158,1500000.0,4714129.654970762,3214129.6549707623,2.1427531033138414,14.22097566607244,15.366074866336458,1.1450992002640188,1.2763459981486045,0.7982203969883642,1.0188054093366892,exact_age_validated,0.85,0.6091718001368918,25.0
Lukas Ullrich,787151.0,Gladbach,Borussia Verein für Leibesübungen 1900 Mönchengladbach,Bundesliga,2024-2025,DEF,20.763860369609855,1903,3000000.0,9456646.368019307,6456646.368019307,2.1522154560064357,14.914122846632385,16.06222837162389,1.1481055249915038,1.279410972480973,0.7850718685831624,1.0044295628514384,exact_age_validated,0.85,0.7638603696098549,28.07017543859649
Amadou Koné,1178474.0,Reims,Neom Sports Club,Ligue 1,2024-2025,MID,19.575633127994525,1293,1000000.0,3071556.9736556727,2071556.9736556727,2.0715569736556727,13.815510557964274,14.937695148545023,1.1221845905807495,1.252984353322492,0.8010711841204654,1.0037296596004643,exact_age_validated,0.85,0.575633127994525,28.57142857142857
Omar El Hilali,822331.0,Espanyol,Reial Club Deportiu Espanyol de Barcelona S.A.D.,LaLiga,2024-2025,DEF,21.08145106091718,3153,3000000.0,9836095.167076746,6836095.167076746,2.278698389025582,14.914122846632385,16.101569357655386,1.1874465110230012,1.3195194515465334,0.7580766598220399,1.000296898398606,exact_age_validated,0.85,1.0814510609171784,29.09090909090909
Andrés García,1063329.0,Aston Villa,Aston Villa Football Club,Premier League,2024-2025,DEF,21.683778234086244,318,900000.0,9577378.173740257,8677378.173740257,9.64153130415584,13.710150042306449,16.074914435428038,2.3647643931215896,2.519805321093756,0.3959394250513346,0.9976902700751553,exact_age_validated,0.85,0.6837782340862439,61.111111111111114
Tika de Jonge,653725.0,Groningen,Football Club Groningen,Eredivisie,2024-2025,MID,21.596167008898014,1271,500000.0,1519944.93642271,1019944.9364227101,2.03988987284542,13.122363377404328,14.23418466612859,1.1118212887242613,1.2424188765134396,0.7993258042436687,0.9930974676766204,exact_age_validated,0.85,0.5961670088980142,56.25
Williot Swedberg,764859.0,Celta Vigo,Real Club Celta de Vigo S. A. D.,LaLiga,2024-2025,MID,20.903490759753595,1348,5000000.0,15640716.00719815,10640716.00719815,2.12814320143963,15.424948470398375,16.565388072544934,1.140439602146559,1.2715954971469663,0.7732032854209444,0.9832018161205135,exact_age_validated,0.85,0.9034907597535948,51.28205128205128
Gerard Martín,705395.0,Barcelona,Futbol Club Barcelona,LaLiga,2024-2025,DEF,22.622861054072555,1038,3000000.0,9013789.634104341,6013789.634104341,2.004596544701447,14.914122846632385,16.014266144275062,1.1001432976426777,1.2305130625501473,0.7970568104038329,0.9807888167964726,exact_age_validated,0.85,0.6228610540725548,60.0
Wouter Prins,671734.0,Groningen,Football Club Groningen,Eredivisie,2024-2025,DEF,20.687200547570157,1662,500000.0,1512233.8259543139,1012233.8259543139,2.0244676519086275,13.122363377404328,14.229098470560213,1.1067350931558853,1.2372334556824969,0.7915879534565367,0.9793790991316663,exact_age_validated,0.85,0.687200547570157,56.25
Jon Martin,1018938.0,Real Sociedad,Real Sociedad de Fútbol S.A.D.,LaLiga,2024-2025,DEF,18.680355920602327,904,2000000.0,5783761.979577806,3783761.979577806,1.8918809897889028,14.508657738524219,15.570564890448715,1.0619071519244958,1.1915309778393681,0.7921697467488023,0.943894792958365,exact_age_validated,0.85,0.6803559206023273,61.904761904761905
