player_name_fbref,club,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,inefficiency_score,inefficiency_score_z,matching_method,matching_confidence,age_diff,club_score,opportunity_score
Alberto costa,Juventus,Serie A,2024-2025,DEF,21.026694045174537,357,500000.0,3820287.435532258,3320287.435532258,6.640574871064516,2.0334728452514064,2.070174301674164,exact_age_validated,0.85,1.026694045174537,19.999999999999996,1.7596481564230393
Clément Akpa,Auxerre,Ligue 1,2024-2025,DEF,22.869267624914443,2486,1000000.0,6758434.519565303,5758434.519565303,5.758434519565303,1.910791283290136,1.9452826914199801,exact_age_validated,0.85,0.8692676249144426,31.818181818181824,1.653490287706983
Dudu,Nacional,Liga Portugal,2024-2025,MID,22.850102669404517,1338,500000.0,3299611.003811705,2799611.003811705,5.59922200762341,1.8869517644514495,1.9210137153175368,exact_age_validated,0.85,1.1498973305954827,30.76923076923077,1.6328616580199062
Jérémy Jacquet,Rennes,Ligue 1,2024-2025,DEF,19.225188227241617,927,600000.0,3791115.080503683,3191115.080503683,5.3185251341728055,1.8434858160788785,1.8767647491592045,exact_age_validated,0.85,0.2251882272416168,30.303030303030297,1.5952500367853237
Adrian Blake,Utrecht,Eredivisie,2024-2025,MID,19.42505133470226,468,500000.0,3129889.368936517,2629889.368936517,5.259778737873034,1.8341448390996504,1.8672554990515857,exact_age_validated,0.85,0.4250513347022604,50.0,1.5871671741938478
Andrés García,Aston Villa,Premier League,2024-2025,DEF,21.683778234086244,318,900000.0,5551279.017306879,4651279.017306879,5.168087797007644,1.819388870434631,1.852233708833294,exact_age_validated,0.85,0.6837782340862439,61.111111111111114,1.5743986525083
Bilal Nadir,Marseille,Ligue 1,2024-2025,MID,21.034907597535934,383,500000.0,2811006.341913874,2311006.341913874,4.622012683827748,1.726689728587763,1.7578646373171423,exact_age_validated,0.85,1.034907597535934,58.06451612903225,1.494184941719571
Junior Kadile,Almere City,Eredivisie,2024-2025,MID,22.0041067761807,2207,500000.0,2775284.388499581,2275284.388499581,4.550568776999161,1.7139004048495785,1.7448449201714789,exact_age_validated,0.85,1.0041067761806985,33.333333333333336,1.483118182145757
Frans Krätzig,Heidenheim,Bundesliga,2024-2025,DEF,21.932922655715263,1217,1500000.0,8278603.793827496,6778603.793827496,4.519069195884997,1.708209222136512,1.7390512135873546,exact_age_validated,0.85,0.932922655715263,10.256410256410254,1.4781935315492514
Arthur Atta,Udinese,Serie A,2024-2025,MID,21.927446954141,1251,1000000.0,5514041.728644839,4514041.728644839,4.514041728644838,1.7072978803359078,1.738123454410264,exact_age_validated,0.85,0.9274469541410006,66.66666666666667,1.4774049362487243
Louis Mouton,Saint-Étienne,Ligue 1,2024-2025,MID,22.521560574948666,1045,800000.0,4381428.561011501,3581428.5610115007,4.476785701264376,1.700518378007505,1.7312218226656053,exact_age_validated,0.85,0.5215605749486656,31.818181818181824,1.4715385492657644
Luca Marianucci,Empoli,Serie A,2024-2025,DEF,20.40520191649555,1069,800000.0,4348956.922508241,3548956.9225082407,4.436196153135301,1.6930795797319398,1.7236490180799848,exact_age_validated,0.85,0.4052019164955496,21.052631578947366,1.4651016653679871
Emmanuel Biumla,Angers,Ligue 1,2024-2025,DEF,19.416837782340863,1336,800000.0,4310272.856042862,3510272.856042862,4.387841070053577,1.6841447610925773,1.7145532430559323,exact_age_validated,0.85,0.4168377823408633,32.432432432432435,1.4573702565975424
Luck Zogbé,Brest,Ligue 1,2024-2025,DEF,19.540041067761805,638,500000.0,2617821.888782404,2117821.888782404,4.235643777564808,1.6554898124186934,1.6853820895066962,exact_age_validated,0.85,0.5400410677618055,52.63157894736843,1.4325747760806917
Joel silva,Boavista,Liga Portugal,2024-2025,MID,21.853524982888434,2397,600000.0,3137887.295411816,2537887.295411816,4.229812159019693,1.6543753613744148,1.6842475621723167,exact_age_validated,0.85,0.8535249828884339,30.303030303030297,1.4316104278464692
