player_name_fbref,season,league,club,position_group,age,minutes_played,market_value_eur,predicted_market_value_eur,market_value_gap_eur,inefficiency_score,matching_confidence
Anthony Gordon,2022-2023,Premier League,Newcastle United,ATT,22.3,487,35000000.0,7147452.04322518,-27852547.95677482,-1.588592125884837,1.0
Mikkel Damsgaard,2021-2022,Serie A,Sampdoria,MID,21.9,578,15000000.0,3059467.2182547403,-11940532.781745259,-1.5898094119785764,1.0
Fábio Silva,2022-2023,Eredivisie,PSV,ATT,20.9,607,13000000.0,2629202.3316584174,-10370797.668341583,-1.5982688532227503,1.0
Vitinha,2021-2022,Liga Portugal,Braga,MID,22.3,1473,30000000.0,6038698.099032396,-23961301.900967605,-1.6030089394667346,1.0
Diogo Leite,2020-2021,Liga Portugal,Porto,DEF,22.3,1169,10000000.0,2007970.4722689013,-7992029.527731098,-1.6054605963180517,1.0
Sandro Tonali,2020-2021,Serie A,Milan,MID,21.1,1330,27000000.0,5391298.945843415,-21608701.054156587,-1.6110505183096002,1.0
Florian Wirtz,2022-2023,Bundesliga,Leverkusen,MID,20.1,1090,85000000.0,16902575.19839779,-68097424.80160221,-1.6151852675663108,1.0
Enzo Fernández,2022-2023,Premier League,Chelsea,MID,22.4,1547,80000000.0,15835316.006339505,-64164683.993660495,-1.6197839986879252,1.0
Fabio Vieira,2020-2021,Liga Portugal,Porto,MID,21.0,404,9000000.0,1697272.4681407544,-7302727.531859245,-1.668202045256475,1.0
Devyne Rensch,2021-2022,Eredivisie,Ajax,DEF,19.4,801,8000000.0,1497912.0569964498,-6502087.94300355,-1.675369365253088,1.0
Nuno Tavares,2020-2021,Liga Portugal,Benfica,DEF,21.3,633,7000000.0,1300590.694293552,-5699409.305706448,-1.6830916075614475,1.0
Gift Orban,2023-2024,Ligue 1,Lyon,ATT,21.9,474,15000000.0,2786369.2759434665,-12213630.724056534,-1.6833107875276472,1.0
Nuno Mendes,2022-2023,Ligue 1,Paris Saint-Germain,DEF,21.0,1548,65000000.0,11977780.381388906,-53022219.6186111,-1.6913339713868503,1.0
Pedri,2022-2023,LaLiga,Barcelona,MID,20.5,1976,100000000.0,18361173.950586908,-81638826.04941308,-1.694931862176091,1.0
Morato,2023-2024,Liga Portugal,Benfica,DEF,22.9,1525,15000000.0,2706732.1614259067,-12293267.838574093,-1.7123081383183418,1.0
Morato,2021-2022,Liga Portugal,Benfica,DEF,20.9,1012,10000000.0,1788943.3326938234,-8211056.667306176,-1.7209599643778475,1.0
Vitinha,2021-2022,Liga Portugal,Porto,MID,22.3,2251,30000000.0,5313059.6024681525,-24686940.39753185,-1.7310295160239821,1.0
Wesley Fofana,2021-2022,Premier League,Leicester City,DEF,21.5,630,40000000.0,6998457.473756447,-33001542.526243553,-1.7431896902335886,1.0
Cody Gakpo,2020-2021,Eredivisie,PSV,ATT,22.1,1663,18000000.0,3084438.130235809,-14915561.86976419,-1.7640022467096266,1.0
Pedri,2023-2024,LaLiga,Barcelona,MID,21.5,1476,80000000.0,13679120.124896582,-66320879.875103414,-1.7661560429035035,1.0
Ryan Gravenberch,2020-2021,Eredivisie,Ajax,MID,19.0,2609,33000000.0,5628115.478432358,-27371884.521567643,-1.7687329038689832,1.0
Lutsharel Geertruida,2021-2022,Eredivisie,Feyenoord,DEF,21.9,1718,12000000.0,1995492.433561057,-10004507.566438943,-1.7940157960394494,1.0
Nuno Mendes,2021-2022,Ligue 1,Paris Saint-Germain,DEF,19.9,1658,40000000.0,6585967.567442458,-33414032.432557542,-1.8039381946416047,1.0
Krépin Diatta,2020-2021,Ligue 1,Monaco,MID,22.3,389,18000000.0,2912610.490957603,-15087389.509042397,-1.8213220029144512,1.0
Christos Tzolis,2022-2023,Eredivisie,Twente,ATT,21.3,422,5000000.0,806433.6417202592,-4193566.358279741,-1.824571576566223,1.0
David Carmo,2020-2021,Liga Portugal,Braga,DEF,21.8,998,10000000.0,1606147.04865088,-8393852.95134912,-1.828746919611909,1.0
Alan Varela,2023-2024,Liga Portugal,Porto,MID,22.9,2225,35000000.0,5558246.443081575,-29441753.556918424,-1.8400653909071263,1.0
Lucas Beraldo,2023-2024,Ligue 1,Paris Saint-Germain,DEF,20.5,1008,30000000.0,4733992.711178177,-25266007.288821824,-1.8464284102466255,1.0
Nuno Mendes,2020-2021,Liga Portugal,Sporting CP,DEF,19.0,2391,40000000.0,6186798.103764458,-33813201.89623554,-1.8664617704291206,1.0
Orkun Kökçü,2022-2023,Eredivisie,Feyenoord,MID,22.5,2696,35000000.0,5396178.062702782,-29603821.937297218,-1.869657124670054,1.0
Joško Gvardiol,2022-2023,Bundesliga,RB Leipzig,DEF,21.4,2170,75000000.0,11533382.29116211,-63466617.70883789,-1.8722424752513014,1.0
Jurriën Timber,2020-2021,Eredivisie,Ajax,DEF,19.9,1510,11000000.0,1659836.0236281059,-9340163.976371894,-1.8911764562560034,1.0
Perr Schuurs,2021-2022,Eredivisie,Ajax,DEF,22.5,1047,7000000.0,1047889.690132731,-5952110.309867269,-1.8991318262033587,1.0
Lutsharel Geertruida,2022-2023,Eredivisie,Feyenoord,DEF,22.9,2572,25000000.0,3698054.5728330906,-21301945.42716691,-1.9110689346208414,1.0
Dušan Vlahović,2021-2022,Serie A,Juventus,ATT,22.4,1076,85000000.0,12372458.030489523,-72627541.96951048,-1.9271783808130465,1.0
Sivert Mannsverk,2023-2024,Eredivisie,Ajax,MID,22.1,886,6000000.0,871162.9642679704,-5128837.03573203,-1.9296856886659004,1.0
Noni Madueke,2021-2022,Eredivisie,PSV,ATT,20.2,823,18000000.0,2611000.9131143163,-15388999.086885683,-1.9306381184609975,1.0
Ousmane Diomande,2023-2024,Liga Portugal,Sporting CP,DEF,20.5,2115,40000000.0,5676946.828286005,-34323053.17171399,-1.952465896133381,1.0
Manuel Ugarte,2021-2022,Liga Portugal,Sporting CP,MID,21.1,1107,15000000.0,2113491.5489379433,-12886508.451062057,-1.9597088586954126,1.0
Kamaldeen Sulemana,2022-2023,Ligue 1,Rennes,ATT,21.3,326,22000000.0,2994413.720786713,-19005586.279213287,-1.9942939936118158,1.0
Morato,2022-2023,Liga Portugal,Benfica,DEF,22.0,648,13000000.0,1768732.2022030721,-11231267.797796927,-1.994686337461438,1.0
Quilindschy Hartman,2023-2024,Eredivisie,Feyenoord,DEF,22.5,2070,23000000.0,3087443.225741911,-19912556.77425809,-2.0081509025677953,1.0
Pedri,2021-2022,LaLiga,Barcelona,MID,19.5,885,80000000.0,10397922.205651699,-69602077.7943483,-2.0404206364049244,1.0
